L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos
𐌰𐍆𐌳𐍉𐌼𐌾𐌰𐌽,afdōmjan,"comdemn, pass_judgement_against, curse, abjure",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdomj,6,certain,not_reconstructed,"V., v"
𐌰𐍆𐌳𐍂𐌰𐌿𐍃𐌾𐌰𐌽,afdrausjan,"throw_down_off, throw_down_of",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdrɔsj,1,certain,not_reconstructed,"V., v"
𐌰𐍆𐌳𐍂𐌿𐌲𐌺,afdrugk,drinking_up,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdruŋk,0,uncertain,word,"N., n"
𐌰𐍆𐌳𐍂𐌿𐌲𐌺𐌾𐌰,afdrugkja,drunkard,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdruŋkja,2,certain,not_reconstructed,"M., n"
𐌰𐍆𐌳𐌿𐌼𐌱𐌽𐌰𐌽,afdumbnan,"become_still, subside_into_silence, fall_off_into_dumbness",https://koeblergerhard.de/wikiling/?f=got&page=2,aɸdumbn,1,certain,form,"V., v"
𐌰𐍆𐌴𐍄,afēt,gluttonous_eating,https://koeblergerhard.de/wikiling/?f=got&page=2,aɸet,0,uncertain,word,"N., n"
𐌰𐍆𐌴𐍄𐌾𐌰,afētja,"glutton, voracious_eater",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸetja,2,certain,not_reconstructed,"M., n"
𐌰𐍆𐌴𐍄𐍃,afēts,"voracious_in_eating, gluttonish",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸets,0,uncertain,word,"Adj., a"
𐌰𐍆𐍆𐌹𐌻𐌷𐌰𐌽,affilhan,"hide_from, conceal_from",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɸɪlh,1,certain,form,"V., v"
𐌰𐍆𐌲𐌰𐌲𐌲𐌰𐌽,afgaggan,"go_away, leave, depart",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡaŋɡ,5,certain,form,"V., v"
𐌰𐍆𐌲𐌹𐌱𐌰𐌽𐍃𐌹𐌺,afgibansik,"give_os_away, separate",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡɪβansɪk,1,certain,not_reconstructed,"V., v"
𐌰𐍆𐌲𐍂𐌿𐌽𐌳𐌹𐌸𐌰,afgrundiþa,abyss,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡrundɪθa,2,certain,form,"F., n"
𐌰𐍆𐌲𐍂𐌿𐌽𐌳𐌿𐍃,afgrundus,bottomless,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡrundus,0,uncertain,word,"Adj., a"
𐌰𐍆𐌲𐌿𐌳e𐌹,afgudei,"ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡuði,2,certain,form,"F., n"
𐌰𐍆𐌲𐌿𐌸𐍃,afguþs,"godless, irreligious, impious",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸɡuθs,3,certain,form,"Adj., a"
𐌰𐍆𐌷𐌰𐌱𐌰𐌽,afhaban,"abstain, withhold_os",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhaβ,0,no_info,not_reconstructed,r
𐌰𐍆𐌷𐌰𐌹𐌼e𐌹𐍃,afhaimeis,"absent_from_home, absent, away_from_home",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhɛmis,2,certain,form,"Adj., a"
𐌰𐍆𐌷𐌰𐌹𐌼𐌹𐍃,afhaimis,"absent_from_home, absent, away_from_home",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhɛmɪs,0,certain,form,"Adj., a"
𐌰𐍆𐌷𐌰𐌹𐌼𐍃,afhaims,"absent_from_home, absent, away_from_home",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhɛms,0,certain,form,"Adj., a"
𐌰𐍆𐌷𐌰𐌼𐍉𐌽,afhamōn,"get_undressed, shed_as_clothing, strip_off_as_clothing, doff",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhamon,1,certain,not_reconstructed,"V., v"
𐌰𐍆𐌷𐌻𐌰𐌸𐌰𐌽,afhlaþan,"burden, load_down, lade_down",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhlaθ,1,certain,form,"V., v"
𐌰𐍆𐌷𐍉𐌻𐍉𐌽,afhōlōn,extort_from_by_false_allegation,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸholon,1,certain,form,"V., v"
𐌰𐍆𐌷𐍂𐌰𐌹𐌽𐌾𐌰𐌽,afhrainjan,"cleanse_away, wipe_out",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhrɛnj,1,certain,not_reconstructed,"V., v"
𐌰𐍆𐌷𐍂𐌹𐍃𐌾𐌰𐌽,afhrisjan,shake_off,https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhrɪsj,2,certain,form,"V., v"
𐌰𐍆𐌷𐌿𐌲𐌾𐌰𐌽,afhugjan,"lead_astray_the_understanding_of, bewitch",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhuɣj,1,certain,form,"V., v"
𐌰𐍆𐍈𐌰𐍀𐌾𐌰𐌽,afƕapjan,"choke, extinguish, asphyxiate, suffocate",https://koeblergerhard.de/wikiling/?f=got&page=3,aɸhʷapj,5,certain,not_reconstructed,"V., v"
𐌰𐍆𐍈𐌰𐍀𐌽𐌰𐌽,afƕapnan,"choke, be_suffocated, become_suffocated",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸhʷapn,6,certain,form,"V., v"
𐌰𐍆𐌹𐍄𐌰𐌽,afitan,"devour, eat_voraciously",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸɪt,0,uncertain,word,"V., v"
𐌰𐍆𐌻𐌰𐌲e𐌹𐌽𐍃,aflageins,"forgiveness, laying_aside, remission, absolution",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlaɣins,1,certain,form,"F., n"
𐌰𐍆𐌻𐌰𐌲𐌾𐌰𐌽,aflagjan,"put_off, lay_off_away, lay_down, lay_aside",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlaɣj,5,certain,not_reconstructed,"V., v"
𐌰𐍆𐌻e𐌹𐌸𐌰𐌽,afleiþan,"go_away, depart, leave",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸliθ,14,certain,form,"V., v"
𐌰𐍆𐌻𐌴𐍄,aflēt,"indulgence, letting_off, forgiveness, pardon",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlet,3,certain,form,"N., n"
𐌰𐍆𐌻𐌴𐍄𐌰𐌽,aflētan,"let_off, let_go, leave, relinquish, remit, absolve, release, forgive",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlet,53,certain,not_reconstructed,"V., v"
𐌰𐍆𐌻𐌹𐍆𐌽𐌰𐌽,aflifnan,"be_left, become_left, be_left_over, remain",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlɪɸn,8,certain,form,"V., v"
𐌰𐍆𐌻𐌹𐌽𐌽𐌰𐌽,aflinnan,"leave_off, go_away, cease_from, let_up",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlɪnn,1,certain,form,"V., v"
𐌰𐍆𐌼𐌰𐌹𐍄𐌰𐌽,afmaitan,"cut_off, sever, amputate, chop_off, behead",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmɛt,8,certain,form,"V., v"
𐌰𐍆𐌼𐌰𐍂𐌶e𐌹𐌽𐍃,afmarzeins,"deception, deceitfulness, delusive_seduction",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmarzins,2,certain,not_reconstructed,"F., n"
𐌰𐍆𐌼𐌰𐍂𐌶𐌾𐌰𐌽,afmarzjan,"make_deviate_by_obstructing, snare_astray, thwart_by_deflecting, take_offence",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmarzj,2,certain,form,"V., v"
𐌰𐍆𐌼𐌰𐌿𐌹𐌸𐍃,afmáuiþs,"weary, debilitated, tired_out, fatigued",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmɔɪθs,21,certain,form,"V., Adj., va"
𐌰𐍆𐌼𐍉𐌾𐌰𐌽,afmōjan,"tire_out, fatigue",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmoj,0,certain,form,"V., v"
𐌰𐍆𐌼𐌰𐌿𐌾𐌰𐌽,afmaujan,"tire_out, fatigue",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmɔj,0,certain,form,"V., v"
𐌰𐍆𐌽𐌹𐌼𐌰𐌽,afniman,"take_away, remove, withdraw",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸnɪm,15,certain,not_reconstructed,"V., v"
𐌰𐍆𐌵𐌹𐌸𐌰𐌽,afqiþan,"renounce, foreswear",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸkʷɪθ,1,certain,form,"V., v"
𐌰𐍆𐍃𐌰𐍄e𐌹𐌽𐍃,afsateins,"setting_aside, divorce",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸsatins,1,certain,form,"F., n"
𐌰𐍆𐍃𐌰𐍄𐌾𐌰𐌽,afsatjan,"dismiss, remove, put_away, set_aside, set_off, divorce",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸsatj,3,certain,not_reconstructed,"V., v"
𐌰𐍆𐍃𐌺𐌰𐌹𐌳𐌰𐌽,afskaidan,"separate_off, sever, sunder, divide",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸskɛð,6,certain,not_reconstructed,"V., v"
𐌰𐍆𐍃𐌺𐌹𐌿𐌱𐌰𐌽,afskiuban,"reject, repulse, shove_away, thrust_away",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸskɪuβ,2,certain,form,"V., v"
𐌰𐍆𐍃𐌻𐌰𐌷𐌰𐌽,afslahan,"hew_off, slay, strike_dead, strike_off, cut_off, kill",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslah,54,certain,form,"V., v"
𐌰𐍆𐍃𐌻𐌰𐌿𐍀𐌾𐌰𐌽,afslaupjan,"let_slide_off, make_slip_off, put_off",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslɔpj,1,certain,form,"V., v"
𐌰𐍆𐍃𐌻𐌰𐌿𐌸𐌾𐌰𐌽,afslauþjan,"perturb, frighten, dumbfound, scare, silence_off, make_speechless",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslɔθj,2,certain,form,"V., v"
