L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos
𐍆𐌹𐌲𐌲𐍂𐍃,figgrs,finger,https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪŋɡr̥s,1,certain,form,"M., n"
𐍆𐌹𐌾𐌰𐌽,fijan,"hate, be_inimical_towards, feel_hostile_towards",https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪj,23,certain,not_reconstructed,"V., v"
𐍆𐌹𐌰𐌽,fian,"hate, be_inimical_towards, feel_hostile_towards",https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪ,0,certain,form,"V., v"
𐍆𐌹𐌾𐌰𐌽𐌳𐍃,fijands,"enemy, foe",https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪjands,23,certain,not_reconstructed,"M., n"
𐍆𐌹𐌾𐌰𐌸𐍅𐌰,fijaþwa,"enmity, hostility",https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪjaθwa,3,certain,form,"F., n"
𐍆𐌹𐌻𐌰𐌿𐍃,filaus,"by_much, greatly",https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪlɔs,5,certain,not_reconstructed,"Adv., r"
𐍆𐌹𐌻𐌷𐌰𐌽,filhan,"hide, conceal, conceal_in_the_ground, bury, cover_up_for_safekeeping",https://koeblergerhard.de/wikiling/?f=got&page=70,ɸɪlh,1,certain,not_reconstructed,"V., v"
𐍆𐌹𐌻𐌹𐌲𐍂𐌹,filigri,"hidingplace, hideaway, den",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪlɪɣrɪ,2,certain,form,"N., n"
𐍆𐌹𐌻e𐌲𐍂𐌹,filegri,"hidingplace, hideaway, den",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪleɣrɪ,0,certain,form,"N., n"
𐍆𐌹𐌻𐌹𐌻𐌹𐌲𐍂𐌹,fililigri,"hidingplace, hideaway, den",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪlɪlɪɣrɪ,0,certain,form,"N., n"
𐍆𐌹𐌻𐌻,fill,"skin, hide",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪll,0,uncertain,word,"N., n"
𐍆𐌹𐌻𐌻e𐌹𐌽𐍃,filleins,leathern,https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪllins,1,certain,form,"Adj., a"
𐍆𐌹𐌻𐌻𐍃,fills,skinny,https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪll̥s,0,uncertain,word,"Adj., a"
𐍆𐌹𐌻𐌼𐍃,films,"bewildered_stupor, astonishment, amazement",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪlm̥s,0,uncertain,word,"M., n"
𐍆𐌹𐌻𐍄𐌿𐍂,filtur,felt,https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪltur,0,uncertain,word,"Sb., n"
𐍆𐌹𐌻𐌿,filu,"much, copious_amount, very, copiously",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪlu,79,certain,not_reconstructed,"Adj., Adv., N., arn"
𐍆𐌹𐌻𐌿𐌳e𐌹𐍃,filudeis,"crafty, cunning",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluðis,0,certain,word,"Adj., a"
𐍆𐌹𐌻𐌿𐍅e𐌹𐍃,filuweis,"crafty, cunning",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluwis,0,certain,word,"Adj., a"
𐍆𐌹𐌻𐌿𐌳e𐌹𐍃e𐌹,filudeisei,"craftiness, cunning",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluðisi,2,certain,form,"F., n"
𐍆𐌹𐌻𐌿𐍆𐌰𐌹𐌷𐍃,filufaíhs,"very_multicoloured, very_variegated, much_multicoloured, manifold",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluɸɛhs,1,certain,form,"Adj., a"
𐍆𐌹𐌻𐌿𐌲𐌰𐌻𐌰𐌿𐍆𐍃,filugalaufs,"very_precious, very_costly, very_valuable",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluɣalɔɸs,1,certain,form,"Adj., a"
𐍆𐌹𐌻𐌿𐍃𐌽𐌰,filusna,"copiousness, abundance, plenitude, multitude",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪlusna,6,certain,not_reconstructed,"F., n"
𐍆𐌹𐌻𐌿𐍅𐌰𐌿𐍂𐌳e𐌹,filuwaúrdei,"verbal_plenitude, much_wordiness, much_speaking",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluwɔrdi,1,certain,form,"F., n"
𐍆𐌹𐌻𐌿𐍅𐌰𐌿𐍂𐌳𐌾𐌰𐌽,filuwaúrdjan,"verbalize_excessively, babble, chatter, speak_a_great_deal",https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluwɔrdj,1,certain,form,"V., v"
𐍆𐌹𐌻𐌿𐍅𐌰𐌿𐍂𐌳𐍃,filuwaúrds,talkative,https://koeblergerhard.de/wikiling/?f=got&page=71,ɸɪluwɔrds,0,uncertain,word,"Adj., a"
𐍆𐌹𐌼𐍆,fimf,five,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸ,23,certain,not_reconstructed,"Num., r"
𐍆𐌹𐌼𐍆𐌷𐌿𐌽𐌳𐌰,fimfhunda,five_hundred,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸhunda,0,certain,form,"Num., r"
𐍆𐌹𐌼𐍆𐍄𐌰,fimfta,fifth,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸta,0,certain,word,"Num., r"
𐍆𐌹𐌼𐍆𐍄𐌰𐌹𐌷𐌿𐌽,fimftaíhun,fifteen,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸtɛhun,1,certain,form,"Num., r"
𐍆𐌹𐌼𐍆𐍄𐌰𐍄𐌰𐌹𐌷𐌿𐌽𐌳𐌰,fimftataíhunda,fifteenth,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸtatɛhunda,1,certain,form,"Num., r"
𐍆𐌹𐌼𐍆𐍄𐌹𐌲𐌾𐌿𐍃,fimftigjus,fifty,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸtɪɣjus,0,certain,word,"Num., r"
𐍆𐌹𐌼𐍆𐌸𐌿𐍃𐌿𐌽𐌾𐍉𐍃,fimfþūsunjōs,five_thousand,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪmɸθusunjos,0,uncertain,word,"Num., r"
𐍆𐌹𐌽𐌾𐌰,finja,barley,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪnja,0,uncertain,word,"F., n"
𐍆𐌹𐌽𐌽𐌷𐌰𐌹𐌸𐌰𐍃,finnhaiþas,inhabitants_of_finnahaithi,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪnn̥hɛθas,0,no_info,not_reconstructed,r
𐍆𐌹𐌽𐌽𐌷𐌰𐌹𐌸𐌰e,finnhaiþae,inhabitants_of_finnahaithi,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪnn̥hɛθae,0,no_info,not_reconstructed,r
𐍆𐌹𐌽𐌸𐌰𐌽,finþan,"find_out, discover, recognize, learn, obtain_knowledge_of",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪnθ,5,certain,form,"V., v"
𐍆𐌹𐍃𐌺𐌾𐌰,fiskja,"fisher, fisherman",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪskja,2,certain,form,"M., n"
𐍆𐌹𐍃𐌺𐍉𐌽,fiskōn,"fish, go_fishing",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪskon,1,certain,not_reconstructed,"V., v"
𐍆𐌹𐍃𐌺𐍃,fisks,fish,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪsks,14,certain,form,"M., n"
𐍆𐌹𐍄𐌰𐌽,fitan,"undergo_childbirth_pangs, give_birthamid_throes, be_in_labour_(with>>>",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸɪt,2,certain,form,"V., v"
𐍆𐌻𐌰𐌷𐍄𐌰,flahta,"braid, plait, braided_hair, woven_hair",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸlahta,1,certain,form,"F., F., nn"
𐍆𐌻𐌰𐌷𐍄𐍉,flahtō,"braid, plait, braided_hair, woven_hair",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸlahto,0,certain,form,"F., n"
𐍆𐌻𐌰𐌹𐌷𐍄𐌰𐌽,flaíhtan,"braid, plait",https://koeblergerhard.de/wikiling/?f=got&page=72,ɸlɛht,0,uncertain,word,"V., v"
𐍆𐌻𐌰𐍃𐌺𐍉,flaskō,bottle,https://koeblergerhard.de/wikiling/?f=got&page=72,ɸlasko,0,certain,word,"F., n"
𐍆𐌻𐌰𐌿𐍄𐌾𐌰𐌽,flautjan,"bevainglorious, boast, brag",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸlɔtj,1,certain,form,"V., v"
𐍆𐌻𐌰𐌿𐍄𐍃,flauts,"boastful, conceited, bragging",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸlɔts,21,certain,form,"Adj., a"
𐍆𐌻𐍉𐌳𐌿𐍃,flōdus,"flood, stream, onrush_of_water, onflow_of_water",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸloðus,1,certain,not_reconstructed,"M., n"
𐍆𐌻𐍉𐌺𐌰𐌽,flōkan,"beat_one’s_breast_over, bewail, mourn",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸlok,1,certain,form,"V., v"
𐍆𐍉𐌳e𐌹𐌽𐍃,fōdeins,"feeding, nourishment, nutrition, nutriment, food",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸoðins,2,certain,form,"F., n"
𐍆𐍉𐌳𐌾𐌰𐌽,fōdjan,"feed, nourish, nurture, bring_up, rear",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸoðj,5,certain,form,"V., v"
𐍆𐍉𐌳𐍂,fōdr,"scabbard, sheath, casing",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸoðr,1,certain,form,"N., n"
𐍆𐍉𐌽,fōn,fire,https://koeblergerhard.de/wikiling/?f=got&page=73,ɸon,20,certain,not_reconstructed,"N., n"
𐍆𐍉𐍄𐌿𐌱𐌰𐌽𐌳𐌹,fōtubandi,"foot_shackle, footbonds, leg_chains",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸotuβandɪ,1,certain,form,"F., n"
𐍆𐍉𐍄𐌿𐌱𐌰𐌿𐍂𐌳,fōtubaūrd,"footstool, board_for_resting_the_feet",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸotuβɔrd,3,certain,not_reconstructed,"N., n"
𐍆𐍉𐍄𐌿𐍃,fōtus,foot,https://koeblergerhard.de/wikiling/?f=got&page=73,ɸotus,41,certain,not_reconstructed,"M., n"
𐍆𐍂𐌰,fra,for,https://koeblergerhard.de/wikiling/?f=got&page=73,ɸra,0,certain,word,"V., Partikel, vr"
𐍆𐍂𐌰𐌰𐍄𐌾𐌰𐌽,fraatjan,"give_away_to_be_eaten, dispense_as_food",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraatj,1,certain,form,"V., v"
𐍆𐍂𐌰𐌱𐌰𐌹𐍂𐌰𐌽,frabaíran,"bear_psychologically, sustain_psychologically, endure",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraβɛr,1,certain,form,"V., v"
𐍆𐍂𐌰𐌱𐌰𐌿𐌷𐍄𐌰𐌱𐍉𐌺𐌰,frabaúhtabōka,"written_deed_of_sale, sale_document, sale_deed, sales_receipt",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraβɔhtaβoka,1,certain,form,"F., N., nn"
𐍆𐍂𐌰𐌱𐌿𐌲𐌾𐌰𐌽,frabugjan,sell,https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraβuɣj,10,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌳𐌰𐌹𐌻𐌾𐌰𐌽,fradailjan,"distribute, lot_out, dispense_in_portions",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraðɛlj,1,certain,form,"V., v"
𐍆𐍂𐌰𐌲𐌰𐌽,fragan,"ask, test, inquire_of, make_inquiry_into, examine",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraɣ,1,certain,form,"V., v"
𐍆𐍂𐌰𐌲𐌾𐌰𐌽,fragjan,"ask, test, inquire_of, make_inquiry_into, examine",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraɣj,0,certain,form,"V., v"
𐍆𐍂𐌰𐌲𐌹𐌱𐌰𐌽,fragiban,"give, grant, remit, forgive, pardon, bestow",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraɣɪβ,25,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌲𐌹𐍆𐍄𐍃,fragifts,"gift, grant, betrothal, presentation, bestowal, giving_away, plightedn>>>",https://koeblergerhard.de/wikiling/?f=got&page=73,ɸraɣɪɸts,3,certain,form,"F., n"
𐍆𐍂𐌰𐌲𐌹𐌻𐌳𐌰𐌽,fragildan,"repay, recompense, restore",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸraɣɪld,3,certain,form,"V., v"
𐍆𐍂𐌰𐌲𐌺𐌰,fragka,franconian,https://koeblergerhard.de/wikiling/?f=got&page=74,ɸraŋka,0,no_info,not_reconstructed,r
𐍆𐍂𐌰𐌷𐌹𐌽𐌸𐌰𐌽,frahinþan,"take_captive, capture",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrahɪnθ,4,certain,form,"V., v"
𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽,fraíhnan,"ask_a_question, ask, question",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛhn,57,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌹𐍃𐌰𐌽,fraisan,"put_to_the_test, try, tempt, make_trial_of, test",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛs,13,certain,form,"V., v"
𐍆𐍂𐌰𐌹𐍃𐍄𐌰,fraista,temptation,https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛsta,0,certain,word,"F., n"
𐍆𐍂𐌰𐌹𐍃𐍄𐍉𐌽,fraistōn,"try, tempt, make_trial_of",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛston,0,certain,word,"V., v"
𐍆𐍂𐌰𐌹𐍃𐍄𐌿𐌱𐌽𐌹,fraistubni,"testing, temptation",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛstuβnɪ,5,certain,form,"F., n"
𐍆𐍂𐌰𐌹𐍄𐌰𐌽,fraitan,"devour, consume_completely, eat_completely_up",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛt,4,certain,form,"V., v"
𐍆𐍂𐌰𐌹𐍅,fraiw,seed,https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrɛw,23,certain,not_reconstructed,"N., n"
𐍆𐍂𐌰𐌺𐌿𐌽𐌽𐌰𐌽,frakunnan,"refuse_to_recognize, spurn, disdain, scorn, despise",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrakunn,16,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌺𐌿𐌽𐌸𐍃,frakunþs,"spurned, disdained, despised",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸrakunθs,0,uncertain,word,"V., Adj., va"
𐍆𐍂𐌰𐌻𐌴𐍄,fralēt,"setting_at_liberty, release, relinquishment, dispensation, forgiveness",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralet,65,certain,form,"N., n"
𐍆𐍂𐌰𐌻𐌴𐍄𐌰𐌽,fralētan,"let_go, release, let_free, let, permit, absolve, let_down, lower_>>>",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralet,32,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌻𐌴𐍄𐍃,fralēts,"liberated_man, freed_man",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralets,1,certain,not_reconstructed,"M., n"
𐍆𐍂𐌰𐌻𐌴𐍅𐌾𐌰𐌽,fralēwjan,"hand_over_by_means_of_opportunistic_perfidy, betray",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralewj,1,certain,form,"V., v"
𐍆𐍂𐌰𐌻𐌹𐌿𐍃𐌰𐌽,fraliusan,"lose, ransom",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralɪus,9,certain,form,"V., v"
𐍆𐍂𐌰𐌻𐌿𐍃𐌽𐌰𐌽,fralusnan,"be_lost, become_lost, perish",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralusn,3,certain,form,"V., v"
𐍆𐍂𐌰𐌻𐌿𐍃𐍄𐍃,fralusts,"destruction, perdition, loss",https://koeblergerhard.de/wikiling/?f=got&page=74,ɸralusts,9,certain,not_reconstructed,"F., n"
𐍆𐍂𐌰𐌼,fram,"forwards, forth, from, at, by, near, farther, thence, since, before, about",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸram,185,certain,not_reconstructed,"Präp., Adv., V., rrv"
𐍆𐍂𐌰𐌼𐌰𐌻𐌳𐍂𐍃,framaldrs,"aged, advanced_in_age, well_along_in_years, of_advanced_age",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramaldr̥s,3,certain,form,"Adj., a"
𐍆𐍂𐌰𐌼𐌰𐌸e𐌹𐍃,framaþeis,"strange, alien, foreign, alienated, estranged",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramaθis,9,certain,form,"Adj., a"
𐍆𐍂𐌰𐌼𐌰𐌸𐍃,framaþs,"strange, alien, foreign, alienated, estranged",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramaθs,0,certain,form,"Adj., a"
𐍆𐍂𐌰𐌼𐌰𐌸𐌾𐌰𐌽,framaþjan,"estrange, alienate",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramaθj,1,certain,form,"V., v"
𐍆𐍂𐌰𐌼𐌲𐌰𐌷𐍄𐍃,framgāhts,"progress, advancement, furtherance",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramɡahts,1,certain,form,"F., n"
𐍆𐍂𐌰𐌼𐌹𐍃,framis,"further, farther_beyond",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramɪs,2,certain,not_reconstructed,"Adv., Adj., ra"
𐍆𐍂𐌰𐌼𐍃,frams,"efficient, competent, capable",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrams,0,uncertain,word,"Adj., a"
𐍆𐍂𐌰𐌼𐍅𐌰𐌹𐍂𐌸𐌹𐍃,framwaírþis,"onward, forward, further",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramwɛrθɪs,1,certain,not_reconstructed,"Adv., r"
𐍆𐍂𐌰𐌼𐍅𐌰𐌹𐍂𐌸𐍃,framwairþs,future,https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramwɛrθs,0,uncertain,word,"Adj., a"
𐍆𐍂𐌰𐌼𐍅𐌹𐌲𐌹𐍃,framwigis,"evermore, continuous, in_perpetuity",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸramwɪɣɪs,2,certain,not_reconstructed,"Adv., r"
𐍆𐍂𐌰𐌽𐌹𐌼𐌰𐌽,franiman,"acquire, take_possession_of, receive, take_along",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸranɪm,2,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌵𐌹𐌼𐌰𐌽,fraqiman,"use_up, expend, consume, exhaust, spend, rise_up",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrakʷɪm,7,certain,form,"V., v"
𐍆𐍂𐌰𐌵𐌹𐍃𐍄e𐌹𐌽𐍃,fraqisteins,"spoiling, spoilage",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrakʷɪstins,1,certain,form,"F., n"
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌾𐌰𐌽,fraqistjan,"annihilate, obliterate, destroy_utterly",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrakʷɪstj,23,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌵𐌹𐍃𐍄𐌽𐌰𐌽,fraqistnan,"be_utterly_destroyed, become_utterly_destroyed, perish",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrakʷɪstn,17,certain,form,"V., v"
𐍆𐍂𐌰𐌵𐌹𐌸𐌰𐌽,fraqiþan,"speak_ill_of, deprecate, condemn, curse_so",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrakʷɪθ,7,certain,form,"V., v"
𐍆𐍂𐌰𐍂𐌹𐌽𐌽𐌰𐌽,frarinnan,"run_awry, run_amiss, meet_up_with",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrarɪnn,1,certain,form,"V., v"
𐍆𐍂𐌰𐍃𐌻𐌹𐌽𐌳𐌰𐌽,fraslindan,"swallow_up, devour",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸraslɪnd,1,certain,form,"V., v"
𐍆𐍂𐌰𐍃𐍄𐌹𐍃𐌹𐌱𐌾𐌰,frastisibja,"familial_adoption, adoption_as_children, sonship",https://koeblergerhard.de/wikiling/?f=got&page=75,ɸrastɪsɪβja,1,certain,not_reconstructed,"F., n"
𐍆𐍂𐌰𐍃𐍄𐍃,frasts,"child, bairn",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrasts,1,certain,form,"M., F., nn"
𐍆𐍂𐌰𐍄𐍂𐌿𐌳𐌰𐌽,fratrudan,trample,https://koeblergerhard.de/wikiling/?f=got&page=76,ɸratruð,1,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌸𐌹,fraþi,"understanding, perception, viewpoint, attitude, disposition, mindedness",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸraθɪ,14,certain,not_reconstructed,"N., n"
𐍆𐍂𐌰𐌸𐌾𐌰𐌼𐌰𐍂𐌶e𐌹𐌽𐍃,fraþjamarzeins,"comprehensionimpediment, a_thwarting_of_the_understanding",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸraθjamarzins,1,certain,not_reconstructed,"F., n"
𐍆𐍂𐌰𐌸𐌾𐌰𐌽,fraþjan,"perceive, comprehend, understand, think, recognize, understand_in_a_certain_way,>>>",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸraθj,49,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌸𐌾𐌰𐌽𐌳𐍃,fraþjands,"perceiving, comprehending",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸraθjands,0,uncertain,word,"V., Adj., va"
𐍆𐍂𐌰𐌸𐌾e𐌹,fraþjei,"rationality, reasonableness, discretion",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸraθji,0,uncertain,word,"F., n"
𐍆𐍂𐌰𐌸𐌾𐌹𐍃,fraþjis,volent,https://koeblergerhard.de/wikiling/?f=got&page=76,ɸraθjɪs,0,uncertain,word,"Adj., a"
𐍆𐍂𐌰𐌿𐌾𐌰,frauja,"lord, master",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrɔja,392,certain,not_reconstructed,"M., n"
𐍆𐍂𐌰𐌿𐌾𐌹𐌽𐌰𐍃𐍃𐌿𐍃,fraujinassus,"dominion, domination, mastery",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrɔjɪnassus,2,certain,form,"M., n"
𐍆𐍂𐌰𐌿𐌾𐌹𐌽𐍉𐌽,fraujinōn,"be_lord, be_master, rule, lord_it_over, rule_over",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrɔjɪnon,7,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐌿𐌾𐌹𐌽𐍉𐌽𐌳𐍃,fraujinōnds,"lord, master, ruler, sovereign",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrɔjɪnonds,1,certain,form,"M., n"
𐍆𐍂𐌰𐌿𐌾𐌹𐍃,fraujis,"lord, master",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrɔjɪs,0,uncertain,word,"M., n"
𐍆𐍂𐌰𐌿𐍃,fraus,"happy, glad",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrɔs,0,certain,word,"Adj., a"
𐍆𐍂𐌰𐍅𐌰𐌹𐍂𐍀𐌰𐌽,frawaírpan,"throw_away, discard, jettison, cast_off, scatter",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrawɛrp,2,certain,form,"V., v"
𐍆𐍂𐌰𐍅𐌰𐌹𐍂𐌸𐌰𐌽,frawaírþan,"degenerate, spoil, perish, become_corrupt",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrawɛrθ,1,certain,form,"V., v"
𐍆𐍂𐌰𐍅𐌰𐍂𐌳e𐌹𐌽𐍃,frawardeins,"destruction, corruption",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrawardins,1,certain,form,"F., n"
𐍆𐍂𐌰𐍅𐌰𐍂𐌳𐌾𐌰𐌽,frawardjan,"cause_to_degenerate, corrupt, destroy",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrawardj,9,certain,form,"V., v"
𐍆𐍂𐌰𐍅𐌰𐌿𐍂𐌷𐍄𐍃,frawaúrhts,"evildoing, sinful, subst_sinner",https://koeblergerhard.de/wikiling/?f=got&page=76,ɸrawɔrhts,2,certain,not_reconstructed,"F., n"
𐍆𐍂𐌰𐍅𐌰𐌿𐍂𐌷𐍄𐍃,frawaúrhts,"transgression, evildoing, sin, offence",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawɔrhts,2,certain,not_reconstructed,"F., n"
𐍆𐍂𐌰𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽,frawaúrkjan,"sin, commit_error, transgress, commit_a_transgression",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawɔrkj,16,certain,form,"V., v"
𐍆𐍂𐌰𐍅e𐌹𐍄,fraweit,"punishment, revenge, vengeance, retribution",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawit,4,certain,not_reconstructed,"N., n"
𐍆𐍂𐌰𐍅e𐌹𐍄𐌰𐌽,fraweitan,"avenge, wreak_vengeance",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawit,5,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐍅𐌹𐌻𐍅𐌰𐌽,frawilwan,"grab_away, snatch_up, seize, wrest_away",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawɪlw,8,certain,not_reconstructed,"V., v"
𐍆𐍂𐌰𐍅𐌹𐍃𐌰𐌽,frawisan,"consume_by_dining, devour_through_epicurean_living, eat_up_in_feasting, squander",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawɪs,1,certain,form,"V., v"
𐍆𐍂𐌰𐍅𐍂𐌹𐌺𐌰𐌽,frawrikan,"persecute_severely, oppress_intensely_with_persecution, drive_out",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawrɪk,1,certain,form,"V., v"
𐍆𐍂𐌰𐍅𐍂𐍉𐌷𐌾𐌰𐌽,frawrōhjan,"accuse_maliciously, accuse_calumniously, incriminate_slanderously, suspect",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸrawrohj,1,certain,form,"V., v"
𐍆𐍂e𐌹𐌳e𐌹𐌽𐍃,freideins,saving,https://koeblergerhard.de/wikiling/?f=got&page=77,ɸriðins,0,uncertain,word,"F., n"
𐍆𐍂e𐌹𐌳𐌾𐌰𐌽,freidjan,"keep_safe, treat_watchfully, take_care_of, act_with_restraint_toward, spare",https://koeblergerhard.de/wikiling/?f=got&page=77,ɸriðj,6,certain,form,"V., v"
