New_orth,Old_orth,Lan,New,Old
segg,śäŋkɜ,FU,ʃɛɡː,ʃʲæŋkͽ
hal,kala,U,hɒl,kɑlɑ
út,utka,U,uːt,utkɑ
él,elä,U,eːl,elæ
láp,lȣppɜ,FU,laːp,lȣppͽ
fal,pala,U,fɒl,pɑlɑ
old,aŋa,FU,old,ɑŋɑ
láng,lomɜ,FU,laːnɡ,lomͽ
légy,lȣńćɜ,FU,leːɟ,lȣnʲt͡ʃʲͽ
rész,räćɜ,FU,reːs,ræt͡ʃʲͽ
nyolc,ńalɜ,Ug,ɲolt͡s,nʲɑlͽ
joh,kunɜ,FU,joh,kunͽ
zug,suŋɜ,Ug,zuɡ,suŋͽ
jut,juktɜ,Ug,jut,juktͽ
ját,jȣttɜ,Ug,jaːt,jȣttͽ
tova,to,U,tovɒ,to
más,mu,FU,maːʃ,mu
nyék,näkɜ,Ug,ɲeːk,nækͽ
fél,pele,FU,feːl,pele
fél,pele,U,feːl,pele
süt,čittɜ,Ug,ʃyt,t͡ʃittͽ
tó,towɜ,U,toː,towͽ
hét,ϑäptɜ,Ug,heːt,θæptͽ
tő,tiŋe,FU,tøː,tiŋe
gyak,jȣkkɜ,Ug,ɟɒk,jȣkkͽ
kő,kiwe,FU,køː,kiwe
rés,raćɜ,FU,reːʃ,rɑt͡ʃʲͽ
csün,ćȣ̈nɜ,U,t͡ʃyn,t͡ʃʲȣ̈nͽ
jöv,jȣ̈ŋɜ,Ug,jøv,jȣ̈ŋͽ
dob,tȣmpɜ,Ug,dob,tȣmpͽ
domb,tȣmpɜ,Ug,domb,tȣmpͽ
siet,čijɜ,FU,ʃiɛt,t͡ʃijͽ
vő,wäŋe,U,vøː,wæŋe
hagy,kaδ̕a,U,hɒɟ,kɑðʲɑ
em,emä,U,ɛm,emæ
nyújt,nȣjɜ,FU,ɲuːjt,nȣjͽ
fej,päŋe,U,fɛj,pæŋe
joh,ju,Ug,joh,ju
fúr,pura,U,fuːr,purɑ
hal,kola,U,hɒl,kolɑ
ős,ićä,U,øːʃ,it͡ʃʲæ
fagy,paĺa,FU,fɒɟ,pɑlʲɑ
hat,kutte,FU,hɒt,kutte
sző,śäŋe,FU,søː,ʃʲæŋe
er,irkä,FU,ɛr,irkæ
hall,kule,FU,hɒlː,kule
lő,lewe,FU,løː,lewe
ló,luwɜ,Ug,loː,luwͽ
húgy,kuńće,U,huːɟ,kunʲt͡ʃʲe
lé,leme,FU,leː,leme
fon,puna,U,fon,punɑ
had,kunta,FU,hɒd,kuntɑ
háj,kuje,FU,haːj,kuje
fan,puna,FU,fɒn,punɑ
hab,kumpa,U,hɒb,kumpɑ
fog,piŋe,FU,foɡ,piŋe
nyű,ńikɜ,U,ɲyː,nʲikͽ
háml,kama,U,haːml,kɑmɑ
mar,mura,U,mɒr,murɑ
fos,pućka,FU,foʃ,put͡ʃʲkɑ
ró,rokɜ,FU,roː,rokͽ
jó,jomɜ,Ug,joː,jomͽ
szó,sawɜ,Ug,soː,sɑwͽ
vas,waśke,U,vɒʃ,wɑʃʲke
ház,kota,FU,haːz,kotɑ
jó,joke,U,joː,joke
fél,pälä,U,feːl,pælæ
men,mene,U,mɛn,mene
rá,raŋɜ,Ug,raː,rɑŋͽ
huny,kuńa,U,huɲ,kunʲɑ
kell,kelke,FU,kɛlː,kelke
fut,pukta,U,fut,puktɑ
méz,mete,FU,meːz,mete
vér,wire,FU,veːr,wire
nyel,ńele,U,ɲɛl,nʲele
kéz,käte,FU,keːz,kæte
tev,teke,FU,tɛv,teke
vol,wole,FU,vol,wole
nő,niŋä,U,nøː,niŋæ
kéj,keje,FU,keːj,keje
vad,wamta,FU,vɒd,wɑmtɑ
héj,koja,FU,heːj,kojɑ
szú,ćuγɜ,FU,suː,t͡ʃʲuɣͽ
hős,kaća,U,høːʃ,kɑt͡ʃʲɑ
mos,muśke,U,moʃ,muʃʲke
agyar,ońćarɜ,FU,ɒɟɒr,onʲt͡ʃʲɑrͽ
hölgy,kaδ̕wa,FU,hølɟ,kɑðʲwɑ
kel,kälä,FU,kɛl,kælæ
méh,mekše,FU,meːh,mekʃe
kér,kerä,FU,keːr,keræ
nyal,ńole,U,ɲɒl,nʲole
tat,totke,U,tɒt,totke
vaj,woje,FU,vɒj,woje
tud,tumte,U,tud,tumte
toll,tulka,U,tolː,tulkɑ
köt,kitke,FU,køt,kitke
könny,kińe,U,køɲː,kinʲe
máj,maksa,U,maːj,mɑksɑ
víz,wete,U,viːz,wete
száz,śata,FU,saːz,ʃʲɑtɑ
szel,śälä,FU,sɛl,ʃʲælæ
vál,walka,FU,vaːl,wɑlkɑ
jel,jälke,FU,jɛl,jælke
szil,śala,FU,sil,ʃʲɑlɑ
nyíl,ńɤle,U,ɲiːl,nʲɤle
jég,jäŋe,FU,jeːɡ,jæŋe
ostor,oćtɜrɜ,Ug,oʃtor,ot͡ʃʲtͽrͽ
tőr,terä,FU,tøːr,teræ
ara,arɜ,Ug,ɒrɒ,ɑrͽ
viv,wiγe,FU,viv,wiɣe
vív,woje,FU,viːv,woje
lóg,loŋe,FU,loːɡ,loŋe
két,kakta,FU,keːt,kɑktɑ
zaj,ćaka,FU,zɒj,t͡ʃʲɑkɑ
hall,kuntalɜ,Ug,hɒlː,kuntɑlͽ
száj,śuwe,U,saːj,ʃʲuwe
váll,wolka,FU,vaːlː,wolkɑ
ígér,eŋkɜrɜ,Ug,iːɡeːr,eŋkͽrͽ
szarv,śorwa,FU,sɒrv,ʃʲorwɑ
nyuszt,ńukśe,FU,ɲust,nʲukʃʲe
tőgy,tuδ̕ka,FU,tøːɟ,tuðʲkɑ
zaj,śoje,FU,zɒj,ʃʲoje
lúd,lunta,FU,luːd,luntɑ
szúr,śurwa,FU,suːr,ʃʲurwɑ
kécs,kečä,FU,keːt͡ʃ,ket͡ʃæ
húz,kupɜtɜ,Ug,huːz,kupͽtͽ
néz,näke,FU,neːz,næke
sért,ćärke,FU,ʃeːrt,t͡ʃʲærke
dug,tuŋke,FU,duɡ,tuŋke
meg,miŋä,FU,mɛɡ,miŋæ
apa,appe,FU,ɒpɒ,ɑppe
lágy,lońća,FU,laːɟ,lonʲt͡ʃʲɑ
tél,tälwä,FU,teːl,tælwæ
elő,eδe,FU,ɛløː,eðe
facsar,pućɜrɜ,FU,fɒt͡ʃɒr,put͡ʃʲͽrͽ
horó,kurɜ,FU,horoː,kurͽ
meny,mińä,U,mɛɲ,minʲæ
emlő,ime,U,ɛmløː,ime
nyél,niδe,U,ɲeːl,niðe
fakad,pakka,FU,fɒkɒd,pɑkkɑ
álom,oδamɜ,FU,aːlom,oðɑmͽ
nyelv,ńälmä,FU,ɲɛlv,nʲælmæ
ajtó,ȣjɜ,Ug,ɒjtoː,ȣjͽ
név,nime,U,neːv,nime
falu,palγɜ,Ug,fɒlu,pɑlɣͽ
üsző,iśɜ,Ug,ysøː,iʃʲͽ
árva,orpa,FU,aːrvɒ,orpɑ
farag,parɜ,U,fɒrɒɡ,pɑrͽ
nyúl,ńoma,U,ɲuːl,nʲomɑ
háló,kalɜ,U,haːloː,kɑlͽ
fecske,päćkɜ,FU,fɛt͡ʃkɛ,pæt͡ʃʲkͽ
lök,likkä,FU,løk,likkæ
szem,śilmä,U,sɛm,ʃʲilmæ
holló,kulɜ,U,holːoː,kulͽ
födél,pentɜlɜ,Ug,fødeːl,pentͽlͽ
hasad,kaćɜ,Ug,hɒʃɒd,kɑt͡ʃʲͽ
hamu,kuδ̕mɜ,Ug,hɒmu,kuðʲmͽ
ének,äne,FU,eːnɛk,æne
szív,śiδä,U,siːv,ʃʲiðæ
hangya,kuńće,FU,hɒnɟɒ,kunʲt͡ʃʲe
tegez,täŋɜtɜ,Ug,tɛɡɛz,tæŋͽtͽ
harag,kurɜ,FU,hɒrɒɡ,kurͽ
négy,ńeljä,FU,neːɟ,nʲeljæ
hajol,kajɜ,Ug,hɒjol,kɑjͽ
hagyma,koćmɜ,FU,hɒɟmɒ,kot͡ʃʲmͽ
fagyal,pajɜ,U,fɒɟɒl,pɑjͽ
hosszú,końćɜ,U,hosːuː,konʲt͡ʃʲͽ
seg,ćiŋkä,FU,ʃɛɡ,t͡ʃʲiŋkæ
fejsze,pȣ̈jćɜ,U,fɛjsɛ,pȣ̈jt͡ʃʲͽ
fenyő,pȣ̈nɜ,FU,fɛɲøː,pȣ̈nͽ
harmat,kura,U,hɒrmɒt,kurɑ
oldal,oŋtɜ,Ug,oldɒl,oŋtͽ
felhő,pilwe,FU,fɛlhøː,pilwe
tűz,tüγɜtɜ,Ug,tyːz,tyɣͽtͽ
faggyú,pȣĺćɜ,Ug,fɒɟːuː,pȣlʲt͡ʃʲͽ
varjú,warɜ,U,vɒrjuː,wɑrͽ
szaka,śakkɜ,Ug,sɒkɒ,ʃʲɑkkͽ
horol,korɜ,FU,horol,korͽ
ágyék,ańćɜ,Ug,aːɟeːk,ɑnʲt͡ʃʲͽ
iránt,arɜ,Ug,iraːnt,ɑrͽ
kerek,kerä,FU,kɛrɛk,keræ
süh,ćiklä,U,ʃyh,t͡ʃʲiklæ
here,kojra,U,hɛrɛ,kojrɑ
fészek,pesä,U,feːsɛk,pesæ
köré,kere,FU,køreː,kere
tetű,täje,FU,tɛtyː,tæje
tele,täwδe,FU,tɛlɛ,tæwðe
halok,kolɜ,FU,hɒlok,kolͽ
fazék,pata,FU,fɒzeːk,pɑtɑ
messze,mećä,FU,mɛsːɛ,met͡ʃʲæ
hályog,kaĺwɜ,FU,haːjoɡ,kɑlʲwͽ
hajít,kaja,FU,hɒjiːt,kɑjɑ
harkály,karɜ,Ug,hɒrkaːj,kɑrͽ
mered,merɜ,Ug,mɛrɛd,merͽ
kéreg,kere,FU,keːrɛɡ,kere
féreg,perkɜ,FU,feːrɛɡ,perkͽ
