got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos,substi
asans,F.,"Sommer, Erntezeit, Ernte","harvest time, summertime, harvest (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['8'],certain,,asans,"harvest_time, summertime, harvest",n,
Asia,F.,Asien,Asia,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['4'],certain,form,asɪa,Asia,n,"asi, ase, asæ, æsi, æse, æsæ"
asiluqaírnus,F.,"Eselsmühle, Mühlstein","donkey-quern, donkey-mill, millstone",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['1'],certain,,asɪlukwɛrnus,"donkeyquern, donkeymill, millstone",n,too long
asilus,M.,"Esel, Eselin",donkey,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['3'],certain,form,asɪlus,donkey,n,too long
aska,F.,Äsche,a sort of fish,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,aska,a_sort_of_fish,n,"asa, aka, æsæ, ækæ"
asks,F.,"Esche, Speer","ash-tree, spear (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,[],uncertain,word,asks,"ashtree, spear",n,
asneis,M.,"Mietling, Tagelöhner","hired man, day-labourer, wage earner, paid servant",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=26,['6'],certain,,asnis,"hired_man, daylabourer, wage_earner, paid_servant",n,
asnō,F.,"Lohn, Zins","earnings, wages",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,asno,"earnings, wages",n,"aso, asu, ano, anu, æso, æsu, æno, ænu"
aspa,F.,Espe,aspen,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,aspa,aspen,n,"asa, apa, æsæ, æpæ"
assarjus,M.,"Ass (Münze), Pfennig, Kreuzer (M.) (2)","assarion, coin worth one ace",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,assarjus,"assarion, coin_worth_one_ace",n,too long
assjan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,assjan,,v,
assus,"V., M.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,assus,,vn,
assus,"V., M.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],uncertain,word,assus,,vn,
astaþ,F.,"Sicherheit, Gewissheit","certainty, truth",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,astaθ,"certainty, truth",n,
astaþs,F.,"Sicherheit, Gewissheit","certainty, truth",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],certain,form,astaθs,"certainty, truth",n,
astaþs,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],certain,form,astaθs,,n,
asts,M.,"Ast, Streu von Laub, Zweig, Palmzweig","branch (N.), bough",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['9'],certain,,asts,"branch, bough",n,
astualdus,M.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,[],certain,form,astualdus,,n,too long
at,"Präp., V.","von, bei, an, zu, unter, auf","from, at, with s.o., at a place, to, during, at the time of, while, when, with t>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['170'],certain,,at,"from, at, with_so, at_a_place, to, during, at_the_time_of, while, when, with_t",rv,
ataþni,N.,Jahr,the year at hand,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,ataθnɪ,the_year_at_hand,n,too long
ataugjan,V.,"zeigen, erscheinen (= sik ataugjan)","bring before the eyes of, show to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['23'],certain,,atauɣjan,"bring_before_the_eyes_of, show_to",v,too long
atbaíran,V.,"bringen, herbeibringen, darbringen, hinzutragen","bring, offer (V.), bring to, take to, present to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['12'],certain,form,atbɛran,"bring, offer, bring_to, take_to, present_to",v,too long
atdragan,V.,herunterziehen,pull (V.) down,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,atdraɣan,pull_down,v,too long
atdriusan,V.,"fallen in, zufallen, fallen","fall towards, fall into, fall down at",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['7'],certain,form,atdrɪusan,"fall_towards, fall_into, fall_down_at",v,too long
atfarjan,V.,"einlaufen, landen","reach land, arrive by boat, land (V.), put into port",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,form,atɸarjan,"reach_land, arrive_by_boat, land, put_into_port",v,too long
atgagg,N.,Zugang,"access (N.), approach (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['2'],certain,form,atɡaŋɡ,"access, approach",n,
atgaggan,V.,"hinzugehen, kommen, hinzukommen","go to, betake o.s. to, proceed to, come down to, come up to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['62'],certain,form,atɡaŋɡan,"go_to, betake_os_to, proceed_to, come_down_to, come_up_to",v,too long
atgāhts,F.,Eingang,entrance (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['1'],certain,word,atɡahts,entrance,n,
atgāhts,Adj.,zugänglich,"accessible, approachable",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=27,['2'],certain,word,atɡahts,"accessible, approachable",a,
atgaraíhtjan,V.,"vollends in Ordnung bringen, wiederherstellen, einrichten","add to the rectification of, give additional correction to, set in order",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atɡarɛhtjan,"add_to_the_rectification_of, give_additional_correction_to, set_in_order",v,too long
atgiban,V.,"hingeben, übergeben (V.), geben, darreichen","give unto, deliver into the custody of, give over to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['74'],certain,,atɡɪβan,"give_unto, deliver_into_the_custody_of, give_over_to",v,too long
athabansikdu,V.,"„anhalten“, nähern","betake, approach (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,,athaβansɪkdu,"betake, approach",v,too long
athafjan,V.,"„herabheben“, herabnehmen","lift down off, bring up off, take down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,,athaɸjan,"lift_down_off, bring_up_off, take_down",v,too long
athāhan,V.,"hinabhängen, hinablassen, hinunterlassen, niederlassen","lower while suspending, let down, let hang down, set down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['2'],certain,form,athahan,"lower_while_suspending, let_down, let_hang_down, set_down",v,too long
athaitan,V.,herzurufen,"summon (V.), call to one’s side, bid come",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['15'],certain,form,athaɪtan,"summon, call_to_ones_side, bid_come",v,too long
athe,Num.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],certain,,athe,,r,"ate, ati, aje, aji, ake, aki, aŋe, aŋi, atke, atki, æte, æti, æje, æji, æke, æki, æŋe, æŋi, ætke, ætki"
atisk,M.,"Saat, Saatfeld","standing grain, grainfield, wheat fields",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['2'],certain,form,atɪsk,"standing_grain, grainfield, wheat_fields",n,
atjan,V.,essen lassen?,let eat,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],uncertain,word,atjan,let_eat,v,
atkunnan,V.,"gewähren, zuerkennen","acknowledge, learn to know",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atkunnan,"acknowledge, learn_to_know",v,too long
atlagjan,V.,"hinlegen, auflegen, Geld anlegen, legen, werfen, aufsetzen","lay on, lay onto, lay into, lay at, lay before, deposit at",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['8'],certain,form,atlaɣjan,"lay_on, lay_onto, lay_into, lay_at, lay_before, deposit_at",v,too long
atlaþōn,V.,"berufen (V.), einladen (V.) (1), laden (V.) (1)","call to, bid come, call together, invite",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['2'],certain,form,atlaθon,"call_to, bid_come, call_together, invite",v,too long
atlēweins,F.,Verrat,treason,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],uncertain,word,atlewins,treason,n,too long
atlēweis,M.,Verräter,traitor,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,[],uncertain,word,atlewis,traitor,n,too long
atligan,V.,"dabeiliegen, vorliegen, vorhanden sein (V.)","lie (V.) (2) at hand, lie (V.) (2) adjacent to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atlɪɣan,"lie_at_hand, lie_adjacent_to",v,too long
atnēƕjan,V.,herannahen,"draw near to, approach (V.), come near",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['6'],certain,form,atnehwjan,"draw_near_to, approach, come_near",v,too long
atniman,V.,"aufnehmen, versetzen, annehmen","take unto, transfer to, bring into",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atnɪman,"take_unto, transfer_to, bring_into",v,too long
atochta,Adj.,schlecht,bad,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,,atochta,bad,a,too long
atrinnan,V.,"hinzulaufen, hinzurennen","run thither, run up to, come up",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['1'],certain,form,atrɪnnan,"run_thither, run_up_to, come_up",v,too long
atsaíƕan,V.,"sehen auf, sich in Acht nehmen, sich hüten","give heed, watch out, be careful, be watchful, note (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=28,['109'],certain,form,atsɛhwan,"give_heed, watch_out, be_careful, be_watchful, note",v,too long
atsatjan,V.,darstellen,"present (V.), set before",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['3'],certain,,atsatjan,"present, set_before",v,too long
atsnarpjan,V.,"anfassen, anrühren, berühren, angreifen","pinch (V.), grasp (V.), touch (V.), make shrivelled by touching, crumple, make w>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['1'],certain,form,atsnarpjan,"pinch, grasp, touch, make_shrivelled_by_touching, crumple, make_w",v,too long
atsniwan,V.,hinzueilen,"hasten thither, reach with haste, arrive with haste",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,[],uncertain,word,atsnɪwan,"hasten_thither, reach_with_haste, arrive_with_haste",v,too long
atstandan,V.,"dabeistehen, eintreten, hinzukommen, hinzutreten, zugegen sein (V.)","stand adjacently, stand within reach, stand near, stand nearby, come to stand ne>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['8'],certain,form,atstandan,"stand_adjacently, stand_within_reach, stand_near, stand_nearby, come_to_stand_ne",v,too long
atsteigan,V.,hinabsteigen,"climb down, descend",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['16'],certain,form,atstiɣan,"climb_down, descend",v,too long
atta,M.,"Vater, Vorfahre",father (M.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['241240'],certain,,atta,father,n,"ata, atta, ætæ, ættæ"
attēkan,V.,"berühren, anrühren","touch (V.), make contact with, lay one’s touch upon",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['21'],certain,,attekan,"touch, make_contact_with, lay_ones_touch_upon",v,too long
attiuhan,V.,"herbeiziehen, herbeiführen, herbeibringen, hereinführen, bringen","bring up, take up, convey (V.), conduct into proximity",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['12'],certain,,attɪuhan,"bring_up, take_up, convey, conduct_into_proximity",v,too long
atþinsan,V.,"heranziehen, herbeiziehen, herzuziehen","draw towards, pull up to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['2'],certain,form,atθɪnsan,"draw_towards, pull_up_to",v,too long
atugs,Adj.,schlecht,bad,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,[],uncertain,word,atuɣs,bad,a,
atwaírpan,V.,"hinwerfen, hinstrecken, werfen","make arrive at by throwing, make reach by throwing, hurl into the location of, c>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['4'],certain,,atwɛrpan,"make_arrive_at_by_throwing, make_reach_by_throwing, hurl_into_the_location_of, c",v,too long
atwalwjan,V.,"hinzuwälzen, hinwälzen","roll up, make roll up, roll against, move to by rolling",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['1'],certain,form,atwalwjan,"roll_up, make_roll_up, roll_against, move_to_by_rolling",v,too long
atwandjan,V.,"zuwenden, zurückkehren","make arrive at by turning, make turn forth to, return (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['1'],certain,form,atwandjan,"make_arrive_at_by_turning, make_turn_forth_to, return",v,too long
atwisan,V.,"da sein (V.), zur Hand liegen","be at hand, be imminent, be present",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['3'],certain,form,atwɪsan,"be_at_hand, be_imminent, be_present",v,too long
atwitains,F.,"Beobachten, Beobachtung, Wahrnehmung","surveillance, watchfulness, observation, look-out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['1'],certain,form,atwɪtaɪns,"surveillance, watchfulness, observation, lookout",n,too long
atwitan,V.,beobachten,"observe, be on the lookout",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,[],uncertain,word,atwɪtan,"observe, be_on_the_lookout",v,too long
atwōpjan,V.,herbeirufen,"summon (V.), call to o.s., call hither, call thither",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['6'],certain,,atwopjan,"summon, call_to_os, call_hither, call_thither",v,too long
aþa,,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['1'],certain,word,aθa,,nvar,"ata, asa, ætæ, æsæ"
aþa,Interj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,['2'],certain,word,aθa,,r,"ata, asa, ætæ, æsæ"
aþal,N.,Adel (M.) (1),nobility,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=29,[],uncertain,word,aθal,nobility,n,
aþals,Adj.,edel,noble (Adj.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,aθals,noble,a,
aþans,Adj.,edel,noble (Adj.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,aθans,noble,a,
aþn,"M., N.",Jahr,"period of the year, season (N.), term of the year",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['1'],certain,form,aθn,"period_of_the_year, season, term_of_the_year",nn,
aþns,"M., N.",Jahr,"period of the year, season (N.), term of the year",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],certain,form,aθns,"period_of_the_year, season, term_of_the_year",nn,
aþni,N.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,aθnɪ,,n,"ati, ate, asi, ase, ani, ane, æti, æte, æsi, æse, æni, æne"
aþns,"M., N.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,aθns,,nn,
aþþan,Konj.,"aber doch, aber ja, aber nun, denn, also, nun, und","but then, but nonetheless, but, however although, though",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['240'],certain,,aθθan,"but_then, but_nonetheless, but, however_although, though",r,
audagei,F.,Seligkeit,"luck, happiness, bliss",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['1'],certain,,auðaɣi,"luck, happiness, bliss",n,too long
audagjan,V.,selig preisen,"bless (V.), deem fortunate, regard as blest",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['1'],certain,form,auðaɣjan,"bless, deem_fortunate, regard_as_blest",v,too long
audags,Adj.,"vom Schicksal begabt, selig","fortunate, blessed, blest",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['15'],certain,,auðaɣs,"fortunate, blessed, blest",a,
audahafts,Adj.,"beglückt, begnadigt, beseligt, selig","fortunate (Adj.), blessed",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['1'],certain,form,auðahaɸts,"fortunate, blessed",a,too long
audsauþs,"M., N.","Habe, Gut","fortune, prosperity",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],certain,word,auðsauθs,"fortune, prosperity",nn,
aúftō,Adv.,"allerdings, wohl, vielleicht, etwa","in all probability, indeed, perhaps, certainly, be sure, no doubt",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['2120'],certain,,ɔɸto,"in_all_probability, indeed, perhaps, certainly, be_sure, no_doubt",r,"ɑpo, ɑpu, ɑwo, ɑwu, ɑso, ɑsu, ɑto, ɑtu, opo, opu, owo, owu, oso, osu, oto, otu"
augadaúrō,N.,"„Augentür“, Fenster",window,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['1'],certain,form,auɣaðɔro,window,n,too long
augi,N.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,auɣɪ,,n,"æɣi, æɣe, uɣi, uɣe, oɣi, oɣe"
augiba,Adv.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,auɣɪβa,,r,too long
augjan,V.,zeigen,"put before the eyes, show (V.), exhibit",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['2'],certain,form,auɣjan,"put_before_the_eyes, show, exhibit",v,
augjō,Adv.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,[],uncertain,word,auɣjo,,r,"æjo, æju, ujo, uju, ojo, oju"
augō,N.,Auge,eye,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['55'],certain,,auɣo,eye,n,"æɣo, æɣu, uɣo, uɣu, oɣo, oɣu"
áuhjōdus,M.,Lärm,"uproar (N.), noise, noisy tumult",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['2'],certain,form,auhjoðus,"uproar, noise, noisy_tumult",n,too long
auhjōn,V.,"lärmen, schreien","make a noise, be tumultuously noisy, make an uproar",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=30,['2'],certain,form,auhjon,"make_a_noise, be_tumultuously_noisy, make_an_uproar",v,
aúhmists,"Adj., Adj.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],certain,form,ɔhmɪsts,,aa,
aúhns,M.,Ofen,oven,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['1'],certain,form,ɔhns,oven,n,
aúhsa,M.,"Ochse, Rind",ox,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['1'],certain,form,ɔhsa,ox,n,"ɑja, ɑjæ, ɑka, ɑkæ, ɑŋa, ɑŋæ, ɑsa, ɑsæ, ɑksa, ɑksæ, ɑŋsa, ɑŋsæ, oja, ojæ, oka, okæ, oŋa, oŋæ, osa, osæ, oksa, oksæ, oŋsa, oŋsæ"
aúhsus,M.,"Ochse, Rind",ox,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['5'],certain,form,ɔhsus,ox,n,
aúhuma,"Adj., Adj.","höher, erhaben, vorzüglicher","higher, above",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['33'],certain,form,ɔhuma,"higher, above",aa,too long
aúhumists,"Adj., Adj.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],certain,,ɔhumɪsts,,aa,too long
auja,F.,Glück,fortune,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['4'],certain,,auja,fortune,n,"æja, æjæ, uja, ujæ, oja, ojæ"
auk,Konj.,"denn, nämlich, aber, auch, und","furthermore, moreover, besides, for, but, also, since",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['288287'],certain,,auk,"furthermore, moreover, besides, for, but, also, since",r,
aukan,V.,"sich mehren, sich vermehren","become greater, increase (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['1'],certain,form,aukan,"become_greater, increase",v,
auknan,V.,"sich mehren, dargebracht werden","become increased, grow larger",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['1'],certain,form,auknan,"become_increased, grow_larger",v,
auna,Sb.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],certain,word,auna,,n,"æna, ænæ, una, unæ, ona, onæ"
aur,M.,"Sand, Kies","sand (N.), grit (N.), gravel (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['1'],certain,word,aur,"sand, grit, gravel",n,
aur,M.,Meer?,sea,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['2'],certain,word,aur,sea,n,
aurahi,F.,"Grabdenkmal, Grab, Grabmal","grave, burial-place, monument, tomb",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['3'],certain,form,aurahɪ,"grave, burialplace, monument, tomb",n,too long
aurahjō,F.,"Grabdenkmal, Grab, Grabmal","grave, burial-place, monument, tomb",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],uncertain,form,aurahjo,"grave, burialplace, monument, tomb",n,too long
aurahjō,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],certain,form,aurahjo,,n,too long
aurahs,Adj.,"sandig, kiesig","sandy, earthen, gravelly",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],uncertain,word,aurahs,"sandy, earthen, gravelly",a,
aúrāli,N.,Schweißtuch,"facial sweat-cloth, towel (N.), napkin",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['1'],certain,form,ɔralɪ,"facial_sweatcloth, towel, napkin",n,too long
aúrkeis,"M., M.",Krug (M.) (1),"pitcher, water pot",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['2'],certain,form,ɔrkis,"pitcher, water_pot",nn,
aurkjus,"M., M.",Krug (M.) (1),"pitcher, water pot",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],uncertain,form,aurkjus,"pitcher, water_pot",nn,
aúrkjus,M.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,[],certain,form,ɔrkjus,,n,
aúrtigards,M.,Garten,garden,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=31,['2'],certain,,ɔrtɪɣards,garden,n,too long
aúrtja,M.,"Landmann, Winzer","vineyard caretaker, tenant farmer, vintner, husbandman",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['4'],certain,form,ɔrtja,"vineyard_caretaker, tenant_farmer, vintner, husbandman",n,"ɑra, ɑræ, ɑta, ɑtæ, ɑja, ɑjæ, ora, oræ, ota, otæ, oja, ojæ"
aúrts,M.,Garten,garden,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],uncertain,word,ɔrts,garden,n,
aus,F.,"weibliches Schaf, Mutterschaf",ewe,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],certain,word,aus,ewe,n,
aus,Adj.,"glänzend?, hell?, morgendlich?","shining (Adj.)?, bright?, morning (Adj.)?",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],certain,word,aus,"shining, bright, morning",a,
ausahriggs,M.,Ohrring,earring,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],certain,word,ausahrɪŋɡs,earring,n,too long
ausō,N.,Ohr,ear,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['16'],certain,,auso,ear,n,"æso, æsu, uso, usu, oso, osu"
austra,Sb.,Osten,east,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],uncertain,word,austra,east,n,"æsa, æsæ, æta, ætæ, æra, æræ, usa, usæ, uta, utæ, ura, uræ, osa, osæ, ota, otæ, ora, oræ"
Austrogoti,M.,Ostgoten,Ostrogoths,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],certain,,austroɣotɪ,Ostrogoths,n,too long
auþeis,Adj.,"öde, kinderlos, unfruchtbar, wüst, verlassen (Adj.)","barren, desolate (Adj.), deserted, desert (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['6'],certain,form,auθis,"barren, desolate, deserted, desert",a,
auþs,Adj.,"öde, kinderlos, unfruchtbar, wüst, verlassen (Adj.)","barren, desolate (Adj.), deserted, desert (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],uncertain,form,auθs,"barren, desolate, deserted, desert",a,
auþida,F.,"Wüste, Einöde","desert (N.), wasteland, wilderness",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['18'],certain,,auθɪða,"desert, wasteland, wilderness",n,too long
auþs,"M., N.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['1'],certain,word,auθs,,nn,
auþs,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['2'],certain,,auθs,,a,
awa,M.,Großvater,grandfather,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],uncertain,word,awa,grandfather,n,"awa, æwæ"
awēþi,N.,Schafherde,"flock of sheep, herd of sheep",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['3'],certain,,aweθɪ,"flock_of_sheep, herd_of_sheep",n,too long
awi,Sb.,Au,meadow,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['1'],certain,word,awɪ,meadow,n,"awi, awe, æwi, æwe"
awi,"N., F.","Glück, göttlicher Schutz","fortune, divine auspices",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['2'],certain,word,awɪ,"fortune, divine_auspices",nn,"awi, awe, æwi, æwe"
auja,"N., F.","Glück, göttlicher Schutz","fortune, divine auspices",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,[],uncertain,,auja,"fortune, divine_auspices",nn,"æja, æjæ, uja, ujæ, oja, ojæ"
awi,Adj.,gut,good (Adj.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['3'],certain,word,awɪ,good,a,"awi, awe, æwi, æwe"
awiliudōn,V.,"danken, preisen","thank (V.), offer a prayer of thanksgiving",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['24'],certain,,awɪlɪuðon,"thank, offer_a_prayer_of_thanksgiving",v,too long
awiliuþ,N.,"Dank, Danksagung, Gnade","prayer of gratitude, worshipful thanks, thanksgiving",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['16'],certain,,awɪlɪuθ,"prayer_of_gratitude, worshipful_thanks, thanksgiving",n,too long
awistr,N.,Schafstall,"pen for ewes, sheepfold",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=32,['1'],certain,form,awɪstr,"pen_for_ewes, sheepfold",n,
awō,F.,Großmutter,grandmother,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=33,['1'],certain,form,awo,grandmother,n,"awo, awu, æwo, æwu"
aza,F.,a-Rune,name of a-rune,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=33,['1'],certain,,aza,name_of_arune,n,"asa, aʃʲa, æsæ, æʃʲæ"
azētaba,Adv.,"leicht, gern","easily, comfortably, with pleasure",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=33,['1'],certain,,azetaβa,"easily, comfortably, with_pleasure",r,too long
