New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2
nyirok,ńorɜ,U,,,
nyuszt,ńukśe,FU,,ńukɜśɜ,
nyug,ńuŋɜ,FU,,,
nyír,ńȣ̈rɜ,Ug,,"ńȣrɜ, ńȣrkɜ",
az,o,U,,u,
ostor,oćtɜrɜ,Ug,,,
al,oδa,FU,,,
álom,oδamɜ,FU,,,
áll,olɜ,FW,,,
agyar,ońćarɜ,FU,,,
ár,ora,FU,,,
árva,orpa,FU,,"orpasɜ, orwa orwasɜ",
fal,paδɜ,FU,,,
fajd,paδ̕tɜ,FU,,,
fagyal,pajɜ,U,,,
fakad,pakka,FU,,,
fal,pala,U,,,
falu,palγɜ,Ug,,,
fagy,paĺa,FU,,,
farag,parɜ,U,,,
fazék,pata,FU,,,
fëcske,päćkɜ,FU,,,
fesl,päčɜ,Ug,,,
fél,pälä,U,,,
fen,pänɜ,FU,,,
fej,päŋe,U,,,
fűz,pećɜ,FU,,,
fő,peje,U,,,
fél,pele,FU,: ajtófélfa,(pēle),
fél,pele,U,,,
figyel,peljä,FU,,,
fëd,pentɜ,FU,,,
férëg,perkɜ,FU,,(perkkɜ),
bőr,perɜ,U,,,
fészëk,pesä,U,,,
fëlëtt,piδe,U,,(piδe-kä),
fëlhő,pilwe,FU,,(pilŋe),
fog,piŋe,FU,,,
fogoly,piŋe,U,,(püŋe),
fiú,pojka,FU,,,
bogyó,pola,FU,,,
fos,pućka,FU,,(paćka),
facsar,pućɜrɜ,FU,,,
fogy,pučɜ,FU,,,
fut,pukta,U,,,
fan,puna,FU,,,
fon,puna,U,,,
bonyolód,puńa,FU,,,
fúr,pura,U,,,
far,purɜ,Ug,,,
foszl,puśɜ,Ug,,,
fa,puwɜ,U,,,
fúj,puwɜ,U,,(puγɜ-),
fúl,puwɜ,FU,,(puŋɜ-),
fágy,pȣčɜ,FU,,,
fú,pȣjɜ,U,,,
fing,pȣnɜ,U,,,
forog,pȣrkɜ,FU,,(pȣrγɜ-),
fáz,pȣtɜ,Ug,,,
fejsze,pȣ̈jćɜ,U,,,
fenyő,pȣ̈nɜ,FU,,,
rés,raćɜ,FU,,,
rokon,rakka,FU,,,
rész,räćɜ,FU,,,
rejt,reŋɜ,Ug,,(rekɜ),
ravasz,repä,FU,,(repä-ćɜ),
ró,rokɜ,FU,,"(roγɜ-, rowɜ-)",", rowɜ-)"
áll,salkɜ,FU,,,
év,säje,U,,,
ell,säle,U,,(sälke-),
ég,säŋe,FU,,,
epe,säppä,FU,,,
ér,särɜ,FU,,,
őn,säwnä,FU,,,
ëv,sewe,FU,,(seγe-),
ín,sɤne,U,,(sōne),
ősz,sikśe,FU,,(sükśe),
öl,sile,FU,,(süle),
ujj,soja,U,,,
avat,soŋe,U,,,
agg,soŋkɜ,FU,,(soŋɜ),
arasz,sorɜ,FU,,,", sorɜ-śɜ"
ujj,suδ̕ɜ,U,,,
olvad,sula,FU,,,
ő,sȣ̈,FU,,,
szaka,śakkɜ,Ug,éjszaka,(śukkɜ),
szil,śala,FU,,,
szilánk,śale,FU,,,
szál,śalkɜ,FU,,,
szalag,śalɜ,U,,"(śaδa), salɜ",", salɜ"
száldok,śaĺɜ,Ug,,,
szürügy,śarɜ,U,,,
szar,śarɜ,FU,,(ćarɜ),
szárad,śarɜ,FU,,,
száz,śata,FU,,,
szel,śälä,FU,,(ćälä-),
sző,śäŋe,FU, ~ szöv,,
segg,śäŋkɜ,FU,,,
szër,śerɜ,U,,,
szív,śiδä,U,,"(śiδä-mɜ), śüδä, śüδä-mɜ",", śüδä, śüδä-mɜ"
sün,śijele,FU,,,
szëm,śilmä,U,,,
zaj,śoje,FU,,,
szomjú,śomɜ,FU,,,
szarv,śorwa,FU,,,
szorul,śorɜ,FU,,,
szúr,śurwa,FU,,,
szurok,śurɜ,FU,,,
száj,śuwe,U,,,
ér,šärɜ,FU,,,
ér,šerɜ,FU,,(šärɜ),
egér,šiŋere,FU,,,
apad,šoppɜ,FU,,(šappɜ-),
irt,šurɜ,U,,,
tapod,tappa,U,,,
daru,tarɜkɜ,FU,,(tarkɜ),
té,tä,U,: tétova,,", te, ti"
tetű,täje,FU,,,
tél,tälwä,FU,,,
tele,täwδe,FU,,(tälkɜ),
tüdő,täwe,U,,,
tëv,teke,FU," (të, tësz)",,
tűz,tekɜ,FU,,,
töm,temɜ,FU,,,
több,teppɜ,FU,,,
tőr,terä,FU,,,
tér,terɜ,FU,,,
tő,tiŋe,FU,,(tüŋe),
tova,to,U,,,
tat,totke,U, : tathal,,
tavasz,towkɜ,FU,,,
tó,towɜ,U,,,
tőgy,tuδ̕ka,FU,,,", tuδ̕ka-mɜ"
tat,tuktɜ,U,,,
toll,tulka,U,,,
tud,tumte,U,,,
dug,tuŋke,FU,,,
tarja,turja,FU,,,
të,tȣ̈,U,,,
ti,tȣ̈,U,,,
úsz,uje,U,,,", oje-"
út,utka,U,,,
vessző,waćɜ,FU,,,
vás,wačɜ,FU,,,
völgy,waδ̕kɜ,U,,,
vejsze,waja,FU,,,
vöcsök,wajće,FU,,,
vál,walka,FU,,,
villám,walkɜ,FW,,,
villám,waĺɜ,FP,,,
vad,wamta,FU,,,
vág,waŋɜ,Ug,,,", waŋkɜ-"
varjú,warɜ,U,,,
virrad,warɜ,FU,,,
vas,waśke,U,,,
véd,wäntɜ,FU,,,
vés,wäŋćɜ,FU,,,
vő,wäŋe,U,,,
öl,weδɜ,FU,,,
vékony,wekkɜ,FU,,,
vezet,wetä,FU,,,
víz,wete,U,,,
vigyáz,wića,FU,,,
velő,wiδɜ,FU,,(wiδɜ-mɜ),
viv,wiγe,FU,,,
öv,wiŋä,FU,,(wüŋä),
vér,wire,FU,,,
öt,witte,FU,,,
vaj,woje,FU,,,
vív,woje,FU,,,
vol,wole,FU,,,
váll,wolka,FU,,,
ón,wolnɜ,FU,,,
varr,workɜ,FU,,,
új,wuδ̕e,FU,,,
ásít,ȣćɜ,FU,,,
ë,ȣ̈,FU,?,,
utál,aktɜ,Ug,,,
alom,alama,Ug,,(alɜ-mɜ),
olt,alɜ,Ug,,(alɜ-ttɜ-),
ágyék,ańćɜ,Ug,,,
ara,arɜ,Ug,,(arwa),
iránt,arɜ,Ug,,(urɜ),
i,äjɜ,Ug,: ifjú,,
Erdély,älɜ,Ug,,"(äl-mɜ, älɜ-mɜ)",", älɜ-mɜ)"
ëb,ämpɜ,Ug,,(empɜ),
epër,äppɜrɜkɜ,Ug,,,
edz,ättɜ,Ug,,(ätɜ-),
csókol,ćukkɜ,Ug,,(ćukkɜ-lɜ-),
süpped,čeppɜ,Ug,,,
sötét,čettɜ,Ug,,,
süt,čittɜ,Ug,,,
arany,ϑarańa,Ug,,,", sarańa"
ár,ϑarɜ,Ug,,,
asz,ϑasɜ,Ug,,,
hét,ϑäptɜ,Ug,,,", säptɜ"
áz,ϑȣćɜ,Ug,,,
akad,ϑȣkkɜ,Ug,,,
ígér,eŋkɜrɜ,Ug,,,
üsző,iśɜ,Ug,,(eśɜ),
űz,itɜ,Ug,,,
jó,jomɜ,Ug,,(jamɜ),
joh,ju,Ug,,,
jut,juktɜ,Ug,,,
gyak,jȣkkɜ,Ug,,,
gyalu,jȣrɜ,Ug,,,
ját,jȣttɜ,Ug,,,
gyökér,jȣ̈kkɜrɜ,Ug,,,
íz,jȣ̈tɜ,Ug,,,
hasad,kaćɜ,Ug,,,
haj,kajɜ,Ug,,,
hajol,kajɜ,Ug,,,
harkály,karɜ,Ug,,,
híz,katɜ,Ug,,,
keshed,käńćɜ,Ug,,,", käćɜ"
kísér,kećɜ,Ug,,,
ki,ki,Ug,,"(ki-mɜ), kü (kü-mɜ)",", kü (kü-mɜ)"
hattyú,kottɜŋɜ,Ug,,,
hoz,kućɜ,Ug,,,
hagyap,kuδ̕ɜ,Ug,† ,(kuĺɜ-),
hód,kumtɜ,Ug,,(kuntɜ),
húz,kupɜtɜ,Ug,,,
hagy,kȣńćɜ,Ug,: hagymáz,,
kesered,kȣ̈ćɜ,Ug,,(kȣ̈ćɜ-rɜ),
köles,kȣ̈lɜ,Ug,,"(kȣ̈lɜ-ćɜ), kȣ̈lɜćɜ",", kȣ̈lɜćɜ"
kedv,kȣ̈ntɜ,Ug,,,
könnyű,kȣ̈nɜ,Ug,,,
köszörül,kȣ̈sɜ,Ug,,,
les,läćɜ,Ug,,,
ló,luwɜ,Ug,,(luγǝ),
malát,malkɜ,Ug,,,
magyar,mańćɜ,Ug,,,
mese,mańćɜ,Ug,,,", maćɜ"
márt,marɜ,Ug,,,
meleg,mälɜ,Ug,,,
mer,märɜ,Ug,,,
mer,märɜ,Ug,,,
meztelen,mećɜ,Ug,,,", meśɜ-"
mély,melɜ,Ug,,,
mënyül,menɜ,Ug,: kimënyül,,
mered,merɜ,Ug,,(märɜ-),
marok,mȣrɜ,Ug,,,
