Hun,0+H+∅,0,cnt0,ex0,1,cnt1,ex1,2,cnt2,ex2,3,cnt3,ex3,4,cnt4,ex4,5,cnt5,ex5,6,cnt6,ex6,7,cnt7,ex7,cnt∑,ex∑,Clen,Vlen,Soundlen,NSE
savanyú,ʃɒvɒɲu,*t͡ʃ>ʃ¹,4,"*čawɜ>savanyú, *čeppɜ>süpped, *čettɜ>sötét, *čittɜ>süt, ",*a>ɒ³,9,"*čawɜ>savanyú, *palγɜ>falu, *ϑarańa>arany, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *malkɜ>malát, *mańćɜ>magyar, ",*β>v³,1,"*čawɜ>savanyú, ",*ɜ>ɒ³,9,"*čawɜ>savanyú, *śakkɜ >szaka, *ϑȣkkɜ>akad, *kaćɜ>hasad, *kuδ'ɜ >hagyap, *mańćɜ>magyar, *oŋtɜ >oldal, *pȣγrɜ>fárad, *rȣkkɜ>rokkan, ",*0>ɲ³,1,"*čawɜ>savanyú, ",*∅>u²,1,"*čawɜ>savanyú, ",-,0,0,-,0,0,25," *čawɜ>savanyú, *čeppɜ>süpped, *čettɜ>sötét, *čittɜ>süt,  *čawɜ>savanyú, *palγɜ>falu, *ϑarańa>arany, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *malkɜ>malát, *mańćɜ>magyar,  *čawɜ>savanyú,  *čawɜ>savanyú, *śakkɜ >szaka, *ϑȣkkɜ>akad, *kaćɜ>hasad, *kuδ'ɜ >hagyap, *mańćɜ>magyar, *oŋtɜ >oldal, *pȣγrɜ>fárad, *rȣkkɜ>rokkan,  *čawɜ>savanyú,  *čawɜ>savanyú,  0 0",3,3,6,4.166666666666667
jöv,jøv∅,*j>j¹,5,"*j¨ŋɜ>jöv, *jomɜ  >jó, *ju>joh, *juktɜ>jut, *jȣttɜ>ját, ",*¨>ø³,5,"*j¨ŋɜ>jöv, *j¨kkɜrɜ>gyökér, *k¨lɜ >köles, *k¨nɜ>könnyű, *k¨sɜ>köszörül, ",*ŋ>v³,1,"*j¨ŋɜ>jöv, ",*ɜ>∅²,65,"*j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, ",-,0,0,-,0,0,-,0,0,-,0,0,76," *j¨ŋɜ>jöv, *jomɜ  >jó, *ju>joh, *juktɜ>jut, *jȣttɜ>ját,  *j¨ŋɜ>jöv, *j¨kkɜrɜ>gyökér, *k¨lɜ >köles, *k¨nɜ>könnyű, *k¨sɜ>köszörül,  *j¨ŋɜ>jöv,  *j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár,  0 0 0 0",2,2,4,19.0
hág,haɡ∅,*k>h¹,14,"*kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, ",*a>a³,7,"*kaŋɜ>hág, *śaĺɜ>száldok, *waŋɜ>vág, *marɜ>márt, *raŋɜ>rá, *talɜ>tál, *warɜ>vár, ",*ŋ>ɡ³,6,"*kaŋɜ>hág, *waŋɜ>vág, *puŋɜ>fog, *suŋɜ>zug, *sȣŋɜ>száguld, *täŋɜtɜ>tegëz, ",*ɜ>∅²,65,"*j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, ",-,0,0,-,0,0,-,0,0,-,0,0,92," *kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy,  *kaŋɜ>hág, *śaĺɜ>száldok, *waŋɜ>vág, *marɜ>márt, *raŋɜ>rá, *talɜ>tál, *warɜ>vár,  *kaŋɜ>hág, *waŋɜ>vág, *puŋɜ>fog, *suŋɜ>zug, *sȣŋɜ>száguld, *täŋɜtɜ>tegëz,  *j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár,  0 0 0 0",2,2,4,23.0
hamu,hɒmu,*k>h¹,14,"*kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, ",*u>ɒ³,4,"*kuδ'mɜ>hamu, *kuntalɜ>hall, *purɜ>far, *kuδ'ɜ >hagyap, ",*ðʲm>m³,1,"*kuδ'mɜ>hamu, ",*ɜ>u²,5,"*kuδ'mɜ>hamu, *palγɜ>falu, *jȣrɜ>gyalu, *pȣĺćɜ>faggyú, *sȣlkɜ  >szalu, ",-,0,0,-,0,0,-,0,0,-,0,0,24," *kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy,  *kuδ'mɜ>hamu, *kuntalɜ>hall, *purɜ>far, *kuδ'ɜ >hagyap,  *kuδ'mɜ>hamu,  *kuδ'mɜ>hamu, *palγɜ>falu, *jȣrɜ>gyalu, *pȣĺćɜ>faggyú, *sȣlkɜ  >szalu,  0 0 0 0",2,2,4,6.0
hall,hɒll∅0∅,*k>h¹,14,"*kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, ",*u>ɒ³,4,"*kuδ'mɜ>hamu, *kuntalɜ>hall, *purɜ>far, *kuδ'ɜ >hagyap, ",*nt>ll³,1,"*kuntalɜ>hall, ",*a>∅³,1,"*kuntalɜ>hall, ",*l>0³,1,"*kuntalɜ>hall, ",*ɜ>∅²,65,"*j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, ",-,0,0,-,0,0,86," *kaŋɜ>hág, *kuδ'mɜ>hamu, *kuntalɜ>hall, *kaćɜ>hasad, *kajɜ>haj, *kajɜ>hajol, *karɜ>harkály, *katɜ>híz, *kottɜŋɜ>hattyú, *kućɜ>hoz, *kuδ'ɜ >hagyap, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy,  *kuδ'mɜ>hamu, *kuntalɜ>hall, *purɜ>far, *kuδ'ɜ >hagyap,  *kuntalɜ>hall,  *kuntalɜ>hall,  *kuntalɜ>hall,  *j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár,  0 0",3,3,6,14.333333333333334
küzd,kyzd∅,*k>k¹,9,"*k¨śɜ>küzd, *käńćɜ>keshed, *kećɜ>kísér, *ki >ki, *k¨ćɜ >kesered, *k¨lɜ >köles, *k¨ntɜ>kedv, *k¨nɜ>könnyű, *k¨sɜ>köszörül, ",*¨>y³,1,"*k¨śɜ>küzd, ",*ʃʲ>zd³,1,"*k¨śɜ>küzd, ",*ɜ>∅²,65,"*j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, ",-,0,0,-,0,0,-,0,0,-,0,0,76," *k¨śɜ>küzd, *käńćɜ>keshed, *kećɜ>kísér, *ki >ki, *k¨ćɜ >kesered, *k¨lɜ >köles, *k¨ntɜ>kedv, *k¨nɜ>könnyű, *k¨sɜ>köszörül,  *k¨śɜ>küzd,  *k¨śɜ>küzd,  *j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár,  0 0 0 0",2,2,4,19.0
levél,lɛvel∅,*l>l¹,3,"*l¨pɜ>levél, *läćɜ>les, *luwɜ >ló, ",*¨>ɛ³,6,"*l¨pɜ>levél, *k¨ćɜ >kesered, *k¨ntɜ>kedv, *m¨kɜ  >nevet, *p¨kkɜttɜ>fekete, *w¨ćɜ>vese, ",*p>v³,2,"*l¨pɜ>levél, *tepɜ>téved, ",*ɜ>e³,12,"*l¨pɜ>levél, *ańćɜ>ágyék, *älɜ >Erdély, *äppɜrɜkɜ>epër, *čettɜ>sötét, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *kećɜ>kísér, *närkɜ>nyerëg, *pekkɜ>fekély, *pentɜlɜ>födél, *täŋɜtɜ>tegëz, ",*0>l³,9,"*l¨pɜ>levél, *aktɜ>utál, *ćukkɜ >csókol, *kajɜ>hajol, *k¨sɜ>köszörül, *mećɜ>meztelen, *menɜ>mënyül, *oŋtɜ >oldal, *sȣjɜ >szédül, ",-,0,0,-,0,0,-,0,0,32," *l¨pɜ>levél, *läćɜ>les, *luwɜ >ló,  *l¨pɜ>levél, *k¨ćɜ >kesered, *k¨ntɜ>kedv, *m¨kɜ  >nevet, *p¨kkɜttɜ>fekete, *w¨ćɜ>vese,  *l¨pɜ>levél, *tepɜ>téved,  *l¨pɜ>levél, *ańćɜ>ágyék, *älɜ >Erdély, *äppɜrɜkɜ>epër, *čettɜ>sötét, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *kećɜ>kísér, *närkɜ>nyerëg, *pekkɜ>fekély, *pentɜlɜ>födél, *täŋɜtɜ>tegëz,  *l¨pɜ>levél, *aktɜ>utál, *ćukkɜ >csókol, *kajɜ>hajol, *k¨sɜ>köszörül, *mećɜ>meztelen, *menɜ>mënyül, *oŋtɜ >oldal, *sȣjɜ >szédül,  0 0 0",3,2,5,6.4
nyír,ɲir∅,*nʲ>ɲ¹,3,"*ń¨rɜ>nyír, *ńalɜ>nyolc, *ńärɜ>nyer, ",*¨>i³,1,"*ń¨rɜ>nyír, ",*r>r³,19,"*ń¨rɜ>nyír, *oćtɜrɜ>ostor, *purɜ>far, *arɜ >ara, *arɜ >iránt, *äppɜrɜkɜ>epër, *ϑarańa>arany, *ϑarɜ>ár, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *märɜ>mer, *märɜ>mer, *merɜ  >mered, *mȣrɜ>marok, *ńärɜ>nyer, *sȣrɜ>szár, *tärɜ>tér, *turɜ>torok, *warɜ>vár, ",*ɜ>∅²,65,"*j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár, ",-,0,0,-,0,0,-,0,0,-,0,0,88," *ń¨rɜ>nyír, *ńalɜ>nyolc, *ńärɜ>nyer,  *ń¨rɜ>nyír,  *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *purɜ>far, *arɜ >ara, *arɜ >iránt, *äppɜrɜkɜ>epër, *ϑarańa>arany, *ϑarɜ>ár, *eŋkɜrɜ>ígér, *j¨kkɜrɜ>gyökér, *märɜ>mer, *märɜ>mer, *merɜ  >mered, *mȣrɜ>marok, *ńärɜ>nyer, *sȣrɜ>szár, *tärɜ>tér, *turɜ>torok, *warɜ>vár,  *j¨ŋɜ>jöv, *kaŋɜ>hág, *kuntalɜ>hall, *k¨śɜ>küzd, *ń¨rɜ>nyír, *oćtɜrɜ>ostor, *päčɜ>fesl, *purɜ>far, *puśɜ>foszl, *pȣtɜ>fáz, *reŋɜ >rejt, *waŋɜ>vág, *alɜ >olt, *ämpɜ  >ëb, *äppɜrɜkɜ>epër, *ättɜ  >edz, *čittɜ>süt, *ϑarɜ>ár, *ϑasɜ>asz, *ϑäptɜ>hét, *ϑȣćɜ>áz, *eŋkɜrɜ>ígér, *itɜ>űz, *juktɜ>jut, *jȣkkɜ>gyak, *jȣttɜ>ját, *j¨kkɜrɜ>gyökér, *j¨tɜ>íz, *kajɜ>haj, *katɜ>híz, *kućɜ>hoz, *kumtɜ  >hód, *kupɜtɜ>húz, *kȣńćɜ>hagy, *k¨ntɜ>kedv, *läćɜ>les, *marɜ>márt, *märɜ>mer, *märɜ>mer, *melɜ>mély, *näkɜ  >nyék, *ńalɜ>nyolc, *ńärɜ>nyer, *päkkɜ>fék, *pejɜ>fejt, *pentɜlɜ>födél, *pičɜ  >füst, *pilɜ>fűl, *pukkɜ>fok, *puŋɜ>fog, *pȣlɜ>foly, *säγɜrɜ>szőr, *selɜ>szél, *seŋkɜ>szëg, *silɜ>szül, *suŋɜ>zug, *sȣrɜ>szár, *tajɜttɜ>titok, *talɜ>tál, *täŋɜtɜ>tegëz, *tärɜ>tér, *tüγɜtɜ>tűz, *tȣmpɜ>domb, *tȣmpɜ>dob, *warɜ>vár,  0 0 0 0",2,2,4,22.0
