Original,Orth,en,de,type,type.1,IPA,split,proto,protouew
báj,bá,charm,Charme,N,,baː,b¹a²,'a²' can't be from Uralic,'a²' can't be from Uralic
bakó,bak,executioner,Henker,N,,bɒk,b¹ɒ³k³∅²,'k³' can't be from Uralic,'k³' can't be from Uralic
bakó,ba,executioner,Henker,N,,bɒ,b¹ɒ²,'ɒ²' can't be from Uralic,'ɒ²' can't be from Uralic
bélyeg,bélye,stamp,Stempel,N,,beːjɛ,b¹e³j³ɛ²,piŋɜ (2.5); pewɜ (2.5); piwɜ (2.25); piŋsɜ (2.25); piŋa (2.25); piksɜ (2.25); pewa (2.25); peŋsɜ (2.25); peŋɜ (2.25); piwa (2.0); piŋsa (2.0); piksa (2.0); peŋsa (2.0); peŋa (2.0); peksɜ (1.75); pæŋsɜ (1.75); peksa (1.5); pæwɜ (1.5); pæŋsa (1.5); pæŋɜ (1.5); pæksɜ (1.5); pæwa (1.25); pæŋa (1.25); pæksa (1.25),piŋɜ (2.5); pewɜ (2.5); piwɜ (2.25); piŋsɜ (2.25); piŋa (2.25); piksɜ (2.25); pewa (2.25); peŋsɜ (2.25); peŋɜ (2.25); piwa (2.0); piŋsa (2.0); piksa (2.0); peŋsa (2.0); peŋa (2.0); peksɜ (1.75); päŋsɜ (1.75); peksa (1.5); päwɜ (1.5); päŋsa (1.5); päŋɜ (1.5); päksɜ (1.5); päwa (1.25); päŋa (1.25); päksa (1.25)
bér,bé,wage,Lohn,N,,beː,b¹e²,pæ (1.0); p¨ (1.0),pä (1.0); p¨ (1.0)
bízik,bízi,trust,vertrauen,V,,biːzi,b¹i³z³i²,pȣt¨ (1.75); pop¨ (1.75); pȣtɜ (1.5); pȣp¨ (1.5); pot¨ (1.5); popɜ (1.5); pɤt¨ (1.5); pep¨ (1.5); pȣpɜ (1.25); potɜ (1.25); pit¨ (1.25); pip¨ (1.25); pɤtɜ (1.25); pɤp¨ (1.25); pet¨ (1.25); pepɜ (1.25); pitɜ (1.0); pipɜ (1.0); pɤpɜ (1.0); petɜ (1.0),pȣt¨ (1.75); pop¨ (1.75); pȣtɜ (1.5); pȣp¨ (1.5); pot¨ (1.5); popɜ (1.5); pɤt¨ (1.5); pep¨ (1.5); pȣpɜ (1.25); potɜ (1.25); pit¨ (1.25); pip¨ (1.25); pɤtɜ (1.25); pɤp¨ (1.25); pet¨ (1.25); pepɜ (1.25); pitɜ (1.0); pipɜ (1.0); pɤpɜ (1.0); petɜ (1.0)
bojt,boj,tassel,Quaste,N,,boj,b¹o³j³∅²,powe (6.75); poŋe (6.75); pɜŋe (6.75); pewe (6.75); poŋse (6.5); pokse (6.5); piwe (6.5); pɜkse (6.5); peŋse (6.5); peŋe (6.5); puŋse (6.25); piŋse (6.25); pikse (6.25); pekse (6.25); paŋse (6.25); puwe (6.0); puŋe (6.0); pukse (6.0); powɜ (6.0); powa (6.0); poŋɜ (6.0); poŋa (6.0); piŋe (6.0); pɜwe (6.0); pɜŋse (6.0); pɜŋɜ (6.0); pɜŋa (6.0); pewɜ (6.0); pewa (6.0); pawe (6.0); paŋe (6.0); pakse (6.0); poŋsɜ (5.75); poŋsa (5.75); poksɜ (5.75); poksa (5.75); piwɜ (5.75); piwa (5.75); pɜksɜ (5.75); pɜksa (5.75); peŋsɜ (5.75); peŋsa (5.75); peŋɜ (5.75); peŋa (5.75); puŋsɜ (5.5); puŋsa (5.5); piŋsɜ (5.5); piŋsa (5.5); piksɜ (5.5); piksa (5.5); peksɜ (5.5); peksa (5.5); paŋsɜ (5.5); paŋsa (5.5); puwɜ (5.25); puwa (5.25); puŋɜ (5.25); puŋa (5.25); puksɜ (5.25); puksa (5.25); piŋɜ (5.25); piŋa (5.25); pɜwɜ (5.25); pɜwa (5.25); pɜŋsɜ (5.25); pɜŋsa (5.25); pawɜ (5.25); pawa (5.25); paŋɜ (5.25); paŋa (5.25); paksɜ (5.25); paksa (5.25); powæ (3.5); poŋæ (3.5); pɜŋæ (3.5); pewæ (3.5); poŋsæ (3.25); poksæ (3.25); piwæ (3.25); pɜksæ (3.25); peŋsæ (3.25); peŋæ (3.25); puŋsæ (3.0); piŋsæ (3.0); piksæ (3.0); peksæ (3.0); paŋsæ (3.0); puwæ (2.75); puŋæ (2.75); puksæ (2.75); piŋæ (2.75); pɜwæ (2.75); pɜŋsæ (2.75); pawæ (2.75); paŋæ (2.75); paksæ (2.75),powe (6.75); poŋe (6.75); pɜŋe (6.75); pewe (6.75); poŋse (6.5); pokse (6.5); piwe (6.5); pɜkse (6.5); peŋse (6.5); peŋe (6.5); puŋse (6.25); piŋse (6.25); pikse (6.25); pekse (6.25); paŋse (6.25); puwe (6.0); puŋe (6.0); pukse (6.0); powɜ (6.0); powa (6.0); poŋɜ (6.0); poŋa (6.0); piŋe (6.0); pɜwe (6.0); pɜŋse (6.0); pɜŋɜ (6.0); pɜŋa (6.0); pewɜ (6.0); pewa (6.0); pawe (6.0); paŋe (6.0); pakse (6.0); poŋsɜ (5.75); poŋsa (5.75); poksɜ (5.75); poksa (5.75); piwɜ (5.75); piwa (5.75); pɜksɜ (5.75); pɜksa (5.75); peŋsɜ (5.75); peŋsa (5.75); peŋɜ (5.75); peŋa (5.75); puŋsɜ (5.5); puŋsa (5.5); piŋsɜ (5.5); piŋsa (5.5); piksɜ (5.5); piksa (5.5); peksɜ (5.5); peksa (5.5); paŋsɜ (5.5); paŋsa (5.5); puwɜ (5.25); puwa (5.25); puŋɜ (5.25); puŋa (5.25); puksɜ (5.25); puksa (5.25); piŋɜ (5.25); piŋa (5.25); pɜwɜ (5.25); pɜwa (5.25); pɜŋsɜ (5.25); pɜŋsa (5.25); pawɜ (5.25); pawa (5.25); paŋɜ (5.25); paŋa (5.25); paksɜ (5.25); paksa (5.25); powä (3.5); poŋä (3.5); pɜŋä (3.5); pewä (3.5); poŋsä (3.25); poksä (3.25); piwä (3.25); pɜksä (3.25); peŋsä (3.25); peŋä (3.25); puŋsä (3.0); piŋsä (3.0); piksä (3.0); peksä (3.0); paŋsä (3.0); puwä (2.75); puŋä (2.75); puksä (2.75); piŋä (2.75); pɜwä (2.75); pɜŋsä (2.75); pawä (2.75); paŋä (2.75); paksä (2.75)
bök,bö,sting,stechen,V,,bø,b¹ø²,pe (1.5),pe (1.5)
bokor,boko,bush,Busch,N,,boko,b¹o³k³o²,'k³' can't be from Uralic,'k³' can't be from Uralic
bokor,bok,bush,Busch,N,,bok,b¹o³k³∅²,'k³' can't be from Uralic,'k³' can't be from Uralic
