rootuew,type,type.1,struc,NSE,en,de,reflex,rootipa
manaŋe,N,,,8.83,clay,Ton,agyag,manaŋe
jonaŋe,N,,,8.83,clay,Ton,agyag,jonaŋe
jaδʲaŋe,N,,,8.83,clay,Ton,agyag,jaðʲaŋe
0oδʲaŋe,N,,,8.83,clay,Ton,agyag,0oðʲaŋe
maδʲaŋe,N,,,8.67,clay,Ton,agyag,maðʲaŋe
joδʲaŋe,N,,,8.67,clay,Ton,agyag,joðʲaŋe
janaŋe,N,,,8.67,clay,Ton,agyag,janaŋe
0onaŋe,N,,,8.67,clay,Ton,agyag,0onaŋe
0anaŋe,N,,,8.67,clay,Ton,agyag,0anaŋe
0aδʲaŋe,N,,,8.67,clay,Ton,agyag,0aðʲaŋe
maneŋe,N,,,8.33,clay,Ton,agyag,maneŋe
manaŋɜ,N,,,8.33,clay,Ton,agyag,manaŋɜ
manaŋa,N,,,8.33,clay,Ton,agyag,manaŋa
joneŋe,N,,,8.33,clay,Ton,agyag,joneŋe
jonaŋɜ,N,,,8.33,clay,Ton,agyag,jonaŋɜ
jonaŋa,N,,,8.33,clay,Ton,agyag,jonaŋa
jaδʲeŋe,N,,,8.33,clay,Ton,agyag,jaðʲeŋe
jaδʲaŋɜ,N,,,8.33,clay,Ton,agyag,jaðʲaŋɜ
jaδʲaŋa,N,,,8.33,clay,Ton,agyag,jaðʲaŋa
0oδʲeŋe,N,,,8.33,clay,Ton,agyag,0oðʲeŋe
0oδʲaŋɜ,N,,,8.33,clay,Ton,agyag,0oðʲaŋɜ
0oδʲaŋa,N,,,8.33,clay,Ton,agyag,0oðʲaŋa
maδʲeŋe,N,,,8.17,clay,Ton,agyag,maðʲeŋe
maδʲaŋɜ,N,,,8.17,clay,Ton,agyag,maðʲaŋɜ
maδʲaŋa,N,,,8.17,clay,Ton,agyag,maðʲaŋa
joδʲeŋe,N,,,8.17,clay,Ton,agyag,joðʲeŋe
joδʲaŋɜ,N,,,8.17,clay,Ton,agyag,joðʲaŋɜ
joδʲaŋa,N,,,8.17,clay,Ton,agyag,joðʲaŋa
janeŋe,N,,,8.17,clay,Ton,agyag,janeŋe
janaŋɜ,N,,,8.17,clay,Ton,agyag,janaŋɜ
janaŋa,N,,,8.17,clay,Ton,agyag,janaŋa
0oneŋe,N,,,8.17,clay,Ton,agyag,0oneŋe
0onaŋɜ,N,,,8.17,clay,Ton,agyag,0onaŋɜ
0onaŋa,N,,,8.17,clay,Ton,agyag,0onaŋa
0aneŋe,N,,,8.17,clay,Ton,agyag,0aneŋe
0anaŋɜ,N,,,8.17,clay,Ton,agyag,0anaŋɜ
0anaŋa,N,,,8.17,clay,Ton,agyag,0anaŋa
0aδʲeŋe,N,,,8.17,clay,Ton,agyag,0aðʲeŋe
0aδʲaŋɜ,N,,,8.17,clay,Ton,agyag,0aðʲaŋɜ
0aδʲaŋa,N,,,8.17,clay,Ton,agyag,0aðʲaŋa
mańćȣŋe,N,,,8.0,clay,Ton,agyag,manʲt͡ʃʲȣŋe
jońćȣŋe,N,,,8.0,clay,Ton,agyag,jonʲt͡ʃʲȣŋe
jajȣŋe,N,,,8.0,clay,Ton,agyag,jajȣŋe
0ojȣŋe,N,,,8.0,clay,Ton,agyag,0ojȣŋe
maneŋɜ,N,,,7.83,clay,Ton,agyag,maneŋɜ
maneŋa,N,,,7.83,clay,Ton,agyag,maneŋa
majȣŋe,N,,,7.83,clay,Ton,agyag,majȣŋe
joneŋɜ,N,,,7.83,clay,Ton,agyag,joneŋɜ
joneŋa,N,,,7.83,clay,Ton,agyag,joneŋa
jojȣŋe,N,,,7.83,clay,Ton,agyag,jojȣŋe
jańćȣŋe,N,,,7.83,clay,Ton,agyag,janʲt͡ʃʲȣŋe
jaδʲeŋɜ,N,,,7.83,clay,Ton,agyag,jaðʲeŋɜ
jaδʲeŋa,N,,,7.83,clay,Ton,agyag,jaðʲeŋa
0ońćȣŋe,N,,,7.83,clay,Ton,agyag,0onʲt͡ʃʲȣŋe
0oδʲeŋɜ,N,,,7.83,clay,Ton,agyag,0oðʲeŋɜ
0oδʲeŋa,N,,,7.83,clay,Ton,agyag,0oðʲeŋa
0ańćȣŋe,N,,,7.83,clay,Ton,agyag,0anʲt͡ʃʲȣŋe
0ajȣŋe,N,,,7.83,clay,Ton,agyag,0ajȣŋe
maδʲeŋɜ,N,,,7.67,clay,Ton,agyag,maðʲeŋɜ
maδʲeŋa,N,,,7.67,clay,Ton,agyag,maðʲeŋa
joδʲeŋɜ,N,,,7.67,clay,Ton,agyag,joðʲeŋɜ
joδʲeŋa,N,,,7.67,clay,Ton,agyag,joðʲeŋa
janeŋɜ,N,,,7.67,clay,Ton,agyag,janeŋɜ
janeŋa,N,,,7.67,clay,Ton,agyag,janeŋa
0oneŋɜ,N,,,7.67,clay,Ton,agyag,0oneŋɜ
0oneŋa,N,,,7.67,clay,Ton,agyag,0oneŋa
0aneŋɜ,N,,,7.67,clay,Ton,agyag,0aneŋɜ
0aneŋa,N,,,7.67,clay,Ton,agyag,0aneŋa
0aδʲeŋɜ,N,,,7.67,clay,Ton,agyag,0aðʲeŋɜ
0aδʲeŋa,N,,,7.67,clay,Ton,agyag,0aðʲeŋa
mańćuŋe,N,,,7.5,clay,Ton,agyag,manʲt͡ʃʲuŋe
mańćȣŋɜ,N,,,7.5,clay,Ton,agyag,manʲt͡ʃʲȣŋɜ
mańćȣŋa,N,,,7.5,clay,Ton,agyag,manʲt͡ʃʲȣŋa
manȣŋe,N,,,7.5,clay,Ton,agyag,manȣŋe
jońćuŋe,N,,,7.5,clay,Ton,agyag,jonʲt͡ʃʲuŋe
jońćȣŋɜ,N,,,7.5,clay,Ton,agyag,jonʲt͡ʃʲȣŋɜ
jońćȣŋa,N,,,7.5,clay,Ton,agyag,jonʲt͡ʃʲȣŋa
jonȣŋe,N,,,7.5,clay,Ton,agyag,jonȣŋe
jajuŋe,N,,,7.5,clay,Ton,agyag,jajuŋe
jajȣŋɜ,N,,,7.5,clay,Ton,agyag,jajȣŋɜ
jajȣŋa,N,,,7.5,clay,Ton,agyag,jajȣŋa
jaδʲȣŋe,N,,,7.5,clay,Ton,agyag,jaðʲȣŋe
0ojuŋe,N,,,7.5,clay,Ton,agyag,0ojuŋe
0ojȣŋɜ,N,,,7.5,clay,Ton,agyag,0ojȣŋɜ
0ojȣŋa,N,,,7.5,clay,Ton,agyag,0ojȣŋa
0oδʲȣŋe,N,,,7.5,clay,Ton,agyag,0oðʲȣŋe
mańćaŋe,N,,,7.33,clay,Ton,agyag,manʲt͡ʃʲaŋe
majuŋe,N,,,7.33,clay,Ton,agyag,majuŋe
majȣŋɜ,N,,,7.33,clay,Ton,agyag,majȣŋɜ
majȣŋa,N,,,7.33,clay,Ton,agyag,majȣŋa
maδʲȣŋe,N,,,7.33,clay,Ton,agyag,maðʲȣŋe
jońćaŋe,N,,,7.33,clay,Ton,agyag,jonʲt͡ʃʲaŋe
jojuŋe,N,,,7.33,clay,Ton,agyag,jojuŋe
jojȣŋɜ,N,,,7.33,clay,Ton,agyag,jojȣŋɜ
jojȣŋa,N,,,7.33,clay,Ton,agyag,jojȣŋa
joδʲȣŋe,N,,,7.33,clay,Ton,agyag,joðʲȣŋe
jańćuŋe,N,,,7.33,clay,Ton,agyag,janʲt͡ʃʲuŋe
jańćȣŋɜ,N,,,7.33,clay,Ton,agyag,janʲt͡ʃʲȣŋɜ
jańćȣŋa,N,,,7.33,clay,Ton,agyag,janʲt͡ʃʲȣŋa
janȣŋe,N,,,7.33,clay,Ton,agyag,janȣŋe
jajaŋe,N,,,7.33,clay,Ton,agyag,jajaŋe
0ońćuŋe,N,,,7.33,clay,Ton,agyag,0onʲt͡ʃʲuŋe
0ońćȣŋɜ,N,,,7.33,clay,Ton,agyag,0onʲt͡ʃʲȣŋɜ
0ońćȣŋa,N,,,7.33,clay,Ton,agyag,0onʲt͡ʃʲȣŋa
0onȣŋe,N,,,7.33,clay,Ton,agyag,0onȣŋe
0ojaŋe,N,,,7.33,clay,Ton,agyag,0ojaŋe
0ańćuŋe,N,,,7.33,clay,Ton,agyag,0anʲt͡ʃʲuŋe
0ańćȣŋɜ,N,,,7.33,clay,Ton,agyag,0anʲt͡ʃʲȣŋɜ
0ańćȣŋa,N,,,7.33,clay,Ton,agyag,0anʲt͡ʃʲȣŋa
0anȣŋe,N,,,7.33,clay,Ton,agyag,0anȣŋe
0ajuŋe,N,,,7.33,clay,Ton,agyag,0ajuŋe
0ajȣŋɜ,N,,,7.33,clay,Ton,agyag,0ajȣŋɜ
0ajȣŋa,N,,,7.33,clay,Ton,agyag,0ajȣŋa
0aδʲȣŋe,N,,,7.33,clay,Ton,agyag,0aðʲȣŋe
šonaŋe,N,,,7.17,clay,Ton,agyag,ʃonaŋe
šanaŋe,N,,,7.17,clay,Ton,agyag,ʃanaŋe
soδʲaŋe,N,,,7.17,clay,Ton,agyag,soðʲaŋe
saδʲaŋe,N,,,7.17,clay,Ton,agyag,saðʲaŋe
manɜŋe,N,,,7.17,clay,Ton,agyag,manɜŋe
majaŋe,N,,,7.17,clay,Ton,agyag,majaŋe
jonɜŋe,N,,,7.17,clay,Ton,agyag,jonɜŋe
jojaŋe,N,,,7.17,clay,Ton,agyag,jojaŋe
jańćaŋe,N,,,7.17,clay,Ton,agyag,janʲt͡ʃʲaŋe
jaδʲɜŋe,N,,,7.17,clay,Ton,agyag,jaðʲɜŋe
0ońćaŋe,N,,,7.17,clay,Ton,agyag,0onʲt͡ʃʲaŋe
0oδʲɜŋe,N,,,7.17,clay,Ton,agyag,0oðʲɜŋe
0ańćaŋe,N,,,7.17,clay,Ton,agyag,0anʲt͡ʃʲaŋe
0ajaŋe,N,,,7.17,clay,Ton,agyag,0ajaŋe
šoδʲaŋe,N,,,7.0,clay,Ton,agyag,ʃoðʲaŋe
šaδʲaŋe,N,,,7.0,clay,Ton,agyag,ʃaðʲaŋe
sonaŋe,N,,,7.0,clay,Ton,agyag,sonaŋe
sanaŋe,N,,,7.0,clay,Ton,agyag,sanaŋe
monaŋe,N,,,7.0,clay,Ton,agyag,monaŋe
moδʲaŋe,N,,,7.0,clay,Ton,agyag,moðʲaŋe
mańćuŋɜ,N,,,7.0,clay,Ton,agyag,manʲt͡ʃʲuŋɜ
mańćuŋa,N,,,7.0,clay,Ton,agyag,manʲt͡ʃʲuŋa
mańćɜŋe,N,,,7.0,clay,Ton,agyag,manʲt͡ʃʲɜŋe
manuŋe,N,,,7.0,clay,Ton,agyag,manuŋe
manȣŋɜ,N,,,7.0,clay,Ton,agyag,manȣŋɜ
manȣŋa,N,,,7.0,clay,Ton,agyag,manȣŋa
maδʲɜŋe,N,,,7.0,clay,Ton,agyag,maðʲɜŋe
jońćuŋɜ,N,,,7.0,clay,Ton,agyag,jonʲt͡ʃʲuŋɜ
jońćuŋa,N,,,7.0,clay,Ton,agyag,jonʲt͡ʃʲuŋa
jońćɜŋe,N,,,7.0,clay,Ton,agyag,jonʲt͡ʃʲɜŋe
jonuŋe,N,,,7.0,clay,Ton,agyag,jonuŋe
jonȣŋɜ,N,,,7.0,clay,Ton,agyag,jonȣŋɜ
jonȣŋa,N,,,7.0,clay,Ton,agyag,jonȣŋa
joδʲɜŋe,N,,,7.0,clay,Ton,agyag,joðʲɜŋe
janɜŋe,N,,,7.0,clay,Ton,agyag,janɜŋe
jajuŋɜ,N,,,7.0,clay,Ton,agyag,jajuŋɜ
jajuŋa,N,,,7.0,clay,Ton,agyag,jajuŋa
jajɜŋe,N,,,7.0,clay,Ton,agyag,jajɜŋe
jaδʲuŋe,N,,,7.0,clay,Ton,agyag,jaðʲuŋe
jaδʲȣŋɜ,N,,,7.0,clay,Ton,agyag,jaðʲȣŋɜ
jaδʲȣŋa,N,,,7.0,clay,Ton,agyag,jaðʲȣŋa
0onɜŋe,N,,,7.0,clay,Ton,agyag,0onɜŋe
0ojuŋɜ,N,,,7.0,clay,Ton,agyag,0ojuŋɜ
0ojuŋa,N,,,7.0,clay,Ton,agyag,0ojuŋa
0ojɜŋe,N,,,7.0,clay,Ton,agyag,0ojɜŋe
0oδʲuŋe,N,,,7.0,clay,Ton,agyag,0oðʲuŋe
0oδʲȣŋɜ,N,,,7.0,clay,Ton,agyag,0oðʲȣŋɜ
0oδʲȣŋa,N,,,7.0,clay,Ton,agyag,0oðʲȣŋa
0anɜŋe,N,,,7.0,clay,Ton,agyag,0anɜŋe
0aδʲɜŋe,N,,,7.0,clay,Ton,agyag,0aðʲɜŋe
mańćeŋe,N,,,6.83,clay,Ton,agyag,manʲt͡ʃʲeŋe
mańćaŋɜ,N,,,6.83,clay,Ton,agyag,manʲt͡ʃʲaŋɜ
mańćaŋa,N,,,6.83,clay,Ton,agyag,manʲt͡ʃʲaŋa
majuŋɜ,N,,,6.83,clay,Ton,agyag,majuŋɜ
majuŋa,N,,,6.83,clay,Ton,agyag,majuŋa
majɜŋe,N,,,6.83,clay,Ton,agyag,majɜŋe
maδʲuŋe,N,,,6.83,clay,Ton,agyag,maðʲuŋe
maδʲȣŋɜ,N,,,6.83,clay,Ton,agyag,maðʲȣŋɜ
maδʲȣŋa,N,,,6.83,clay,Ton,agyag,maðʲȣŋa
jońćeŋe,N,,,6.83,clay,Ton,agyag,jonʲt͡ʃʲeŋe
jońćaŋɜ,N,,,6.83,clay,Ton,agyag,jonʲt͡ʃʲaŋɜ
jońćaŋa,N,,,6.83,clay,Ton,agyag,jonʲt͡ʃʲaŋa
jojuŋɜ,N,,,6.83,clay,Ton,agyag,jojuŋɜ
jojuŋa,N,,,6.83,clay,Ton,agyag,jojuŋa
jojɜŋe,N,,,6.83,clay,Ton,agyag,jojɜŋe
joδʲuŋe,N,,,6.83,clay,Ton,agyag,joðʲuŋe
joδʲȣŋɜ,N,,,6.83,clay,Ton,agyag,joðʲȣŋɜ
joδʲȣŋa,N,,,6.83,clay,Ton,agyag,joðʲȣŋa
jańćuŋɜ,N,,,6.83,clay,Ton,agyag,janʲt͡ʃʲuŋɜ
jańćuŋa,N,,,6.83,clay,Ton,agyag,janʲt͡ʃʲuŋa
jańćɜŋe,N,,,6.83,clay,Ton,agyag,janʲt͡ʃʲɜŋe
januŋe,N,,,6.83,clay,Ton,agyag,januŋe
janȣŋɜ,N,,,6.83,clay,Ton,agyag,janȣŋɜ
janȣŋa,N,,,6.83,clay,Ton,agyag,janȣŋa
jajeŋe,N,,,6.83,clay,Ton,agyag,jajeŋe
jajaŋɜ,N,,,6.83,clay,Ton,agyag,jajaŋɜ
jajaŋa,N,,,6.83,clay,Ton,agyag,jajaŋa
0ońćuŋɜ,N,,,6.83,clay,Ton,agyag,0onʲt͡ʃʲuŋɜ
0ońćuŋa,N,,,6.83,clay,Ton,agyag,0onʲt͡ʃʲuŋa
0ońćɜŋe,N,,,6.83,clay,Ton,agyag,0onʲt͡ʃʲɜŋe
0onuŋe,N,,,6.83,clay,Ton,agyag,0onuŋe
0onȣŋɜ,N,,,6.83,clay,Ton,agyag,0onȣŋɜ
0onȣŋa,N,,,6.83,clay,Ton,agyag,0onȣŋa
0ojeŋe,N,,,6.83,clay,Ton,agyag,0ojeŋe
0ojaŋɜ,N,,,6.83,clay,Ton,agyag,0ojaŋɜ
0ojaŋa,N,,,6.83,clay,Ton,agyag,0ojaŋa
0ańćuŋɜ,N,,,6.83,clay,Ton,agyag,0anʲt͡ʃʲuŋɜ
0ańćuŋa,N,,,6.83,clay,Ton,agyag,0anʲt͡ʃʲuŋa
0ańćɜŋe,N,,,6.83,clay,Ton,agyag,0anʲt͡ʃʲɜŋe
0anuŋe,N,,,6.83,clay,Ton,agyag,0anuŋe
0anȣŋɜ,N,,,6.83,clay,Ton,agyag,0anȣŋɜ
0anȣŋa,N,,,6.83,clay,Ton,agyag,0anȣŋa
0ajuŋɜ,N,,,6.83,clay,Ton,agyag,0ajuŋɜ
0ajuŋa,N,,,6.83,clay,Ton,agyag,0ajuŋa
0ajɜŋe,N,,,6.83,clay,Ton,agyag,0ajɜŋe
0aδʲuŋe,N,,,6.83,clay,Ton,agyag,0aðʲuŋe
0aδʲȣŋɜ,N,,,6.83,clay,Ton,agyag,0aðʲȣŋɜ
0aδʲȣŋa,N,,,6.83,clay,Ton,agyag,0aðʲȣŋa
šoneŋe,N,,,6.67,clay,Ton,agyag,ʃoneŋe
šonaŋɜ,N,,,6.67,clay,Ton,agyag,ʃonaŋɜ
šonaŋa,N,,,6.67,clay,Ton,agyag,ʃonaŋa
šaneŋe,N,,,6.67,clay,Ton,agyag,ʃaneŋe
šanaŋɜ,N,,,6.67,clay,Ton,agyag,ʃanaŋɜ
šanaŋa,N,,,6.67,clay,Ton,agyag,ʃanaŋa
soδʲeŋe,N,,,6.67,clay,Ton,agyag,soðʲeŋe
soδʲaŋɜ,N,,,6.67,clay,Ton,agyag,soðʲaŋɜ
soδʲaŋa,N,,,6.67,clay,Ton,agyag,soðʲaŋa
saδʲeŋe,N,,,6.67,clay,Ton,agyag,saðʲeŋe
saδʲaŋɜ,N,,,6.67,clay,Ton,agyag,saðʲaŋɜ
saδʲaŋa,N,,,6.67,clay,Ton,agyag,saðʲaŋa
manoŋe,N,,,6.67,clay,Ton,agyag,manoŋe
manɜŋɜ,N,,,6.67,clay,Ton,agyag,manɜŋɜ
manɜŋa,N,,,6.67,clay,Ton,agyag,manɜŋa
manaŋä,N,,,6.67,clay,Ton,agyag,manaŋæ
majeŋe,N,,,6.67,clay,Ton,agyag,majeŋe
majaŋɜ,N,,,6.67,clay,Ton,agyag,majaŋɜ
majaŋa,N,,,6.67,clay,Ton,agyag,majaŋa
jonoŋe,N,,,6.67,clay,Ton,agyag,jonoŋe
jonɜŋɜ,N,,,6.67,clay,Ton,agyag,jonɜŋɜ
jonɜŋa,N,,,6.67,clay,Ton,agyag,jonɜŋa
jonaŋä,N,,,6.67,clay,Ton,agyag,jonaŋæ
jojeŋe,N,,,6.67,clay,Ton,agyag,jojeŋe
jojaŋɜ,N,,,6.67,clay,Ton,agyag,jojaŋɜ
jojaŋa,N,,,6.67,clay,Ton,agyag,jojaŋa
jańćeŋe,N,,,6.67,clay,Ton,agyag,janʲt͡ʃʲeŋe
jańćaŋɜ,N,,,6.67,clay,Ton,agyag,janʲt͡ʃʲaŋɜ
jańćaŋa,N,,,6.67,clay,Ton,agyag,janʲt͡ʃʲaŋa
jaδʲoŋe,N,,,6.67,clay,Ton,agyag,jaðʲoŋe
jaδʲɜŋɜ,N,,,6.67,clay,Ton,agyag,jaðʲɜŋɜ
jaδʲɜŋa,N,,,6.67,clay,Ton,agyag,jaðʲɜŋa
jaδʲaŋä,N,,,6.67,clay,Ton,agyag,jaðʲaŋæ
0ońćeŋe,N,,,6.67,clay,Ton,agyag,0onʲt͡ʃʲeŋe
0ońćaŋɜ,N,,,6.67,clay,Ton,agyag,0onʲt͡ʃʲaŋɜ
0ońćaŋa,N,,,6.67,clay,Ton,agyag,0onʲt͡ʃʲaŋa
0oδʲoŋe,N,,,6.67,clay,Ton,agyag,0oðʲoŋe
0oδʲɜŋɜ,N,,,6.67,clay,Ton,agyag,0oðʲɜŋɜ
0oδʲɜŋa,N,,,6.67,clay,Ton,agyag,0oðʲɜŋa
0oδʲaŋä,N,,,6.67,clay,Ton,agyag,0oðʲaŋæ
0ańćeŋe,N,,,6.67,clay,Ton,agyag,0anʲt͡ʃʲeŋe
0ańćaŋɜ,N,,,6.67,clay,Ton,agyag,0anʲt͡ʃʲaŋɜ
0ańćaŋa,N,,,6.67,clay,Ton,agyag,0anʲt͡ʃʲaŋa
0ajeŋe,N,,,6.67,clay,Ton,agyag,0ajeŋe
0ajaŋɜ,N,,,6.67,clay,Ton,agyag,0ajaŋɜ
0ajaŋa,N,,,6.67,clay,Ton,agyag,0ajaŋa
šoδʲeŋe,N,,,6.5,clay,Ton,agyag,ʃoðʲeŋe
šoδʲaŋɜ,N,,,6.5,clay,Ton,agyag,ʃoðʲaŋɜ
šoδʲaŋa,N,,,6.5,clay,Ton,agyag,ʃoðʲaŋa
šaδʲeŋe,N,,,6.5,clay,Ton,agyag,ʃaðʲeŋe
šaδʲaŋɜ,N,,,6.5,clay,Ton,agyag,ʃaðʲaŋɜ
šaδʲaŋa,N,,,6.5,clay,Ton,agyag,ʃaðʲaŋa
soneŋe,N,,,6.5,clay,Ton,agyag,soneŋe
sonaŋɜ,N,,,6.5,clay,Ton,agyag,sonaŋɜ
sonaŋa,N,,,6.5,clay,Ton,agyag,sonaŋa
saneŋe,N,,,6.5,clay,Ton,agyag,saneŋe
sanaŋɜ,N,,,6.5,clay,Ton,agyag,sanaŋɜ
sanaŋa,N,,,6.5,clay,Ton,agyag,sanaŋa
moneŋe,N,,,6.5,clay,Ton,agyag,moneŋe
monaŋɜ,N,,,6.5,clay,Ton,agyag,monaŋɜ
monaŋa,N,,,6.5,clay,Ton,agyag,monaŋa
moδʲeŋe,N,,,6.5,clay,Ton,agyag,moðʲeŋe
moδʲaŋɜ,N,,,6.5,clay,Ton,agyag,moðʲaŋɜ
moδʲaŋa,N,,,6.5,clay,Ton,agyag,moðʲaŋa
mańćoŋe,N,,,6.5,clay,Ton,agyag,manʲt͡ʃʲoŋe
mańćɜŋɜ,N,,,6.5,clay,Ton,agyag,manʲt͡ʃʲɜŋɜ
mańćɜŋa,N,,,6.5,clay,Ton,agyag,manʲt͡ʃʲɜŋa
manuŋɜ,N,,,6.5,clay,Ton,agyag,manuŋɜ
manuŋa,N,,,6.5,clay,Ton,agyag,manuŋa
maδʲoŋe,N,,,6.5,clay,Ton,agyag,maðʲoŋe
maδʲɜŋɜ,N,,,6.5,clay,Ton,agyag,maðʲɜŋɜ
maδʲɜŋa,N,,,6.5,clay,Ton,agyag,maðʲɜŋa
maδʲaŋä,N,,,6.5,clay,Ton,agyag,maðʲaŋæ
jońćoŋe,N,,,6.5,clay,Ton,agyag,jonʲt͡ʃʲoŋe
jońćɜŋɜ,N,,,6.5,clay,Ton,agyag,jonʲt͡ʃʲɜŋɜ
jońćɜŋa,N,,,6.5,clay,Ton,agyag,jonʲt͡ʃʲɜŋa
jonuŋɜ,N,,,6.5,clay,Ton,agyag,jonuŋɜ
jonuŋa,N,,,6.5,clay,Ton,agyag,jonuŋa
joδʲoŋe,N,,,6.5,clay,Ton,agyag,joðʲoŋe
joδʲɜŋɜ,N,,,6.5,clay,Ton,agyag,joðʲɜŋɜ
joδʲɜŋa,N,,,6.5,clay,Ton,agyag,joðʲɜŋa
joδʲaŋä,N,,,6.5,clay,Ton,agyag,joðʲaŋæ
janoŋe,N,,,6.5,clay,Ton,agyag,janoŋe
janɜŋɜ,N,,,6.5,clay,Ton,agyag,janɜŋɜ
janɜŋa,N,,,6.5,clay,Ton,agyag,janɜŋa
janaŋä,N,,,6.5,clay,Ton,agyag,janaŋæ
jajoŋe,N,,,6.5,clay,Ton,agyag,jajoŋe
jajɜŋɜ,N,,,6.5,clay,Ton,agyag,jajɜŋɜ
jajɜŋa,N,,,6.5,clay,Ton,agyag,jajɜŋa
jaδʲuŋɜ,N,,,6.5,clay,Ton,agyag,jaðʲuŋɜ
jaδʲuŋa,N,,,6.5,clay,Ton,agyag,jaðʲuŋa
0onoŋe,N,,,6.5,clay,Ton,agyag,0onoŋe
0onɜŋɜ,N,,,6.5,clay,Ton,agyag,0onɜŋɜ
0onɜŋa,N,,,6.5,clay,Ton,agyag,0onɜŋa
0onaŋä,N,,,6.5,clay,Ton,agyag,0onaŋæ
0ojoŋe,N,,,6.5,clay,Ton,agyag,0ojoŋe
0ojɜŋɜ,N,,,6.5,clay,Ton,agyag,0ojɜŋɜ
0ojɜŋa,N,,,6.5,clay,Ton,agyag,0ojɜŋa
0oδʲuŋɜ,N,,,6.5,clay,Ton,agyag,0oðʲuŋɜ
0oδʲuŋa,N,,,6.5,clay,Ton,agyag,0oðʲuŋa
0anoŋe,N,,,6.5,clay,Ton,agyag,0anoŋe
0anɜŋɜ,N,,,6.5,clay,Ton,agyag,0anɜŋɜ
0anɜŋa,N,,,6.5,clay,Ton,agyag,0anɜŋa
0anaŋä,N,,,6.5,clay,Ton,agyag,0anaŋæ
0aδʲoŋe,N,,,6.5,clay,Ton,agyag,0aðʲoŋe
0aδʲɜŋɜ,N,,,6.5,clay,Ton,agyag,0aðʲɜŋɜ
0aδʲɜŋa,N,,,6.5,clay,Ton,agyag,0aðʲɜŋa
0aδʲaŋä,N,,,6.5,clay,Ton,agyag,0aðʲaŋæ
šońćȣŋe,N,,,6.33,clay,Ton,agyag,ʃonʲt͡ʃʲȣŋe
šańćȣŋe,N,,,6.33,clay,Ton,agyag,ʃanʲt͡ʃʲȣŋe
sojȣŋe,N,,,6.33,clay,Ton,agyag,sojȣŋe
sajȣŋe,N,,,6.33,clay,Ton,agyag,sajȣŋe
mańćeŋɜ,N,,,6.33,clay,Ton,agyag,manʲt͡ʃʲeŋɜ
mańćeŋa,N,,,6.33,clay,Ton,agyag,manʲt͡ʃʲeŋa
majoŋe,N,,,6.33,clay,Ton,agyag,majoŋe
majɜŋɜ,N,,,6.33,clay,Ton,agyag,majɜŋɜ
majɜŋa,N,,,6.33,clay,Ton,agyag,majɜŋa
maδʲuŋɜ,N,,,6.33,clay,Ton,agyag,maðʲuŋɜ
maδʲuŋa,N,,,6.33,clay,Ton,agyag,maðʲuŋa
jońćeŋɜ,N,,,6.33,clay,Ton,agyag,jonʲt͡ʃʲeŋɜ
jońćeŋa,N,,,6.33,clay,Ton,agyag,jonʲt͡ʃʲeŋa
jojoŋe,N,,,6.33,clay,Ton,agyag,jojoŋe
jojɜŋɜ,N,,,6.33,clay,Ton,agyag,jojɜŋɜ
jojɜŋa,N,,,6.33,clay,Ton,agyag,jojɜŋa
joδʲuŋɜ,N,,,6.33,clay,Ton,agyag,joðʲuŋɜ
joδʲuŋa,N,,,6.33,clay,Ton,agyag,joðʲuŋa
jańćoŋe,N,,,6.33,clay,Ton,agyag,janʲt͡ʃʲoŋe
jańćɜŋɜ,N,,,6.33,clay,Ton,agyag,janʲt͡ʃʲɜŋɜ
jańćɜŋa,N,,,6.33,clay,Ton,agyag,janʲt͡ʃʲɜŋa
januŋɜ,N,,,6.33,clay,Ton,agyag,januŋɜ
januŋa,N,,,6.33,clay,Ton,agyag,januŋa
jajeŋɜ,N,,,6.33,clay,Ton,agyag,jajeŋɜ
jajeŋa,N,,,6.33,clay,Ton,agyag,jajeŋa
0ońćoŋe,N,,,6.33,clay,Ton,agyag,0onʲt͡ʃʲoŋe
0ońćɜŋɜ,N,,,6.33,clay,Ton,agyag,0onʲt͡ʃʲɜŋɜ
0ońćɜŋa,N,,,6.33,clay,Ton,agyag,0onʲt͡ʃʲɜŋa
0onuŋɜ,N,,,6.33,clay,Ton,agyag,0onuŋɜ
0onuŋa,N,,,6.33,clay,Ton,agyag,0onuŋa
0ojeŋɜ,N,,,6.33,clay,Ton,agyag,0ojeŋɜ
0ojeŋa,N,,,6.33,clay,Ton,agyag,0ojeŋa
0ańćoŋe,N,,,6.33,clay,Ton,agyag,0anʲt͡ʃʲoŋe
0ańćɜŋɜ,N,,,6.33,clay,Ton,agyag,0anʲt͡ʃʲɜŋɜ
0ańćɜŋa,N,,,6.33,clay,Ton,agyag,0anʲt͡ʃʲɜŋa
0anuŋɜ,N,,,6.33,clay,Ton,agyag,0anuŋɜ
0anuŋa,N,,,6.33,clay,Ton,agyag,0anuŋa
0ajoŋe,N,,,6.33,clay,Ton,agyag,0ajoŋe
0ajɜŋɜ,N,,,6.33,clay,Ton,agyag,0ajɜŋɜ
0ajɜŋa,N,,,6.33,clay,Ton,agyag,0ajɜŋa
0aδʲuŋɜ,N,,,6.33,clay,Ton,agyag,0aðʲuŋɜ
0aδʲuŋa,N,,,6.33,clay,Ton,agyag,0aðʲuŋa
