Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old,Vchanges,Cchanges
siet,*čijɜ,FU,,"*čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",,ʃiɛt,*t͡ʃijɜ,ʃiɛt∅,ʃiɛt∅,*t͡ʃijɜ0∅,*i>∅³ *ɜ>∅²,*t͡ʃ>ʃ¹ *j>0³ *0>t³
sok,*čukkɜ,FU,,*čokkɜ,,ʃok,*t͡ʃukkɜ,ʃok∅,ʃok∅,*t͡ʃukkɜ,*u>o³ *ɜ>∅²,*t͡ʃ>ʃ¹ *kk>k³
sovány,*čupa,FU,,,,ʃovaɲ,*t͡ʃupa,ʃovaɲ∅,ʃovaɲ∅,*t͡ʃupa0∅,*u>o³ *a>a³,*t͡ʃ>ʃ¹ *p>v³ *0>ɲ³
ez,*e,U,,,,ɛz,*e,ɛz∅,0ɛz∅,*0e0∅,*e>ɛ¹,*0>0¹ *0>z³
öcs,*ećɜ,FU,,,,øt͡ʃ,*et͡ʃʲɜ,øt͡ʃ∅,0øt͡ʃ∅,*0et͡ʃʲɜ,*e>ø¹ *ɜ>∅²,*0>0¹ *t͡ʃʲ>t͡ʃ³
es,*ećɜ,U,,,,ɛʃ,*et͡ʃʲɜ,ɛʃ∅,0ɛʃ∅,*0et͡ʃʲɜ,*e>ɛ¹ *ɜ>∅²,*0>0¹ *t͡ʃʲ>ʃ³
elő,*eδe,FU,eleje,,,ɛlø,*eðe,ɛlø,0ɛlø,*0eðe,*e>ɛ¹ *e>ø²,*0>0¹ *ð>l³
éj,*eje,FU,,*üje,,ej,*eje,ej∅,0ej∅,*0eje,*e>e¹ *e>∅²,*0>0¹ *j>j³
él,*elä,U,,,,el,*elæ,el∅,0el∅,*0elæ,*e>e¹ *æ>∅²,*0>0¹ *l>l³
em,*emä,U, embër,,,ɛm,*emæ,ɛm∅,0ɛm∅,*0emæ,*e>ɛ¹ *æ>∅²,*0>0¹ *m>m³
ük,*ewkkɜ,FU, ükanya,,,yk,*eβkkɜ,yk∅,0yk∅,*0eβkkɜ,*e>y¹ *ɜ>∅²,*0>0¹ *βkk>k³
ős,*ićä,U,,,,øʃ,*it͡ʃʲæ,øʃ∅,0øʃ∅,*0it͡ʃʲæ,*i>ø¹ *æ>∅²,*0>0¹ *t͡ʃʲ>ʃ³
íny,*ike,FU,,"*ikeńe, ikene",,iɲ,*ike,iɲ∅,0iɲ∅,*0ike,*i>i¹ *e>∅²,*0>0¹ *k>ɲ³
emlő,*ime,U,,,,ɛmlø,*ime,ɛmlø,0ɛmlø,*0ime,*i>ɛ¹ *e>ø²,*0>0¹ *m>ml³
íz,*ipɜ,U,,"*ipɜsɜ, ipɜśɜ",,iz,*ipɜ,iz∅,0iz∅,*0ipɜ,*i>i¹ *ɜ>∅²,*0>0¹ *p>z³
ër,*irkä,FU,,*ürkä,,er,*irkæ,er∅,0er∅,*0irkæ,*i>e¹ *æ>∅²,*0>0¹ *rk>r³
iktat,*jakka,FU,,,,iktɒt,*jakka,iktɒt∅,0iktɒt∅,*jakka0∅,*a>i¹ *a>ɒ³,*j>0¹ *kk>kt³ *0>t³
gyalog,*jalka,FU,,,,ɟɒloɡ,*jalka,ɟɒloɡ∅,ɟɒloɡ∅,*jalka0∅,*a>ɒ³ *a>o³,*j>ɟ¹ *lk>l³ *0>ɡ³
jel,*jälke,FU,,,,jɛl,*jælke,jɛl∅,jɛl∅,*jælke,*æ>ɛ³ *e>∅²,*j>j¹ *lk>l³
ideg,*jänte,U,,,,idɛɡ,*jænte,idɛɡ∅,0idɛɡ∅,*jænte0∅,*æ>i¹ *e>ɛ³,*j>0¹ *nt>d³ *0>ɡ³
jég,*jäŋe,FU,,,,jeɡ,*jæŋe,jeɡ∅,jeɡ∅,*jæŋe,*æ>e³ *e>∅²,*j>j¹ *ŋ>ɡ³
év,*jikä,FU,,*ikä,,ev,*jikæ,ev∅,0ev∅,*jikæ,*i>e¹ *æ>∅²,*j>0¹ *k>v³
jó,*joke,U,,,,jo,*joke,jo,jo0∅,*joke,*o>o³ *e>∅³,*j>j¹ *k>0³
íj,*joŋsɜ,U,,*joŋksɜ,,ij,*joŋsɜ,ij∅,0ij∅,*joŋsɜ,*o>i¹ *ɜ>∅²,*j>0¹ *ŋs>j³
gyakori,*jowkkɜ,FU,,,,ɟɒkori,*joβkkɜ,ɟɒkori,ɟɒkori,*joβkkɜ0∅,*o>ɒ³ *ɜ>o³ *∅>i²,*j>ɟ¹ *βkk>k³ *0>r³
iv,*juγe,FU,i,*juke,,iv,*juɣe,iv∅,0iv∅,*juɣe,*u>i¹ *e>∅²,*j>0¹ *ɣ>v³
jöv,*j¨ŋɜ,Ug,,*j¨γɜ j¨kɜ,,jøv,*j¨ŋɜ,jøv∅,jøv∅,*j¨ŋɜ,*¨>ø³ *ɜ>∅²,*j>j¹ *ŋ>v³
hős,*kaća,U,,,,høʃ,*kat͡ʃʲa,høʃ∅,høʃ∅,*kat͡ʃʲa,*a>ø³ *a>∅²,*k>h¹ *t͡ʃʲ>ʃ³
hagy,*kaδ'a,U,,,,hɒɟ,*kaðʲa,hɒɟ∅,hɒɟ∅,*kaðʲa,*a>ɒ³ *a>∅²,*k>h¹ *ðʲ>ɟ³
hölgy,*kaδ'wa,FU,,*kaδ'wɜ,,hølɟ,*kaðʲβa,hølɟ∅,hølɟ∅,*kaðʲβa,*a>ø³ *a>∅²,*k>h¹ *ðʲβ>lɟ³
hajít,*kaja,FU,,,,hɒjit,*kaja,hɒjit∅,hɒjit∅,*kaja0∅,*a>ɒ³ *a>i³,*k>h¹ *j>j³ *0>t³
két,*kakta,FU,,*käktä,,ket,*kakta,ket∅,ket∅,*kakta,*a>e³ *a>∅²,*k>k¹ *kt>t³
hal,*kala,U,,,,hɒl,*kala,hɒl∅,hɒl∅,*kala,*a>ɒ³ *a>∅²,*k>h¹ *l>l³
háló,*kalɜ,U,,,,halo,*kalɜ,halo,halo,*kalɜ,*a>a³ *ɜ>o²,*k>h¹ *l>l³
hál,*kalɜ,FU,,,,hal,*kalɜ,hal∅,hal∅,*kalɜ,*a>a³ *ɜ>∅²,*k>h¹ *l>l³
hályog,*kaĺwɜ,FU,,,,hajoɡ,*kaʎβɜ,hajoɡ∅,hajoɡ∅,*kalʲβɜ0∅,*a>a³ *ɜ>o³,*k>h¹ *lʲβ>j³ *0>ɡ³
háml,*kama,U,,,,haml,*kama,haml∅,haml∅,*kama,*a>a³ *a>∅²,*k>h¹ *m>ml³
hány,*kanɜ,FU,,,,haɲ,*kanɜ,haɲ∅,haɲ∅,*kanɜ,*a>a³ *ɜ>∅²,*k>h¹ *n>ɲ³
hág,*kaŋɜ,Ug,,*kaŋkɜ,,haɡ,*kaŋɜ,haɡ∅,haɡ∅,*kaŋɜ,*a>a³ *ɜ>∅²,*k>h¹ *ŋ>ɡ³
hat,*kattɜ,U,,,,hɒt,*kattɜ,hɒt∅,hɒt∅,*kattɜ,*a>ɒ³ *ɜ>∅²,*k>h¹ *tt>t³
kel,*kälä,FU,,,,kɛl,*kælæ,kɛl∅,kɛl∅,*kælæ,*æ>ɛ³ *æ>∅²,*k>k¹ *l>l³
kemény,*kämä,FU,,,,kɛmeɲ,*kæmæ,kɛmeɲ∅,kɛmeɲ∅,*kæmæ0∅,*æ>ɛ³ *æ>e³,*k>k¹ *m>m³ *0>ɲ³
kéz,*käte,FU,,,,kez,*kæte,kez∅,kez∅,*kæte,*æ>e³ *e>∅²,*k>k¹ *t>z³
ki,*ke,FU,,*ki,,ki,*ke,ki,ki,*ke,*e>i²,*k>k¹
keszeg,*kećä,FU,,,,kɛsɛɡ,*ket͡ʃʲæ,kɛsɛɡ∅,kɛsɛɡ∅,*ket͡ʃʲæ0∅,*e>ɛ³ *æ>ɛ³,*k>k¹ *t͡ʃʲ>s³ *0>ɡ³
kengyel,*kećɜ,FU,,,,kɛnɟɛl,*ket͡ʃʲɜ,kɛnɟɛl∅,kɛnɟɛl∅,*ket͡ʃʲɜ0∅,*e>ɛ³ *ɜ>ɛ³,*k>k¹ *t͡ʃʲ>nɟ³ *0>l³
kécs,*kečä,FU, isten kecskéje,,,ket͡ʃ,*ket͡ʃæ,ket͡ʃ∅,ket͡ʃ∅,*ket͡ʃæ,*e>e³ *æ>∅²,*k>k¹ *t͡ʃ>t͡ʃ³
kés,*kečɜ,FU,,,,keʃ,*ket͡ʃɜ,keʃ∅,keʃ∅,*ket͡ʃɜ,*e>e³ *ɜ>∅²,*k>k¹ *t͡ʃ>ʃ³
kéj,*keje,FU,,*k¨jγɜ,,kej,*keje,kej∅,kej∅,*keje,*e>e³ *e>∅²,*k>k¹ *j>j³
köved,*keje,FU,,,,køvɛd,*keje,køvɛd∅,køvɛd∅,*keje0∅,*e>ø³ *e>ɛ³,*k>k¹ *j>v³ *0>d³
këll,*kelke,FU,,,,kell,*kelke,kell∅,kell∅,*kelke,*e>e³ *e>∅²,*k>k¹ *lk>ll³
