Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw
afgrundus,Adj.,abgründig,bottomless,https://koeblergerhard.de/wikiling/?f=got&page=3,afɡrundus,afɡrundus
afgudei,F.,Gottlosigkeit,"ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?f=got&page=3,afɡudi,afɡudi
afguþs,Adj.,"abgöttisch, gottlos","godless, irreligious, impious",https://koeblergerhard.de/wikiling/?f=got&page=3,afɡuθs,afɡuθs
afhaban,V.,sich enthalten,"abstain, withhold o.s.",https://koeblergerhard.de/wikiling/?f=got&page=3,afhaban,afhaban
afhaimeis,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?f=got&page=3,afhɛmis,afhɛmis
afhaimis,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=3,afhɛmɪs,afhɛmɪs
afhaims,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=3,afhɛms,afhɛms
afhamon,V.,"die Bekleidung ablegen, ausziehen, sich entkleiden","get undressed, shed as clothing, strip off as clothing, doff",https://koeblergerhard.de/wikiling/?f=got&page=3,afhamon,afhamon
afhlaþan,V.,beladen (V.),"burden (V.), load down, lade down",https://koeblergerhard.de/wikiling/?f=got&page=3,afhlaθan,afhlaθan
afholon,V.,"übervorteilen, betrügen",extort from by false allegation,https://koeblergerhard.de/wikiling/?f=got&page=3,afholon,afholon
afhrainjan,V.,"etwas Verunreinigendes tilgen, reinigen","cleanse away, wipe out",https://koeblergerhard.de/wikiling/?f=got&page=3,afhrɛnjan,afhrɛnjan
afhrisjan,V.,abschütteln,shake off,https://koeblergerhard.de/wikiling/?f=got&page=3,afhrɪsjan,afhrɪsjan
afhugjan,V.,bezaubern,"lead astray the understanding of, bewitch",https://koeblergerhard.de/wikiling/?f=got&page=3,afhuɡjan,afhuɡjan
afƕapjan,V.,"ersticken, auslöschen","choke (V.), extinguish, asphyxiate, suffocate",https://koeblergerhard.de/wikiling/?f=got&page=3,afhʷapjan,afhwapjan
afƕapnan,V.,"ersticken, erlöschen","choke (V.), be suffocated, become suffocated",https://koeblergerhard.de/wikiling/?f=got&page=4,afhʷapnan,afhwapnan
afitan,V.,"verschlingen, fressen","devour, eat voraciously",https://koeblergerhard.de/wikiling/?f=got&page=4,afɪtan,afɪtan
aflageins,F.,"Ablegung, Erlass, Vergebung","forgiveness, laying aside, remission, absolution",https://koeblergerhard.de/wikiling/?f=got&page=4,aflaɡins,aflaɡins
aflagjan,V.,etwas ablegen,"put off, lay off away, lay down, lay aside",https://koeblergerhard.de/wikiling/?f=got&page=4,aflaɡjan,aflaɡjan
afleiþan,V.,"weggehen, entweichen, verreisen, fortgehen","go away, depart (V.), leave (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4,afliθan,afliθan
aflet,N.,"Erlass, Vergebung","indulgence, letting off, forgiveness, pardon (N.)",https://koeblergerhard.de/wikiling/?f=got&page=4,aflet,aflet
afletan,V.,"entlassen (V.), fortschicken, aufgeben, eine Schuld erlassen (V.), vergeben (V.)>>>","let off, let go, leave (V.), relinquish, remit, absolve, release (V.), forgive",https://koeblergerhard.de/wikiling/?f=got&page=4,afletan,afletan
aflifnan,V.,übrigbleiben,"be left, become left, be left over, remain (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4,aflɪfnan,aflɪfnan
aflinnan,V.,"weggehen, fortgehen","leave off, go away, cease from, let up",https://koeblergerhard.de/wikiling/?f=got&page=4,aflɪnnan,aflɪnnan
afmaitan,V.,"abhauen, abschneiden","cut off, sever, amputate, chop off, behead",https://koeblergerhard.de/wikiling/?f=got&page=4,afmɛtan,afmɛtan
afmarzeins,F.,Betrug,"deception, deceitfulness, delusive seduction",https://koeblergerhard.de/wikiling/?f=got&page=4,afmarzins,afmarzins
afmarzjan,V.,"Ärgernis nehmen (= Pass.), sich ärgern","make deviate by obstructing, snare astray, thwart by deflecting, take offence",https://koeblergerhard.de/wikiling/?f=got&page=4,afmarzjan,afmarzjan
afmauiþs,"V., Adj.",ermüdet,"weary (Adj.), debilitated, tired out, fatigued",https://koeblergerhard.de/wikiling/?f=got&page=4,afmɔɪθs,afmɔɪθs
afmaujan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=4,afmɔjan,afmɔjan
afmojan,V.,ermüden,"tire out, fatigue (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4,afmojan,afmojan
afniman,V.,"wegnehmen, abnehmen","take away, remove (V.), withdraw",https://koeblergerhard.de/wikiling/?f=got&page=4,afnɪman,afnɪman
afqiþan,V.,"verzichten auf, entsagen","renounce (V.), foreswear",https://koeblergerhard.de/wikiling/?f=got&page=4,afkʷɪθan,afkwɪθan
afsateins,F.,"Absetzung, Entlassung, Verabschiedung, Scheidung","setting aside (N.), divorce (N.)",https://koeblergerhard.de/wikiling/?f=got&page=4,afsatins,afsatins
afsatjan,V.,"absetzen, entlassen (V.)","dismiss, remove (V.), put away, set aside, set off, divorce (V.)",https://koeblergerhard.de/wikiling/?f=got&page=4,afsatjan,afsatjan
afskaidan,V.,"„abscheiden“, absondern, abtrennen, trennen","separate off, sever, sunder (V.), divide",https://koeblergerhard.de/wikiling/?f=got&page=4,afskɛdan,afskɛdan
afskiuban,V.,"verstoßen (V.), von sich wegstoßen, abschieben, von sich schieben, entfernen","reject (V.), repulse (V.), shove away, thrust away",https://koeblergerhard.de/wikiling/?f=got&page=5,afskɪuban,afskɪwban
