Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw
fimftataihunda,Num.,fünfzehnte,fifteenth,https://koeblergerhard.de/wikiling/?f=got&page=72,fɪmftatɛhunda,fɪmftatɛhunda
fimftigjus,Num.,fünfzig,fifty,https://koeblergerhard.de/wikiling/?f=got&page=72,fɪmftɪɡjus,fɪmftɪɡjus
fimfþusunjos,Num.,fünftausend,five thousand,https://koeblergerhard.de/wikiling/?f=got&page=72,fɪmfθusunjos,fɪmfθusunjos
finja,F.,Gerste?,barley?,https://koeblergerhard.de/wikiling/?f=got&page=72,fɪnja,fɪnja
finnhaiþas,M.,Bewohner von Finnahaithi,inhabitants of Finnahaithi,https://koeblergerhard.de/wikiling/?f=got&page=72,fɪnnhɛθas,fɪnnhɛθas
finþan,V.,"erkennen, erfahren (V.)","find out, discover, recognize, learn, obtain knowledge of",https://koeblergerhard.de/wikiling/?f=got&page=72,fɪnθan,fɪnθan
fisc,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=72,fɪsc,fɪsc
fiskja,M.,Fischer,"fisher, fisherman",https://koeblergerhard.de/wikiling/?f=got&page=72,fɪskja,fɪskja
fiskon,V.,fischen,"fish (V.), go fishing",https://koeblergerhard.de/wikiling/?f=got&page=72,fɪskon,fɪskon
fisks,M.,Fisch,fish (N.),https://koeblergerhard.de/wikiling/?f=got&page=72,fɪsks,fɪsks
fitan,V.,"kreißen, gebären","undergo childbirth pangs (with), give birth (to) amid throes, be in labour (with>>>",https://koeblergerhard.de/wikiling/?f=got&page=72,fɪtan,fɪtan
flahta,"F., F.",Flechte,"braid (N.), plait (N.), braided hair, woven hair",https://koeblergerhard.de/wikiling/?f=got&page=72,flahta,flahta
flahto,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=72,flahto,flahto
flaihtan,V.,flechten,"braid (V.), plait (V.)",https://koeblergerhard.de/wikiling/?f=got&page=72,flɛhtan,flɛhtan
flasko,F.,Flasche,bottle (N.),https://koeblergerhard.de/wikiling/?f=got&page=72,flasko,flasko
flaugjan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=72,flɔɡjan,flɔɡjan
flautjan,V.,prahlen,"bevainglorious, boast (V.), brag (V.)",https://koeblergerhard.de/wikiling/?f=got&page=73,flɔtjan,flɔtjan
flauts,Adj.,"ruhmsüchtig, prahlerisch","boastful, conceited, bragging (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=73,flɔts,flɔts
flodus,M.,"Strom, Flut","flood (N.), stream (N.), onrush of water, onflow of water",https://koeblergerhard.de/wikiling/?f=got&page=73,flodus,flodus
flokan,V.,"betrauern, beklagen","beat one’s breast over, bewail, mourn (V.)",https://koeblergerhard.de/wikiling/?f=got&page=73,flokan,flokan
fodeins,F.,"Nahrung, Speise","feeding (N.), nourishment, nutrition, nutriment, food",https://koeblergerhard.de/wikiling/?f=got&page=73,fodins,fodins
fodjan,V.,"ernähren, aufziehen","feed, nourish, nurture, bring up, rear (V.)",https://koeblergerhard.de/wikiling/?f=got&page=73,fodjan,fodjan
fodr,N.,Scheide,"scabbard, sheath (N.), casing",https://koeblergerhard.de/wikiling/?f=got&page=73,fodr,fodr
fon,N.,Feuer,fire (N.),https://koeblergerhard.de/wikiling/?f=got&page=73,fon,fon
fotubandi,F.,"„Fußband“, Fußfessel, Fußschelle","foot shackle, foot-bonds, leg chains",https://koeblergerhard.de/wikiling/?f=got&page=73,fotubandɪ,fotubandɪ
fotubaurd,N.,"Fußbank, Schemel","footstool, board for resting the feet",https://koeblergerhard.de/wikiling/?f=got&page=73,fotubɔrd,fotubɔrd
fotus,M.,Fuß,foot,https://koeblergerhard.de/wikiling/?f=got&page=73,fotus,fotus
fra,"V., Partikel",ver...,for...,https://koeblergerhard.de/wikiling/?f=got&page=73,fra,fra
fraatjan,V.,zum Essen austeilen,"give away to be eaten, dispense as food",https://koeblergerhard.de/wikiling/?f=got&page=73,fraatjan,fraatjan
frabairan,V.,"vertragen, ertragen","bear psychologically, sustain psychologically, endure",https://koeblergerhard.de/wikiling/?f=got&page=73,frabɛran,frabɛran
frabauhtaboka,"F., N.",Verkaufsurkunde,"written deed of sale, sale document, sale deed, sales receipt",https://koeblergerhard.de/wikiling/?f=got&page=73,frabɔhtaboka,frabɔhtaboka
frabugjan,V.,verkaufen,sell (V.),https://koeblergerhard.de/wikiling/?f=got&page=73,frabuɡjan,frabuɡjan
fradailjan,V.,verteilen unter,"distribute, lot out, dispense in portions",https://koeblergerhard.de/wikiling/?f=got&page=73,fradɛljan,fradɛljan
fragan,V.,fragen,"ask, test (V.), inquire of, make inquiry into, examine",https://koeblergerhard.de/wikiling/?f=got&page=73,fraɡan,fraɡan
fragiban,V.,"vergeben (V.), verleihen, schenken, geben, gewähren","give (V.), grant (V.), remit (V.), forgive, pardon (V.), bestow",https://koeblergerhard.de/wikiling/?f=got&page=73,fraɡɪban,fraɡɪban
fragifts,F.,"Verleihung, Verlobung, Gabe","gift (N.), grant (N.), betrothal, presentation, bestowal, giving away, plightedn>>>",https://koeblergerhard.de/wikiling/?f=got&page=73,fraɡɪfts,fraɡɪfts
fragildan,V.,"vergelten, erstatten","repay (V.), recompense (V.), restore",https://koeblergerhard.de/wikiling/?f=got&page=74,fraɡɪldan,fraɡɪldan
fragjan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=74,fraɡjan,fraɡjan
fragka,M.,Franke,Franconian,https://koeblergerhard.de/wikiling/?f=got&page=74,fraɡka,fraɡka
frahinþan,V.,"gefangennehmen, fangen","take captive, capture (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74,frahɪnθan,frahɪnθan
fraihnan,V.,fragen,"ask a question, ask, question (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74,frɛhnan,frɛhnan
fraisan,V.,versuchen,"put to the test, try, tempt, make trial of, test (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74,frɛsan,frɛsan
fraista,F.,Versuchung,temptation,https://koeblergerhard.de/wikiling/?f=got&page=74,frɛsta,frɛsta
fraiston,V.,versuchen,"try (V.), tempt, make trial of",https://koeblergerhard.de/wikiling/?f=got&page=74,frɛston,frɛston
fraistubni,F.,Versuchung,"testing (N.), temptation",https://koeblergerhard.de/wikiling/?f=got&page=74,frɛstubnɪ,frɛstubnɪ
fraitan,V.,"verzehren, fressen","devour, consume completely, eat completely up",https://koeblergerhard.de/wikiling/?f=got&page=74,frɛtan,frɛtan
fraiw,N.,Same,seed (N.),https://koeblergerhard.de/wikiling/?f=got&page=74,frɛw,frɛw
frakunnan,V.,verachten,"refuse to recognize, spurn (V.), disdain (V.), scorn (V.), despise",https://koeblergerhard.de/wikiling/?f=got&page=74,frakunnan,frakunnan
frakunþs,"V., Adj.",verachtet,"spurned, disdained, despised",https://koeblergerhard.de/wikiling/?f=got&page=74,frakunθs,frakunθs
fralet,N.,"Erlass, Entlassung","setting at liberty, release (N.), relinquishment, dispensation, forgiveness",https://koeblergerhard.de/wikiling/?f=got&page=74,fralet,fralet
fraletan,V.,"lassen, freilassen, entlassen (V.), unterlassen (V.), zulassen, erlauben, erlass>>>","let go, release (V.), let free, let (V.), permit (V.), absolve, let down, lower >>>",https://koeblergerhard.de/wikiling/?f=got&page=74,fraletan,fraletan
fralets,M.,Freigelassener,"liberated man, freed man",https://koeblergerhard.de/wikiling/?f=got&page=74,fralets,fralets
fralewjan,V.,verraten (V.),"hand over by means of opportunistic perfidy, betray",https://koeblergerhard.de/wikiling/?f=got&page=74,fralewjan,fralewjan
fraliusan,V.,verlieren,"lose (V.), ransom (V.)",https://koeblergerhard.de/wikiling/?f=got&page=74,fralɪusan,fralɪwsan
fralusnan,V.,"verloren gehen, verloren werden","be lost, become lost, perish",https://koeblergerhard.de/wikiling/?f=got&page=74,fralusnan,fralusnan
fralusts,F.,"Verderben, Verlust","destruction, perdition, loss",https://koeblergerhard.de/wikiling/?f=got&page=74,fralusts,fralusts
fram,"Präp., Adv., V.","weiter, von, von ... her, von ... an, an, vor, seit, bei","forwards, forth, from, at, by, near, farther, thence, since, before, about",https://koeblergerhard.de/wikiling/?f=got&page=75,fram,fram
framaldrs,Adj.,"im Alter vorgeschritten, bejahrt","aged, advanced in age, well along in years, of advanced age",https://koeblergerhard.de/wikiling/?f=got&page=75,framaldrs,framaldrs
framaþeis,Adj.,fremd,"strange, alien, foreign, alienated, estranged",https://koeblergerhard.de/wikiling/?f=got&page=75,framaθis,framaθis
framaþjan,V.,entfremden,"estrange, alienate",https://koeblergerhard.de/wikiling/?f=got&page=75,framaθjan,framaθjan
framaþs,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=75,framaθs,framaθs
framgahts,F.,Fortschritt,"progress (N.), advancement, furtherance",https://koeblergerhard.de/wikiling/?f=got&page=75,framɡahts,framɡahts
framis,"Adv., Adj.",weiter,"further, farther beyond",https://koeblergerhard.de/wikiling/?f=got&page=75,framɪs,framɪs
frams,Adj.,tüchtig,"efficient, competent, capable",https://koeblergerhard.de/wikiling/?f=got&page=75,frams,frams
framwairþis,Adv.,fernerhin,"onward, forward, further",https://koeblergerhard.de/wikiling/?f=got&page=75,framwɛrθɪs,framwɛrθɪs
framwairþs,Adj.,zukünftig,future (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=75,framwɛrθs,framwɛrθs
framwigis,Adv.,"fortwährend, für immer","evermore, continuous, in perpetuity",https://koeblergerhard.de/wikiling/?f=got&page=75,framwɪɡɪs,framwɪɡɪs
franiman,V.,"nehmen, in Besitz nehmen, in Empfang nehmen, gewinnen","acquire, take possession of, receive, take along",https://koeblergerhard.de/wikiling/?f=got&page=75,franɪman,franɪman
fraqiman,V.,"verzehren, ausgeben, vertun, verwenden","use up, expend, consume, exhaust (V.), spend, rise up",https://koeblergerhard.de/wikiling/?f=got&page=75,frakʷɪman,frakwɪman
fraqisteins,F.,"Verderb, Vergeudung, Verschwendung","spoiling, spoilage",https://koeblergerhard.de/wikiling/?f=got&page=75,frakʷɪstins,frakwɪstins
fraqistjan,V.,"verderben, umbringen","annihilate, obliterate, destroy utterly",https://koeblergerhard.de/wikiling/?f=got&page=75,frakʷɪstjan,frakwɪstjan
fraqistnan,V.,"umkommen, zugrunde gehen, verderben","be utterly destroyed, become utterly destroyed, perish (V.)",https://koeblergerhard.de/wikiling/?f=got&page=75,frakʷɪstnan,frakwɪstnan
fraqiþan,V.,"für ungültig erklären, aufheben, verfluchen, verwünschen","speak ill of, deprecate, condemn, curse s.o.",https://koeblergerhard.de/wikiling/?f=got&page=75,frakʷɪθan,frakwɪθan
frarinnan,V.,"sich verlaufen zu, geraten unter","run awry, run amiss, meet up with",https://koeblergerhard.de/wikiling/?f=got&page=75,frarɪnnan,frarɪnnan
fraslindan,V.,"verschlingen, verschlucken","swallow up, devour",https://koeblergerhard.de/wikiling/?f=got&page=75,fraslɪndan,fraslɪndan
frastisibja,F.,Kindschaft,"familial adoption, adoption as children, sonship",https://koeblergerhard.de/wikiling/?f=got&page=75,frastɪsɪbja,frastɪsɪbja
frasts,"M., F.",Kind,"child, bairn",https://koeblergerhard.de/wikiling/?f=got&page=76,frasts,frasts
fratrudan,V.,"treten, trampeln",trample (V.),https://koeblergerhard.de/wikiling/?f=got&page=76,fratrudan,fratrudan
fratwjan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=76,fratwjan,fratwjan
fraþi,N.,"Verstand, Sinn, Gesinnung","understanding (N.), perception, viewpoint, attitude, disposition, mindedness",https://koeblergerhard.de/wikiling/?f=got&page=76,fraθɪ,fraθɪ
fraþjamarzeins,F.,Verstandestäuschung,"comprehension-impediment, a thwarting of the understanding",https://koeblergerhard.de/wikiling/?f=got&page=76,fraθjamarzins,fraθjamarzins
fraþjan,V.,"denken, erkennen, verstehen, merken, verständig sein (V.), der Meinung sein (V.)>>>","perceive, comprehend, understand, think, recognize, understand in a certain way,>>>",https://koeblergerhard.de/wikiling/?f=got&page=76,fraθjan,fraθjan
fraþjands,"V., Adj.",verständig,"perceiving (Adj.), comprehending (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=76,fraθjands,fraθjands
fraþjei,F.,"Klugheit, Verstand, Verständigkeit, Besonnenheit","rationality, reasonableness, discretion",https://koeblergerhard.de/wikiling/?f=got&page=76,fraθji,fraθji
fraþjis,Adj.,gesinnt,-volent,https://koeblergerhard.de/wikiling/?f=got&page=76,fraθjɪs,fraθjɪs
frauja,M.,Herr,"lord (M.), master (M.)",https://koeblergerhard.de/wikiling/?f=got&page=76,frɔja,frɔja
fraujinassus,M.,Herrschaft,"dominion, domination, mastery",https://koeblergerhard.de/wikiling/?f=got&page=76,frɔjɪnassus,frɔjɪnassus
fraujinon,V.,"herrschen, Herr sein (V.)","be lord, be master, rule (V.), lord it over, rule over",https://koeblergerhard.de/wikiling/?f=got&page=76,frɔjɪnon,frɔjɪnon
fraujinonds,M.,"Herrscher, Herr","lord (M.), master (M.), ruler, sovereign",https://koeblergerhard.de/wikiling/?f=got&page=76,frɔjɪnonds,frɔjɪnonds
fraujis,M.,Herr,"lord (M.), master (M.)",https://koeblergerhard.de/wikiling/?f=got&page=76,frɔjɪs,frɔjɪs
fraus,Adj.,froh,"happy, glad",https://koeblergerhard.de/wikiling/?f=got&page=76,frɔs,frɔs
frawairpan,V.,"verwerfen, zerstreuen, wegwerfen","throw away, discard, jettison, cast off, scatter (V.)",https://koeblergerhard.de/wikiling/?f=got&page=76,frawɛrpan,frawɛrpan
frawairþan,V.,"verderben, zugrunde gehen","degenerate, spoil (V.), perish, become corrupt",https://koeblergerhard.de/wikiling/?f=got&page=76,frawɛrθan,frawɛrθan
frawardeins,F.,Verderben,"destruction, corruption",https://koeblergerhard.de/wikiling/?f=got&page=76,frawardins,frawardins
frawardjan,V.,"verderben, entstellen","cause to degenerate, corrupt (V.), destroy",https://koeblergerhard.de/wikiling/?f=got&page=76,frawardjan,frawardjan
frawaurhts,Adj.,"sündig, Sünder (= frawaúrhts subst.)","evil-doing (Adj.), sinful, subst. sinner",https://koeblergerhard.de/wikiling/?f=got&page=76,frawɔrhts,frawɔrhts
frawaurhts,F.,Sünde,"transgression, evil-doing (N.), sin (N.), offence",https://koeblergerhard.de/wikiling/?f=got&page=77,frawɔrhts,frawɔrhts
frawaurkjan,V.,"sündigen, (sich) versündigen, eine Sünde begehen","sin (V.), commit error, transgress, commit a transgression",https://koeblergerhard.de/wikiling/?f=got&page=77,frawɔrkjan,frawɔrkjan
fraweit,N.,"Strafe, Rache","punishment, revenge (N.), vengeance, retribution",https://koeblergerhard.de/wikiling/?f=got&page=77,frawit,frawit
fraweitan,V.,"rächen, Recht verschaffen, strafen","avenge, wreak vengeance",https://koeblergerhard.de/wikiling/?f=got&page=77,frawitan,frawitan
frawilwan,V.,"fortreißen, gewaltsam ergreifen","grab away, snatch up, seize, wrest away",https://koeblergerhard.de/wikiling/?f=got&page=77,frawɪlwan,frawɪlwan
frawisan,V.,"verbrauchen, vergeuden, verschwenden","consume by dining, devour through epicurean living, eat up in feasting, squander",https://koeblergerhard.de/wikiling/?f=got&page=77,frawɪsan,frawɪsan
frawrikan,V.,"verfolgen, rächen","persecute severely, oppress intensely with persecution, drive out",https://koeblergerhard.de/wikiling/?f=got&page=77,frawrɪkan,frawrɪkan
frawrohjan,V.,"verklagen, verdächtigen, verleumden, anzeigen","accuse maliciously, accuse calumniously, incriminate slanderously, suspect (V.)",https://koeblergerhard.de/wikiling/?f=got&page=77,frawrohjan,frawrohjan
freideins,F.,"Schonung, Erhaltung",saving (N.),https://koeblergerhard.de/wikiling/?f=got&page=77,fridins,fridins
freidjan,V.,schonen,"keep safe, treat watchfully, take care of, act with restraint toward, spare (V.)",https://koeblergerhard.de/wikiling/?f=got&page=77,fridjan,fridjan
freihals,Adj.,frei,"free-necked, at liberty",https://koeblergerhard.de/wikiling/?f=got&page=77,frihals,frihals
freihals,M.,Freiheit,"liberty, freedom",https://koeblergerhard.de/wikiling/?f=got&page=77,frihals,frihals
freis,Adj.,frei,"free (Adj.), having freedom",https://koeblergerhard.de/wikiling/?f=got&page=77,fris,fris
freiþs,Adj.,"hübsch, schön","nice, pleasant, dear, beloved, attractive",https://koeblergerhard.de/wikiling/?f=got&page=77,friθs,friθs
friaþwa,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=77,frɪaθwa,frɪaθwa
friaþwamilds,Adj.,"zärtlich liebend, liebreich","lovingly mild, showing love, affectionately tender",https://koeblergerhard.de/wikiling/?f=got&page=77,frɪaθwamɪlds,frɪaθwamɪlds
frijaþwa,F.,Liebe,love (N.),https://koeblergerhard.de/wikiling/?f=got&page=77,frɪjaθwa,frɪjaθwa
frijei,F.,Freiheit,freedom,https://koeblergerhard.de/wikiling/?f=got&page=77,frɪji,frɪji
frijon,V.,"lieben, gern tun","love (V.), cherish, show affection for, like to",https://koeblergerhard.de/wikiling/?f=got&page=77,frɪjon,frɪjon
frijondi,F.,Freundin,female friend,https://koeblergerhard.de/wikiling/?f=got&page=77,frɪjondɪ,frɪjondɪ
frijonds,M.,Freund,friend,https://koeblergerhard.de/wikiling/?f=got&page=78,frɪjonds,frɪjonds
frijons,F.,"Kuss, Liebeszeichen","sign of love, kiss (N.)",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪjons,frɪjons
frikei,F.,"Gier, Sucht","greed, lust (N.), obsession, addiction",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪki,frɪki
friks,Adj.,"süchtig, gierig","lustful, greedy, addicted",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪks,frɪks
frisahtjan,V.,abbilden,"depict with a visual image, form (V.), pattern (V.)",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪsahtjan,frɪsahtjan
frisahtnan,V.,"abgebildet werden, Gestalt annehmen","be depicted in a visual image, become depicted in a visual image, be configured,>>>",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪsahtnan,frɪsahtnan
frisahts,F.,"Bild, Beispiel, Rätsel, dunkles Bild","visual image, representation, example, depiction, effigy, visualization, typical>>>",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪsahts,frɪsahts
frisks,Adj.,frisch,fresh (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=78,frɪsks,frɪsks
friþon,V.,schützen?,"protect, shelter (V.)",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪθon,frɪθon
friþons,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=78,frɪθons,frɪθons
friþus,M.,"Friede, Schutz","protection, shelter (N.), peace",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪθus,frɪθus
frius,N.,"Frost, Kälte","coldness, freezing (weather), frost (N.)",https://koeblergerhard.de/wikiling/?f=got&page=78,frɪus,frɪws
friusan,V.,frieren,freeze (V.),https://koeblergerhard.de/wikiling/?f=got&page=78,frɪusan,frɪwsan
frodaba,Adv.,"klug, verständig, weise",intelligently,https://koeblergerhard.de/wikiling/?f=got&page=78,frodaba,frodaba
frodei,F.,"Klugheit, Verstand","intellect, intelligence, wisdom",https://koeblergerhard.de/wikiling/?f=got&page=78,frodi,frodi
froþs,Adj.,"klug, verständig, weise","intelligent, wise",https://koeblergerhard.de/wikiling/?f=got&page=78,froθs,froθs
frum,N.,Anfang,"beginning (N.), start (N.), inception",https://koeblergerhard.de/wikiling/?f=got&page=78,frum,frum
fruma,"Adj., Adj.",erste,"first, former, prior",https://koeblergerhard.de/wikiling/?f=got&page=78,fruma,fruma
frumabaur,M.,Erstgeborener,first-born (M.),https://koeblergerhard.de/wikiling/?f=got&page=78,frumabɔr,frumabɔr
frumadei,F.,Vorrang,"primacy, pre-eminence",https://koeblergerhard.de/wikiling/?f=got&page=78,frumadi,frumadi
frumadeis,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=79,frumadis,frumadis
frumajiuleis,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=79,frumajɪulis,frumajɪwlis
frumaþ,Adv.,vorwärts,"forwards, towards the front",https://koeblergerhard.de/wikiling/?f=got&page=79,frumaθ,frumaθ
frumaþeis,Adj.,erste,"first, prior, prime",https://koeblergerhard.de/wikiling/?f=got&page=79,frumaθis,frumaθis
frumaþs,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=79,frumaθs,frumaθs
frumei,F.,Anfang,"beginning (N.), start (N.)",https://koeblergerhard.de/wikiling/?f=got&page=79,frumi,frumi
frumist,"Adv., Adj.",zuerst,"firstly, at first, before everything, first of all",https://koeblergerhard.de/wikiling/?f=got&page=79,frumɪst,frumɪst
frumisti,N.,Anfang,"outset, beginning (N.), start (N.)",https://koeblergerhard.de/wikiling/?f=got&page=79,frumɪstɪ,frumɪstɪ
frumists,"Adj., Adj.",der erste,"foremost, first, of first rank",https://koeblergerhard.de/wikiling/?f=got&page=79,frumɪsts,frumɪsts
frumjan,V.,"fördern, vollbringen","support (V.), accomplish",https://koeblergerhard.de/wikiling/?f=got&page=79,frumjan,frumjan
fugls,M.,Vogel,"bird, fowl",https://koeblergerhard.de/wikiling/?f=got&page=79,fuɡls,fuɡls
fula,M.,"Fohlen, Füllen (N.) (1)","foal, colt",https://koeblergerhard.de/wikiling/?f=got&page=79,fula,fula
fulcus,M.,Volk,people,https://koeblergerhard.de/wikiling/?f=got&page=79,fulcus,fulcus
fulgins,Adj.,verborgen,"hidden, concealed, covert, secret (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=79,fulɡɪns,fulɡɪns
fulhsni,N.,Geheimnis,"secrecy, concealment",https://koeblergerhard.de/wikiling/?f=got&page=79,fulhsnɪ,fulhsnɪ
fulk,N.,"Kriegsvolk, Schar (F.) (1)","war people, crowd (N.)",https://koeblergerhard.de/wikiling/?f=got&page=79,fulk,fulk
fullafahjan,V.,"Genüge leisten, dienen, Genüge tun, befriedigen, zufriedenstellen","satisfy, serve (V.), please fully, cause to be completely happy, gladden fully",https://koeblergerhard.de/wikiling/?f=got&page=79,fullafahjan,fullafahjan
fullafraþjan,V.,"bei Verstand sein (V.), bei Sinnen sein (V.)","be of sound mind, have full command of one’s mental faculties, be intellectual i>>>",https://koeblergerhard.de/wikiling/?f=got&page=79,fullafraθjan,fullafraθjan
fullatojis,Adj.,vollkommen,"perfect (Adj.), perfectly wrought",https://koeblergerhard.de/wikiling/?f=got&page=79,fullatojɪs,fullatojɪs
fullaweis,Adj.,vollkommen,"mature (Adj.), thoroughly instructed, fully educated, fully informed, fully wise",https://koeblergerhard.de/wikiling/?f=got&page=79,fullawis,fullawis
fullaweisjan,V.,"überreden, überzeugen","instruct thoroughly, indoctrinate fully, make fully informed",https://koeblergerhard.de/wikiling/?f=got&page=80,fullawisjan,fullawisjan
fullawita,"Adj., M.",vollkommen,"complete (Adj.), perfect",https://koeblergerhard.de/wikiling/?f=got&page=80,fullawɪta,fullawɪta
fullei,F.,Fülle,fullness,https://koeblergerhard.de/wikiling/?f=got&page=80,fulli,fulli
fulleins,F.,"Füllung, Erfüllung","filling (N.), fulfillment",https://koeblergerhard.de/wikiling/?f=got&page=80,fullins,fullins
fulleiþ,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=80,fulliθ,fulliθ
fulleiþs,F.,"Fülle, Vollmond?","fullness, plenitude, full moon?",https://koeblergerhard.de/wikiling/?f=got&page=80,fulliθs,fulliθs
fulliþs,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=80,fullɪθs,fullɪθs
fullja,M.,"Fülle, Maß, Fass","fullness, measure (N.), barrel",https://koeblergerhard.de/wikiling/?f=got&page=80,fullja,fullja
fulljan,V.,"füllen, anfüllen","fill (V.), fulfill, overfill (V.)",https://koeblergerhard.de/wikiling/?f=got&page=80,fulljan,fulljan
fullnan,V.,"voll werden, erfüllt werden","be full, become full, be filled, become filled",https://koeblergerhard.de/wikiling/?f=got&page=80,fullnan,fullnan
fullo,F.,"Fülle, Füllung, Flicken (M.), Ausfüllung","fullness, a fulfilling, fulfillment, filling, completeness, entireness",https://koeblergerhard.de/wikiling/?f=got&page=80,fullo,fullo
fulls,Adj.,"voll, vollkommen","full, filled, complete (Adj.), completed",https://koeblergerhard.de/wikiling/?f=got&page=80,fulls,fulls
fuls,Adj.,"faul, stinkend","fetid, foul (Adj.), decomposed, putrid",https://koeblergerhard.de/wikiling/?f=got&page=80,fuls,fuls
fulþ,F.,Feld,field,https://koeblergerhard.de/wikiling/?f=got&page=80,fulθ,fulθ
funisks,Adj.,feurig,"fiery, flaming",https://koeblergerhard.de/wikiling/?f=got&page=80,funɪsks,funɪsks
funs,Adj.,"bereit, eilig, tapfer","ready, hasty, hurried, brave",https://koeblergerhard.de/wikiling/?f=got&page=80,funs,funs
furdeithien,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=80,furdithɪen,furdithɪen
furdetin,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=80,furdetɪn,furdetɪn
fwnikiska,"Adj., F.",,,https://koeblergerhard.de/wikiling/?f=got&page=80,fwnɪkɪska,fwnɪkɪska
fwnikisks,Adj.,phönikisch,Phoenician,https://koeblergerhard.de/wikiling/?f=got&page=80,fwnɪkɪsks,fwnɪkɪsks
fy,Abkürzung,590,590,https://koeblergerhard.de/wikiling/?f=got&page=81,fy,fy
fyder,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=81,fyder,fyder
fynf,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=81,fynf,fynf
fyuf,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=81,fyuf,fyuf
g,Buchstabe,"g, Abkürzung für 3","g, abbreviation for 3",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡ,ɡ
ga,"Partikel, V.","ge..., mit...","together (Präf.), along with (Präf.)",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡa,ɡa
gaaggwei,F.,Einschränkung,"constraint (N.), compulsion, coercion",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaaɡɡwi,ɡaaɡɡwi
gaaggweins,F.,"Beengung, Einschränkung","constraining (N.), compelling (N.), coercing (N.)",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaaɡɡwins,ɡaaɡɡwins
gaaggwjan,V.,bedrängen,"oppress, constrain (V.), cramp completely",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaaɡɡwjan,ɡaaɡɡwjan
gaaiginon,V.,"in Besitz nehmen, übervorteilen, in Beschlag nehmen","appropriate (V.), make one’s own",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaɛɡɪnon,ɡaɛɡɪnon
gaainan,V.,"vereinzeln, trennen","isolate, make solitary",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaɛnan,ɡaɛnan
gaaistan,V.,"sich scheuen vor, achten","reverence (V.), have regard for, have respect for",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaɛstan,ɡaɛstan
gaaiwiskon,V.,"beschämen, beschimpfen","disgrace (V.), dishonour (V.), abuse (V.), make ashamed, put to shame",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaɛwɪskon,ɡaɛwɪskon
gaandjan,V.,"enden, endigen, aufhören","stop (V.), cease, conclude",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaandjan,ɡaandjan
gaar,N.,"Jahr, j-Rune?","year, name of j-rune",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaar,ɡaar
gaarbja,M.,Miterbe,"co-heir, co-parcener, fellow heir",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaarbja,ɡaarbja
gaarman,V.,"sich erbarmen, bemitleiden","have mercy on, have pity on, show compassion towards",https://koeblergerhard.de/wikiling/?f=got&page=81,ɡaarman,ɡaarman
