Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old
szalag,śalɜ ,U,,"(śaδa), salɜ",", salɜ",sɒlɒɡ,ʃʲalɜ,sɒlɒɡ∅,sɒlɒɡ∅,ʃʲalɜ
száldok,śaĺɜ,Ug,,,,saldok,ʃʲaʎɜ,saldok∅,saldok∅,ʃʲalʲɜ
szürügy,śarɜ,U,,,,syryɟ,ʃʲarɜ,syryɟ∅,syryɟ∅,ʃʲarɜ
szar,śarɜ ,FU,,(ćarɜ),,sɒr,ʃʲarɜ,sɒr∅,sɒr∅,ʃʲarɜ
szárad,śarɜ,FU,,,,sarɒd,ʃʲarɜ,sarɒd∅,sarɒd∅,ʃʲarɜ
száz,śata,FU,,,,saz,ʃʲata,saz∅,saz∅,ʃʲata
szel,śälä ,FU,,(ćälä-),,sɛl,ʃʲælæ,sɛl∅,sɛl∅,ʃʲælæ
sző,śäŋe,FU, ~ szöv,,,sø,ʃʲæŋe,sø,sø,ʃʲæŋe
segg,śäŋkɜ,FU,,,,ʃɛɡɡ,ʃʲæŋkɜ,ʃɛɡɡ∅,ʃɛɡɡ∅,ʃʲæŋkɜ
szër,śerɜ,U,,,,ser,ʃʲerɜ,ser∅,ser∅,ʃʲerɜ
szív,śiδä ,U,,"(śiδä-mɜ), śüδä, śüδä-mɜ",", śüδä, śüδä-mɜ",siv,ʃʲiðæ,siv∅,siv∅,ʃʲiðæ
sün,śijele,FU,,,,ʃyn,ʃʲijele,ʃyn∅,ʃyn∅,ʃʲijele
szëm,śilmä,U,,,,sem,ʃʲilmæ,sem∅,sem∅,ʃʲilmæ
zaj,śoje,FU,,,,zɒj,ʃʲoje,zɒj∅,zɒj∅,ʃʲoje
szomjú,śomɜ,FU,,,,somju,ʃʲomɜ,somju,somju,ʃʲomɜ
szarv,śorwa,FU,,,,sɒrv,ʃʲorβa,sɒrv∅,sɒrv∅,ʃʲorβa
szorul,śorɜ,FU,,,,sorul,ʃʲorɜ,sorul∅,sorul∅,ʃʲorɜ
szúr,śurwa,FU,,,,sur,ʃʲurβa,sur∅,sur∅,ʃʲurβa
szurok,śurɜ,FU,,,,surok,ʃʲurɜ,surok∅,surok∅,ʃʲurɜ
száj,śuwe,U,,,,saj,ʃʲuβe,saj∅,saj∅,ʃʲuβe
ér,šärɜ,FU,,,,er,ʃærɜ,er∅,0er∅,ʃærɜ
ér,šerɜ ,FU,,(šärɜ),,er,ʃerɜ,er∅,0er∅,ʃerɜ
egér,šiŋere,FU,,,,ɛɡer,ʃiŋere,ɛɡer∅,0ɛɡer∅,ʃiŋere
apad,šoppɜ ,FU,,(šappɜ-),,ɒpɒd,ʃoppɜ,ɒpɒd∅,0ɒpɒd∅,ʃoppɜ
irt,šurɜ,U,,,,irt,ʃurɜ,irt∅,0irt∅,ʃurɜ
tapod,tappa,U,,,,tɒpod,tappa,tɒpod∅,tɒpod∅,tappa
daru,tarɜkɜ ,FU,,(tarkɜ),,dɒru,tarɜkɜ,dɒru,dɒru,tarɜkɜ
té,tä,U,: tétova,,", te, ti",te,tæ,te,te,tæ
tetű,täje,FU,,,,tɛty,tæje,tɛty,tɛty,tæje
tél,tälwä,FU,,,,tel,tælβæ,tel∅,tel∅,tælβæ
tele,täwδe ,FU,,(tälkɜ),,tɛlɛ,tæβðe,tɛlɛ,tɛlɛ,tæβðe
tüdő,täwe,U,,,,tydø,tæβe,tydø,tydø,tæβe
tëv,teke,FU," (të, tësz)",,,tev,teke,tev∅,tev∅,teke
tűz,tekɜ,FU,,,,tyz,tekɜ,tyz∅,tyz∅,tekɜ
töm,temɜ,FU,,,,tøm,temɜ,tøm∅,tøm∅,temɜ
több,teppɜ,FU,,,,tøbb,teppɜ,tøbb∅,tøbb∅,teppɜ
tőr,terä,FU,,,,tør,teræ,tør∅,tør∅,teræ
tér,terɜ,FU,,,,ter,terɜ,ter∅,ter∅,terɜ
tő,tiŋe ,FU,,(tüŋe),,tø,tiŋe,tø,tø,tiŋe
tova,to,U,,,,tovɒ,to,tovɒ,tovɒ,to
tat,totke,U, : tathal,,,tɒt,totke,tɒt∅,tɒt∅,totke
tavasz,towkɜ,FU,,,,tɒvɒs,toβkɜ,tɒvɒs∅,tɒvɒs∅,toβkɜ
tó,towɜ,U,,,,to,toβɜ,to,to,toβɜ
tőgy,tuδ'ka,FU,,,", tuδ'ka-mɜ",tøɟ,tuðʲka,tøɟ∅,tøɟ∅,tuðʲka
tat,tuktɜ,U,,,,tɒt,tuktɜ,tɒt∅,tɒt∅,tuktɜ
toll,tulka,U,,,,toll,tulka,toll∅,toll∅,tulka
tud,tumte,U,,,,tud,tumte,tud∅,tud∅,tumte
dug,tuŋke,FU,,,,duɡ,tuŋke,duɡ∅,duɡ∅,tuŋke
tarja,turja,FU,,,,tɒrjɒ,turja,tɒrjɒ,tɒrjɒ,turja
të,t¨,U,,,,te,t¨,te,te,t¨
ti,t¨,U,,,,ti,t¨,ti,ti,t¨
úsz,uje,U,,,", oje-",us,uje,us∅,0us∅,0uje
út,utka,U,,,,ut,utka,ut∅,0ut∅,0utka
vessző,waćɜ,FU,,,,vɛʃsø,βat͡ʃʲɜ,vɛʃsø,vɛʃsø,βat͡ʃʲɜ
vás,wačɜ,FU,,,,vaʃ,βat͡ʃɜ,vaʃ∅,vaʃ∅,βat͡ʃɜ
völgy,waδ'kɜ,U,,,,vølɟ,βaðʲkɜ,vølɟ∅,vølɟ∅,βaðʲkɜ
vejsze,waja,FU,,,,vɛjsɛ,βaja,vɛjsɛ,vɛjsɛ,βaja
vöcsök,wajće,FU,,,,vøt͡ʃøk,βajt͡ʃʲe,vøt͡ʃøk∅,vøt͡ʃøk∅,βajt͡ʃʲe
vál,walka,FU,,,,val,βalka,val∅,val∅,βalka
villám,walkɜ,FW,,,,villam,βalkɜ,villam∅,villam∅,βalkɜ
villám,waĺɜ,FP,,,,villam,βaʎɜ,villam∅,villam∅,βalʲɜ
vad,wamta,FU,,,,vɒd,βamta,vɒd∅,vɒd∅,βamta
vág,waŋɜ,Ug,,,", waŋkɜ-",vaɡ,βaŋɜ,vaɡ∅,vaɡ∅,βaŋɜ
varjú,warɜ,U,,,,vɒrju,βarɜ,vɒrju,vɒrju,βarɜ
virrad,warɜ,FU,,,,virrɒd,βarɜ,virrɒd∅,virrɒd∅,βarɜ
vas,waśke,U,,,,vɒʃ,βaʃʲke,vɒʃ∅,vɒʃ∅,βaʃʲke
véd,wäntɜ,FU,,,,ved,βæntɜ,ved∅,ved∅,βæntɜ
vés,wäŋćɜ,FU,,,,veʃ,βæŋt͡ʃʲɜ,veʃ∅,veʃ∅,βæŋt͡ʃʲɜ
vő,wäŋe,U,,,,vø,βæŋe,vø,vø,βæŋe
öl,weδɜ,FU,,,,øl,βeðɜ,øl∅,0øl∅,βeðɜ
vékony,wekkɜ,FU,,,,vekoɲ,βekkɜ,vekoɲ∅,vekoɲ∅,βekkɜ
vezet,wetä,FU,,,,vɛzɛt,βetæ,vɛzɛt∅,vɛzɛt∅,βetæ
víz,wete,U,,,,viz,βete,viz∅,viz∅,βete
vigyáz,wića,FU,,,,viɟaz,βit͡ʃʲa,viɟaz∅,viɟaz∅,βit͡ʃʲa
velő,wiδɜ ,FU,,(wiδɜ-mɜ),,vɛlø,βiðɜ,vɛlø,vɛlø,βiðɜ
viv,wiγe,FU,,,,viv,βiɣe,viv∅,viv∅,βiɣe
öv,wiŋä ,FU,,(wüŋä),,øv,βiŋæ,øv∅,0øv∅,βiŋæ
vér,wire,FU,,,,ver,βire,ver∅,ver∅,βire
öt,witte,FU,,,,øt,βitte,øt∅,0øt∅,βitte
vaj,woje,FU,,,,vɒj,βoje,vɒj∅,vɒj∅,βoje
vív,woje,FU,,,,viv,βoje,viv∅,viv∅,βoje
vol,wole,FU,,,,vol,βole,vol∅,vol∅,βole
váll,wolka,FU,,,,vall,βolka,vall∅,vall∅,βolka
ón,wolnɜ,FU,,,,on,βolnɜ,on∅,0on∅,βolnɜ
varr,workɜ,FU,,,,vɒrr,βorkɜ,vɒrr∅,vɒrr∅,βorkɜ
új,wuδ'e,FU,,,,uj,βuðʲe,uj∅,0uj∅,βuðʲe
ásít,ȣćɜ,FU,,,,aʃit,ȣt͡ʃʲɜ,aʃit∅,0aʃit∅,0ȣt͡ʃʲɜ
ë,¨,FU,?,,,e,¨,e,0e,0¨
utál,aktɜ,Ug,,,,utal,aktɜ,utal∅,0utal∅,0aktɜ
alom,alama  ,Ug,,(alɜ-mɜ),,ɒlom,alama,ɒlom∅,0ɒlom∅,0alama
olt,alɜ ,Ug,,(alɜ-ttɜ-),,olt,alɜ,olt∅,0olt∅,0alɜ
ágyék,ańćɜ,Ug,,,,aɟek,aɲt͡ʃʲɜ,aɟek∅,0aɟek∅,0anʲt͡ʃʲɜ
ara,arɜ ,Ug,,(arwa),,ɒrɒ,arɜ,ɒrɒ,0ɒrɒ,0arɜ
iránt,arɜ ,Ug,,(urɜ),,irant,arɜ,irant∅,0irant∅,0arɜ
i,äjɜ,Ug,: ifjú,,,i,æjɜ,i,0i,0æjɜ
Erdély,älɜ ,Ug,,"(äl-mɜ, älɜ-mɜ)",", älɜ-mɜ)",ɛrdej,ælɜ,ɛrdej∅,0ɛrdej∅,0ælɜ
ëb,ämpɜ  ,Ug,,(empɜ),,eb,æmpɜ,eb∅,0eb∅,0æmpɜ
epër,äppɜrɜkɜ,Ug,,,,ɛper,æppɜrɜkɜ,ɛper∅,0ɛper∅,0æppɜrɜkɜ
edz,ättɜ  ,Ug,,(ätɜ-),,ɛd͡z,ættɜ,ɛd͡z∅,0ɛd͡z∅,0ættɜ
csókol,ćukkɜ ,Ug,,(ćukkɜ-lɜ-),,t͡ʃokol,t͡ʃʲukkɜ,t͡ʃokol∅,t͡ʃokol∅,t͡ʃʲukkɜ
süpped,čeppɜ,Ug,,,,ʃyppɛd,t͡ʃeppɜ,ʃyppɛd∅,ʃyppɛd∅,t͡ʃeppɜ
sötét,čettɜ,Ug,,,,ʃøtet,t͡ʃettɜ,ʃøtet∅,ʃøtet∅,t͡ʃettɜ
süt,čittɜ,Ug,,,,ʃyt,t͡ʃittɜ,ʃyt∅,ʃyt∅,t͡ʃittɜ
arany,ϑarańa,Ug,,,", sarańa",ɒrɒɲ,θaraɲa,ɒrɒɲ∅,0ɒrɒɲ∅,θaranʲa
ár,ϑarɜ,Ug,,,,ar,θarɜ,ar∅,0ar∅,θarɜ
asz,ϑasɜ,Ug,,,,ɒs,θasɜ,ɒs∅,0ɒs∅,θasɜ
hét,ϑäptɜ,Ug,,,", säptɜ",het,θæptɜ,het∅,het∅,θæptɜ
áz,ϑȣćɜ,Ug,,,,az,θȣt͡ʃʲɜ,az∅,0az∅,θȣt͡ʃʲɜ
akad,ϑȣkkɜ,Ug,,,,ɒkɒd,θȣkkɜ,ɒkɒd∅,0ɒkɒd∅,θȣkkɜ
ígér,eŋkɜrɜ,Ug,,,,iɡer,eŋkɜrɜ,iɡer∅,0iɡer∅,0eŋkɜrɜ
üsző,iśɜ  ,Ug,,(eśɜ),,ysø,iʃʲɜ,ysø,0ysø,0iʃʲɜ
űz,itɜ,Ug,,,,yz,itɜ,yz∅,0yz∅,0itɜ
jó,jomɜ  ,Ug,,(jamɜ),,jo,jomɜ,jo,jo,jomɜ
joh,ju,Ug,,,,joh,ju,joh∅,joh∅,ju
jut,juktɜ,Ug,,,,jut,juktɜ,jut∅,jut∅,juktɜ
gyak,jȣkkɜ,Ug,,,,ɟɒk,jȣkkɜ,ɟɒk∅,ɟɒk∅,jȣkkɜ
gyalu,jȣrɜ,Ug,,,,ɟɒlu,jȣrɜ,ɟɒlu,ɟɒlu,jȣrɜ
ját,jȣttɜ,Ug,,,,jat,jȣttɜ,jat∅,jat∅,jȣttɜ
gyökér,j¨kkɜrɜ,Ug,,,,ɟøker,j¨kkɜrɜ,ɟøker∅,ɟøker∅,j¨kkɜrɜ
íz,j¨tɜ,Ug,,,,iz,j¨tɜ,iz∅,0iz∅,j¨tɜ
hasad,kaćɜ,Ug,,,,hɒʃɒd,kat͡ʃʲɜ,hɒʃɒd∅,hɒʃɒd∅,kat͡ʃʲɜ
haj,kajɜ,Ug,,,,hɒj,kajɜ,hɒj∅,hɒj∅,kajɜ
hajol,kajɜ,Ug,,,,hɒjol,kajɜ,hɒjol∅,hɒjol∅,kajɜ
harkály,karɜ,Ug,,,,hɒrkaj,karɜ,hɒrkaj∅,hɒrkaj∅,karɜ
híz,katɜ,Ug,,,,hiz,katɜ,hiz∅,hiz∅,katɜ
keshed,käńćɜ,Ug,,,", käćɜ",kɛʃhɛd,kæɲt͡ʃʲɜ,kɛʃhɛd∅,kɛʃhɛd∅,kænʲt͡ʃʲɜ
kísér,kećɜ,Ug,,,,kiʃer,ket͡ʃʲɜ,kiʃer∅,kiʃer∅,ket͡ʃʲɜ
ki,ki ,Ug,,"(ki-mɜ), kü (kü-mɜ)",", kü (kü-mɜ)",ki,ki,ki,ki,ki
hattyú,kottɜŋɜ,Ug,,,,hɒtcu,kottɜŋɜ,hɒtcu,hɒtcu,kottɜŋɜ
hoz,kućɜ,Ug,,,,hoz,kut͡ʃʲɜ,hoz∅,hoz∅,kut͡ʃʲɜ
hagyap,kuδ'ɜ ,Ug,† ,(kuĺɜ-),,hɒɟɒp,kuðʲɜ,hɒɟɒp∅,hɒɟɒp∅,kuðʲɜ
hód,kumtɜ  ,Ug,,(kuntɜ),,hod,kumtɜ,hod∅,hod∅,kumtɜ
húz,kupɜtɜ,Ug,,,,huz,kupɜtɜ,huz∅,huz∅,kupɜtɜ
hagy,kȣńćɜ,Ug,: hagymáz,,,hɒɟ,kȣɲt͡ʃʲɜ,hɒɟ∅,hɒɟ∅,kȣnʲt͡ʃʲɜ
kesered,k¨ćɜ ,Ug,,(k¨ćɜ-rɜ),,kɛʃɛrɛd,k¨t͡ʃʲɜ,kɛʃɛrɛd∅,kɛʃɛrɛd∅,k¨t͡ʃʲɜ
köles,k¨lɜ ,Ug,,"(k¨lɜ-ćɜ), k¨lɜćɜ",", k¨lɜćɜ",kølɛʃ,k¨lɜ,kølɛʃ∅,kølɛʃ∅,k¨lɜ
kedv,k¨ntɜ,Ug,,,,kɛdv,k¨ntɜ,kɛdv∅,kɛdv∅,k¨ntɜ
könnyű,k¨nɜ,Ug,,,,kønɲy,k¨nɜ,kønɲy,kønɲy,k¨nɜ
köszörül,k¨sɜ,Ug,,,,køsøryl,k¨sɜ,køsøryl∅,køsøryl∅,k¨sɜ
les,läćɜ,Ug,,,,lɛʃ,læt͡ʃʲɜ,lɛʃ∅,lɛʃ∅,læt͡ʃʲɜ
ló,luwɜ ,Ug,,(luγǝ),,lo,luβɜ,lo,lo,luβɜ
malát,malkɜ,Ug,,,,mɒlat,malkɜ,mɒlat∅,mɒlat∅,malkɜ
magyar,mańćɜ,Ug,,,,mɒɟɒr,maɲt͡ʃʲɜ,mɒɟɒr∅,mɒɟɒr∅,manʲt͡ʃʲɜ
mese,mańćɜ,Ug,,,", maćɜ",mɛʃɛ,maɲt͡ʃʲɜ,mɛʃɛ,mɛʃɛ,manʲt͡ʃʲɜ
márt,marɜ,Ug,,,,mart,marɜ,mart∅,mart∅,marɜ
meleg,mälɜ,Ug,,,,mɛlɛɡ,mælɜ,mɛlɛɡ∅,mɛlɛɡ∅,mælɜ
mer,märɜ,Ug,,,,mɛr,mærɜ,mɛr∅,mɛr∅,mærɜ
mer,märɜ,Ug,,,,mɛr,mærɜ,mɛr∅,mɛr∅,mærɜ
meztelen,mećɜ,Ug,,,", meśɜ-",mɛztɛlɛn,met͡ʃʲɜ,mɛztɛlɛn∅,mɛztɛlɛn∅,met͡ʃʲɜ
mély,melɜ,Ug,,,,mej,melɜ,mej∅,mej∅,melɜ
mënyül,menɜ,Ug,: kimënyül,,,meɲyl,menɜ,meɲyl∅,meɲyl∅,menɜ
mered,merɜ  ,Ug,,(märɜ-),,mɛrɛd,merɜ,mɛrɛd∅,mɛrɛd∅,merɜ
marok,mȣrɜ,Ug,,,,mɒrok,mȣrɜ,mɒrok∅,mɒrok∅,mȣrɜ
nevet,m¨kɜ  ,Ug,,(m¨γɜ-),,nɛvɛt,m¨kɜ,nɛvɛt∅,nɛvɛt∅,m¨kɜ
méltó,m¨lɜ,Ug,,,,melto,m¨lɜ,melto,melto,m¨lɜ
nyék,näkɜ  ,Ug,Kápolnásnyék,(nekɜ-),,ɲek,nækɜ,ɲek∅,ɲek∅,nækɜ
nyerëg,närkɜ,Ug,,,,ɲɛreɡ,nærkɜ,ɲɛreɡ∅,ɲɛreɡ∅,nærkɜ
nyolc,ńalɜ,Ug,,,,ɲolt͡s,ɲalɜ,ɲolt͡s∅,ɲolt͡s∅,nʲalɜ
nyer,ńärɜ,Ug,,,,ɲɛr,ɲærɜ,ɲɛr∅,ɲɛr∅,nʲærɜ
oldal,oŋtɜ ,Ug,,(oŋtɜ-lɜ),,oldɒl,oŋtɜ,oldɒl∅,0oldɒl∅,0oŋtɜ
fék,päkkɜ,Ug,,,,fek,pækkɜ,fek∅,fek∅,pækkɜ
fejt,pejɜ,Ug,,,,fɛjt,pejɜ,fɛjt∅,fɛjt∅,pejɜ
fekély,pekkɜ,Ug,,,,fɛkej,pekkɜ,fɛkej∅,fɛkej∅,pekkɜ
födél,pentɜlɜ,Ug,,,,fødel,pentɜlɜ,fødel∅,fødel∅,pentɜlɜ
füst,pičɜ  ,Ug,,(pićɜ),,fyʃt,pit͡ʃɜ,fyʃt∅,fyʃt∅,pit͡ʃɜ
fűl,pilɜ,Ug,,,,fyl,pilɜ,fyl∅,fyl∅,pilɜ
fű,pimɜ,Ug,,,,fy,pimɜ,fy,fy,pimɜ
fok,pukkɜ,Ug,,,,fok,pukkɜ,fok∅,fok∅,pukkɜ
fulánk,pulɜ,Ug,,,,fulank,pulɜ,fulank∅,fulank∅,pulɜ
fog,puŋɜ,Ug,,,,foɡ,puŋɜ,foɡ∅,foɡ∅,puŋɜ
fárad,pȣγrɜ,Ug,,,", pȣrkɜ-",farɒd,pȣɣrɜ,farɒd∅,farɒd∅,pȣɣrɜ
foly,pȣlɜ,Ug,,,,foj,pȣlɜ,foj∅,foj∅,pȣlɜ
faggyú,pȣĺćɜ,Ug,,,,fɒɡɟu,pȣʎt͡ʃʲɜ,fɒɡɟu,fɒɡɟu,pȣlʲt͡ʃʲɜ
fekete,p¨kkɜttɜ,Ug,,,,fɛkɛtɛ,p¨kkɜttɜ,fɛkɛtɛ,fɛkɛtɛ,p¨kkɜttɜ
rá,raŋɜ,Ug,,,,ra,raŋɜ,ra,ra,raŋɜ
rokkan,rȣkkɜ,Ug,,,,rokkɒn,rȣkkɜ,rokkɒn∅,rokkɒn∅,rȣkkɜ
szó,sawɜ,Ug,,,,so,saβɜ,so,so,saβɜ
szőr,säγɜrɜ,Ug,,,", säkrɜ",sør,sæɣɜrɜ,sør∅,sør∅,sæɣɜrɜ
szél,selɜ,Ug,,,,sel,selɜ,sel∅,sel∅,selɜ
szëg,seŋkɜ,Ug,,,,seɡ,seŋkɜ,seɡ∅,seɡ∅,seŋkɜ
szül,silɜ,Ug,,,,syl,silɜ,syl∅,syl∅,silɜ
zug,suŋɜ,Ug,,,,zuɡ,suŋɜ,zuɡ∅,zuɡ∅,suŋɜ
szédül,sȣjɜ ,Ug,,,", > s¨jɜ-",sedyl,sȣjɜ,sedyl∅,sedyl∅,sȣjɜ
szalu,sȣlkɜ  ,Ug,,(sȣlγɜ),,sɒlu,sȣlkɜ,sɒlu,sɒlu,sȣlkɜ
száguld,sȣŋɜ,Ug,,,,saɡuld,sȣŋɜ,saɡuld∅,saɡuld∅,sȣŋɜ
szár,sȣrɜ,Ug,,,,sar,sȣrɜ,sar∅,sar∅,sȣrɜ
titok,tajɜttɜ,Ug,,,,titok,tajɜttɜ,titok∅,titok∅,tajɜttɜ
tál,talɜ,Ug,,,,tal,talɜ,tal∅,tal∅,talɜ
tekint,täkkɜ,Ug,,,,tɛkint,tækkɜ,tɛkint∅,tɛkint∅,tækkɜ
tegëz,täŋɜtɜ,Ug,,,,tɛɡez,tæŋɜtɜ,tɛɡez∅,tɛɡez∅,tæŋɜtɜ
tér,tärɜ,Ug,,,,ter,tærɜ,ter∅,ter∅,tærɜ
téved,tepɜ,Ug,,,,tevɛd,tepɜ,tevɛd∅,tevɛd∅,tepɜ
táltos,tultɜ,Ug,,,,taltoʃ,tultɜ,taltoʃ∅,taltoʃ∅,tultɜ
torok,turɜ,Ug,,,,torok,turɜ,torok∅,torok∅,turɜ
tűz,tüγɜtɜ,Ug,,,", tüwɜ-tɜ",tyz,tyɣɜtɜ,tyz∅,tyz∅,tyɣɜtɜ
domb,tȣmpɜ,Ug,,,,domb,tȣmpɜ,domb∅,domb∅,tȣmpɜ
dob,tȣmpɜ,Ug,,,,dob,tȣmpɜ,dob∅,dob∅,tȣmpɜ
vár,warɜ,Ug,,,,var,βarɜ,var∅,var∅,βarɜ
vese,w¨ćɜ,Ug,,,,vɛʃɛ,β¨t͡ʃʲɜ,vɛʃɛ,vɛʃɛ,β¨t͡ʃʲɜ
ajtó,ȣjɜ,Ug,,,,ɒjto,ȣjɜ,ɒjto,0ɒjto,0ȣjɜ
