Hun,0+H+∅,0,cnt0,ex0,1,cnt1,ex1,2,cnt2,ex2,3,cnt3,ex3,4,cnt4,ex4,5,cnt5,ex5,6,cnt6,ex6,cnt∑,ex∑,Clen,Vlen,Soundlen,NSE
emlő,0ɛmlø,*0>0¹,12,"*ala>al, *aŋe>aj, *e>ez, *ećɜ>es, *elä>él, *emä>em, *ićä>ős, *ime>emlő, *ipɜ>íz, *o>az, *uje>úsz, *utka>út, ",*i>ɛ¹,1,"*ime>emlő, ",*m>ml³,3,"*ime>emlő, *kama>háml, *kuma>homlok, ",*e>ø²,2,"*ime>emlő, *täwe>tüdő, ",-,0,0,-,0,0,-,0,0,18," *ala>al, *aŋe>aj, *e>ez, *ećɜ>es, *elä>él, *emä>em, *ićä>ős, *ime>emlő, *ipɜ>íz, *o>az, *uje>úsz, *utka>út,  *ime>emlő,  *ime>emlő, *kama>háml, *kuma>homlok,  *ime>emlő, *täwe>tüdő,  0 0 0",2,2,4,4.5
íz,0iz∅,*0>0¹,12,"*ala>al, *aŋe>aj, *e>ez, *ećɜ>es, *elä>él, *emä>em, *ićä>ős, *ime>emlő, *ipɜ>íz, *o>az, *uje>úsz, *utka>út, ",*i>i¹,1,"*ipɜ>íz, ",*p>z³,1,"*ipɜ>íz, ",*ɜ>∅²,18,"*ć¨nɜ>csün, *ećɜ>es, *ipɜ>íz, *joŋsɜ>íj, *kattɜ>hat, *kintɜ>köd, *kojmɜ>hím, *kuńćɜ>húgy, *kuttɜ>hát, *mȣrɜ>mar, *perɜ>bőr, *puwɜ >fúj, *pȣnɜ>fing, *suδ'ɜ>ujj, *śerɜ>szër, *šurɜ>irt, *tuktɜ>tat, *waδ'kɜ>völgy, ",-,0,0,-,0,0,-,0,0,32," *ala>al, *aŋe>aj, *e>ez, *ećɜ>es, *elä>él, *emä>em, *ićä>ős, *ime>emlő, *ipɜ>íz, *o>az, *uje>úsz, *utka>út,  *ipɜ>íz,  *ipɜ>íz,  *ć¨nɜ>csün, *ećɜ>es, *ipɜ>íz, *joŋsɜ>íj, *kattɜ>hat, *kintɜ>köd, *kojmɜ>hím, *kuńćɜ>húgy, *kuttɜ>hát, *mȣrɜ>mar, *perɜ>bőr, *puwɜ >fúj, *pȣnɜ>fing, *suδ'ɜ>ujj, *śerɜ>szër, *šurɜ>irt, *tuktɜ>tat, *waδ'kɜ>völgy,  0 0 0",2,2,4,8.0
ideg,0idɛɡ∅,*j>0¹,2,"*jänte>ideg, *joŋsɜ>íj, ",*æ>i¹,1,"*jänte>ideg, ",*nt>d³,2,"*jänte>ideg, *kintɜ>köd, ",*e>ɛ³,2,"*jänte>ideg, *ńele>nyel, ",*0>ɡ³,4,"*ćorɜ>csorog, *jänte>ideg, *parɜ>farag, *śalɜ >szalag, ",-,0,0,-,0,0,11," *jänte>ideg, *joŋsɜ>íj,  *jänte>ideg,  *jänte>ideg, *kintɜ>köd,  *jänte>ideg, *ńele>nyel,  *ćorɜ>csorog, *jänte>ideg, *parɜ>farag, *śalɜ >szalag,  0 0",3,2,5,2.2
jó,jo0∅,*j>j¹,1,"*joke>jó, ",*o>o³,5,"*ćorɜ>csorog, *joke>jó, *końćɜ>hosszú, *to>tova, *towɜ>tó, ",*k>0³,2,"*joke>jó, *ńikɜ>nyű, ",*e>∅³,4,"*joke>jó, *kuŋe>hó, *peje>fő, *wäŋe>vő, ",-,0,0,-,0,0,-,0,0,12," *joke>jó,  *ćorɜ>csorog, *joke>jó, *końćɜ>hosszú, *to>tova, *towɜ>tó,  *joke>jó, *ńikɜ>nyű,  *joke>jó, *kuŋe>hó, *peje>fő, *wäŋe>vő,  0 0 0",2,2,4,3.0
íj,0ij∅,*j>0¹,2,"*jänte>ideg, *joŋsɜ>íj, ",*o>i¹,1,"*joŋsɜ>íj, ",*ŋs>j³,1,"*joŋsɜ>íj, ",*ɜ>∅²,18,"*ć¨nɜ>csün, *ećɜ>es, *ipɜ>íz, *joŋsɜ>íj, *kattɜ>hat, *kintɜ>köd, *kojmɜ>hím, *kuńćɜ>húgy, *kuttɜ>hát, *mȣrɜ>mar, *perɜ>bőr, *puwɜ >fúj, *pȣnɜ>fing, *suδ'ɜ>ujj, *śerɜ>szër, *šurɜ>irt, *tuktɜ>tat, *waδ'kɜ>völgy, ",-,0,0,-,0,0,-,0,0,22," *jänte>ideg, *joŋsɜ>íj,  *joŋsɜ>íj,  *joŋsɜ>íj,  *ć¨nɜ>csün, *ećɜ>es, *ipɜ>íz, *joŋsɜ>íj, *kattɜ>hat, *kintɜ>köd, *kojmɜ>hím, *kuńćɜ>húgy, *kuttɜ>hát, *mȣrɜ>mar, *perɜ>bőr, *puwɜ >fúj, *pȣnɜ>fing, *suδ'ɜ>ujj, *śerɜ>szër, *šurɜ>irt, *tuktɜ>tat, *waδ'kɜ>völgy,  0 0 0",2,2,4,5.5
hős,høʃ∅,*k>h¹,24,"*kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát, ",*a>ø³,2,"*kaća>hős, *waδ'kɜ>völgy, ",*t͡ʃʲ>ʃ³,3,"*ećɜ>es, *ićä>ős, *kaća>hős, ",*a>∅²,18,"*ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út, ",-,0,0,-,0,0,-,0,0,47," *kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát,  *kaća>hős, *waδ'kɜ>völgy,  *ećɜ>es, *ićä>ős, *kaća>hős,  *ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út,  0 0 0",2,2,4,11.75
hagy,hɒɟ∅,*k>h¹,24,"*kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát, ",*a>ɒ³,12,"*kaδ'a>hagy, *kala>hal, *kattɜ>hat, *kura>harmat, *lappɜ>lapos, *pajɜ>fagyal, *pala>fal, *parɜ>farag, *śalɜ >szalag, *tappa>tapod, *warɜ>varjú, *waśke>vas, ",*ðʲ>ɟ³,1,"*kaδ'a>hagy, ",*a>∅²,18,"*ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út, ",-,0,0,-,0,0,-,0,0,55," *kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát,  *kaδ'a>hagy, *kala>hal, *kattɜ>hat, *kura>harmat, *lappɜ>lapos, *pajɜ>fagyal, *pala>fal, *parɜ>farag, *śalɜ >szalag, *tappa>tapod, *warɜ>varjú, *waśke>vas,  *kaδ'a>hagy,  *ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út,  0 0 0",2,2,4,13.75
hal,hɒl∅,*k>h¹,24,"*kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát, ",*a>ɒ³,12,"*kaδ'a>hagy, *kala>hal, *kattɜ>hat, *kura>harmat, *lappɜ>lapos, *pajɜ>fagyal, *pala>fal, *parɜ>farag, *śalɜ >szalag, *tappa>tapod, *warɜ>varjú, *waśke>vas, ",*l>l³,12,"*ala>al, *elä>él, *kala>hal, *kalɜ>háló, *kola>hal, *ńele>nyel, *ńɤle>nyíl, *ńole>nyal, *pala>fal, *pälä>fél, *pele>fél, *śalɜ >szalag, ",*a>∅²,18,"*ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út, ",-,0,0,-,0,0,-,0,0,66," *kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát,  *kaδ'a>hagy, *kala>hal, *kattɜ>hat, *kura>harmat, *lappɜ>lapos, *pajɜ>fagyal, *pala>fal, *parɜ>farag, *śalɜ >szalag, *tappa>tapod, *warɜ>varjú, *waśke>vas,  *ala>al, *elä>él, *kala>hal, *kalɜ>háló, *kola>hal, *ńele>nyel, *ńɤle>nyíl, *ńole>nyal, *pala>fal, *pälä>fél, *pele>fél, *śalɜ >szalag,  *ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út,  0 0 0",2,2,4,16.5
háló,halo,*k>h¹,24,"*kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát, ",*a>a³,3,"*kalɜ>háló, *kama>háml, *maksa>máj, ",*l>l³,12,"*ala>al, *elä>él, *kala>hal, *kalɜ>háló, *kola>hal, *ńele>nyel, *ńɤle>nyíl, *ńole>nyal, *pala>fal, *pälä>fél, *pele>fél, *śalɜ >szalag, ",*ɜ>o²,2,"*kalɜ>háló, *kulɜ>holló, ",-,0,0,-,0,0,-,0,0,41," *kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát,  *kalɜ>háló, *kama>háml, *maksa>máj,  *ala>al, *elä>él, *kala>hal, *kalɜ>háló, *kola>hal, *ńele>nyel, *ńɤle>nyíl, *ńole>nyal, *pala>fal, *pälä>fél, *pele>fél, *śalɜ >szalag,  *kalɜ>háló, *kulɜ>holló,  0 0 0",2,2,4,10.25
háml,haml∅,*k>h¹,24,"*kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát, ",*a>a³,3,"*kalɜ>háló, *kama>háml, *maksa>máj, ",*m>ml³,3,"*ime>emlő, *kama>háml, *kuma>homlok, ",*a>∅²,18,"*ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út, ",-,0,0,-,0,0,-,0,0,48," *kaća>hős, *kaδ'a>hagy, *kala>hal, *kalɜ>háló, *kama>háml, *kattɜ>hat, *kojmɜ>hím, *kojra>here, *kola>hal, *końćɜ>hosszú, *ku>ho, *kuδɜ>holnap, *kulke>halad, *kulɜ>holló, *kuma>homlok, *kumpa>hab, *kumɜ>hó, *kuńa>huny, *kuńće>húgy, *kuńćɜ>húgy, *kuŋe>hó, *kura>harmat, *kurɜ>harántos, *kuttɜ>hát,  *kalɜ>háló, *kama>háml, *maksa>máj,  *ime>emlő, *kama>háml, *kuma>homlok,  *ala>al, *kaća>hős, *kaδ'a>hagy, *kala>hal, *kama>háml, *kola>hal, *kumpa>hab, *kuńa>huny, *maksa>máj, *mura>mar, *ńoma>nyúl, *pala>fal, *pukta>fut, *puna>fon, *pura>fúr, *soja>ujj, *tulka>toll, *utka>út,  0 0 0",2,2,4,12.0
