"word","time","question","origin"
"-lódik/-lodik","from_1401_1500",NA,NA
"-lt","from_1101_1150",NA,NA
"-m1","from_1051_1100",NA,NA
"-m2","from_1151_1200",NA,NA
"-m3","from_1251_1300",NA,NA
"-m4","from_1251_1300",NA,NA
"-m5","from_1351_1400",NA,NA
"-ma/-me","from_1801_1850",NA,NA
"-mány/-mény","from_1351_1400",NA,NA
"-más/-més","from_1101_1150",NA,NA
"-n ~ -ny","from_1251_1300",NA,NA
"-n2","from_1151_1200",NA,NA
"-na/-ne","from_1151_1200",NA,NA
"-ná/-né","from_1151_1200",NA,NA
"-nak/- nek1","from_1151_1200",NA,NA
"-nak/-nek2","from_1151_1200",NA,NA
"-nál/-nél","from_1201_1250",NA,NA
"-né","from_1351_1400",NA,NA
"-ni","from_1151_1200",NA,NA
"-nként","from_1401_1500",NA,NA
"-nok/-nök","from_1001_1050",NA,NA
"-nyi","from_1151_1200",NA,NA
"-ó/-o1","before_1000",NA,NA
"-ó/-o2","from_1201_1250",NA,NA
"-ók/-ok","from_1301_1350",NA,NA
"-onc/-enc/-önc","from_1751_1800",NA,NA
"-ós/-os","from_1501_1550",NA,NA
"-p1","from_1501_1550",NA,NA
"-p2","from_1201_1250",NA,NA
"-r1","from_1251_1300",NA,NA
"-r2","from_1351_1400",NA,NA
"-ra/-re","from_1151_1200",NA,NA
"-rétu","from_1401_1500",NA,NA
"-ról/-rol","from_1201_1250",NA,NA
"-s1","from_1051_1100",NA,NA
"-s2","from_1101_1150",NA,NA
"-ság/-ség","from_1151_1200",NA,NA
"-sdi","from_1751_1800",NA,NA
"-si","from_1401_1500",NA,NA
"-sít","from_1601_1650",NA,NA
"-skodik/-skedik/-sködik","from_1351_1400",NA,NA
"-só/-so","from_1151_1200",NA,NA
"-st","from_1351_1400",NA,NA
"-stul/-stül","from_1351_1400",NA,NA
"-sz1","from_1051_1100",NA,NA
"-sz2","from_1151_1200",NA,NA
"-sz3","from_1351_1400",NA,NA
"-szág/-szég","from_1051_1100",NA,NA
"-szeru","from_1301_1350",NA,NA
"-szeru","from_1251_1300",NA,NA
"-szol/-szöl","from_1351_1400",NA,NA
"-szor/-szer/-ször","from_1351_1400",NA,NA
"-t ~-tt3","from_1151_1200",NA,NA
"-t ~ -tt1","from_1051_1100",NA,NA
"-t ~ -tt2","from_1151_1200",NA,NA
"-t2","from_1151_1200",NA,NA
"-t3","from_1151_1200",NA,NA
"-talan/-telen ~ -tlan/-tlen","from_1201_1250",NA,NA
"-tat/-tet","from_1201_1250",NA,NA
"-tok/-tek/-tök1","from_1151_1200",NA,NA
"-tok/-tek/-tök2","from_1151_1200",NA,NA
"-tok/-tek/-tök3","from_1151_1200",NA,NA
"-tól/-tol","from_1151_1200",NA,NA
"-ú/-u ~ -jú/-ju","from_1301_1350",NA,NA
"-uk/-ük1","from_1151_1200",NA,NA
"-uk/-ük2","from_1351_1400",NA,NA
"-uk/-ük2 ~ -juk/jük","from_1151_1200",NA,NA
"-ul/-ül1","from_1151_1200",NA,NA
"-ul/-ül2","from_1251_1300",NA,NA
"-unk/-ünk1","from_1151_1200",NA,NA
