"word","time"
"morotva","from_1101_1150"
"csík1","from_1101_1150"
"család","from_1101_1150"
"üreg","from_1101_1150"
"-ás/-és","from_1101_1150"
"forrás","from_1101_1150"
"láp","from_1101_1150"
"bér","from_1101_1150"
"páka","from_1101_1150"
"liget","from_1101_1150"
"fon","from_1101_1150"
"gyönyöru","from_1101_1150"
"nád","from_1101_1150"
"vályú","from_1101_1150"
"or","from_1101_1150"
"tót","from_1101_1150"
"vörös","from_1101_1150"
"szép","from_1101_1150"
"jobbágy","from_1101_1150"
"húgy2","from_1101_1150"
"bot","from_1101_1150"
"orvos","from_1101_1150"
"kas","from_1101_1150"
"orv","from_1101_1150"
"székely","from_1101_1150"
"szegény","from_1101_1150"
"él1","from_1101_1150"
"ág","from_1101_1150"
"húg","from_1101_1150"
"apad","from_1101_1150"
"húgy1","from_1101_1150"
"vet","from_1101_1150"
"szerelem","from_1101_1150"
"borz","from_1101_1150"
"burok","from_1101_1150"
"büdös","from_1101_1150"
"csömör","from_1101_1150"
"-lt","from_1101_1150"
"rozs","from_1101_1150"
"rossz","from_1101_1150"
"-ék1","from_1101_1150"
"fo2","from_1101_1150"
"szeg3","from_1101_1150"
"bán1","from_1101_1150"
"eszik","from_1101_1150"
"fél2","from_1101_1150"
"kín","from_1101_1150"
"ország","from_1101_1150"
"os","from_1101_1150"
"agy","from_1101_1150"
"gomb","from_1101_1150"
"szél1","from_1101_1150"
"gát","from_1101_1150"
"seb","from_1101_1150"
"szög1","from_1101_1150"
"csoda","from_1101_1150"
"egyéb","from_1101_1150"
"kér","from_1101_1150"
"szül","from_1101_1150"
"tud","from_1101_1150"
"bú1","from_1101_1150"
"édes","from_1101_1150"
"fél1","from_1101_1150"
"ígér","from_1101_1150"
"szégyen","from_1101_1150"
"tor1","from_1101_1150"
"vér","from_1101_1150"
"bo","from_1101_1150"
"éh","from_1101_1150"
"háború","from_1101_1150"
"hitvány","from_1101_1150"
"bak","from_1101_1150"
"tok1","from_1101_1150"
"él2","from_1101_1150"
"sulyok","from_1101_1150"
"baj","from_1101_1150"
"hat2","from_1101_1150"
"esik","from_1101_1150"
"bánt","from_1101_1150"
"beszéd","from_1101_1150"
"bízik","from_1101_1150"
