,0¹,0¹_SE,0¹_E,a²,a²_SE,a²_E,a³,a³_SE,a³_E,a¹,a¹_SE,a¹_E,b²,b²_SE,b²_E,dv²,dv²_SE,dv²_E,d²,d²_SE,d²_E,d³,d³_SE,d³_E,d¹,d¹_SE,d¹_E,d͡z²,d͡z²_SE,d͡z²_E,e³,e³_SE,e³_E,e¹,e¹_SE,e¹_E,f¹,f¹_SE,f¹_E,h²,h²_SE,h²_E,h¹,h¹_SE,h¹_E,i²,i²_SE,i²_E,i³,i³_SE,i³_E,i¹,i¹_SE,i¹_E,i¹²,i¹²_SE,i¹²_E,jt²,jt²_SE,jt²_E,jt³,jt³_SE,jt³_E,j²,j²_SE,j²_E,j³,j³_SE,j³_E,j¹,j¹_SE,j¹_E,kk³,kk³_SE,kk³_E,k²,k²_SE,k²_E,k³,k³_SE,k³_E,k¹,k¹_SE,k¹_E,ld²,ld²_SE,ld²_E,ld³,ld³_SE,ld³_E,ll²,ll²_SE,ll²_E,lt²,lt²_SE,lt²_E,lt³,lt³_SE,lt³_E,lt͡s²,lt͡s²_SE,lt͡s²_E,l²,l²_SE,l²_E,l³,l³_SE,l³_E,l¹,l¹_SE,l¹_E,mb²,mb²_SE,mb²_E,m²,m²_SE,m²_E,m³,m³_SE,m³_E,m¹,m¹_SE,m¹_E,nk²,nk²_SE,nk²_E,nt²,nt²_SE,nt²_E,n²,n²_SE,n²_E,n¹,n¹_SE,n¹_E,nɲ³,nɲ³_SE,nɲ³_E,o²,o²_SE,o²_E,o³,o³_SE,o³_E,o¹,o¹_SE,o¹_E,pp³,pp³_SE,pp³_E,p²,p²_SE,p²_E,p³,p³_SE,p³_E,rd³,rd³_SE,rd³_E,rk³,rk³_SE,rk³_E,rt²,rt²_SE,rt²_E,r²,r²_SE,r²_E,r³,r³_SE,r³_E,r¹,r¹_SE,r¹_E,sl²,sl²_SE,sl²_E,s²,s²_SE,s²_E,s³,s³_SE,s³_E,s¹,s¹_SE,s¹_E,tc³,tc³_SE,tc³_E,t²,t²_SE,t²_E,t³,t³_SE,t³_E,t¹,t¹_SE,t¹_E,t͡ʃ¹,t͡ʃ¹_SE,t͡ʃ¹_E,u²,u²_SE,u²_E,u³,u³_SE,u³_E,u¹,u¹_SE,u¹_E,v²,v²_SE,v²_E,v³,v³_SE,v³_E,v¹,v¹_SE,v¹_E,y²,y²_SE,y²_E,y³,y³_SE,y³_E,y¹,y¹_SE,y¹_E,zd²,zd²_SE,zd²_E,zt³,zt³_SE,zt³_E,z²,z²_SE,z²_E,z¹,z¹_SE,z¹_E,ø²,ø²_SE,ø²_E,ø³,ø³_SE,ø³_E,ɒ²,ɒ²_SE,ɒ²_E,ɒ³,ɒ³_SE,ɒ³_E,ɒ¹,ɒ¹_SE,ɒ¹_E,ɛ²,ɛ²_SE,ɛ²_E,ɛ³,ɛ³_SE,ɛ³_E,ɛ¹,ɛ¹_SE,ɛ¹_E,ɟ²,ɟ²_SE,ɟ²_E,ɟ³,ɟ³_SE,ɟ³_E,ɟ¹,ɟ¹_SE,ɟ¹_E,ɡ²,ɡ²_SE,ɡ²_E,ɡ³,ɡ³_SE,ɡ³_E,ɡɟ³,ɡɟ³_SE,ɡɟ³_E,ɲ²,ɲ²_SE,ɲ²_E,ɲ³,ɲ³_SE,ɲ³_E,ɲ¹,ɲ¹_SE,ɲ¹_E,ʃh³,ʃh³_SE,ʃh³_E,ʃl²,ʃl²_SE,ʃl²_E,ʃt²,ʃt²_SE,ʃt²_E,ʃt³,ʃt³_SE,ʃt³_E,ʃ²,ʃ²_SE,ʃ²_E,ʃ³,ʃ³_SE,ʃ³_E,ʃ¹,ʃ¹_SE,ʃ¹_E,∅,∅_SE,∅_E,∅²,∅²_SE,∅²_E,0,0_SE,0_E
0,θ,5.0,"['ɒrɒɲ<*θɑrɑnʲɑ', 'aːr<*θɑrɜ', 'ɒs<*θɑsɜ', 'aːz<*θȣt͡ʃʲɜ', 'ɒkɒd<*θȣkkɜ']",ɑ,1.0,['raː<*rɑŋɜ'],ɑ,6.0,"['haːɡ<*kɑŋɜ', 'saːldok<*ʃʲɑlʲɜ', 'vaːɡ<*wɑŋɜ', 'maːrt<*mɑrɜ', 'taːl<*tɑlɜ', 'vaːr<*wɑrɜ']",ɑ,2.0,"['aːɟeːk<*ɑnʲt͡ʃʲɜ', 'aːr<*θɑrɜ']",mp,2.0,"['eb<*æmpɜ', 'dob<*tȣmpɜ']",nt,1.0,['kɛdv<*k¨ntɜ'],mt,1.0,['hoːd<*kumtɜ'],j,1.0,['seːdyl<*sȣjɜ'],t,2.0,"['domb<*tȣmpɜ', 'dob<*tȣmpɜ']",tt,1.0,['ɛd͡z<*ættɜ'],e,5.0,"['meːj<*melɜ', 'meɲyl<*menɜ', 'seːl<*selɜ', 'seɡ<*seŋkɜ', 'teːvɛd<*tepɜ']",æ,1.0,['eb<*æmpɜ'],p,19.0,"['fɒlu<*pɑlɣɜ', 'fɛʃl<*pæt͡ʃɜ', 'fɒr<*purɜ', 'fosl<*puʃʲɜ', 'faːz<*pȣtɜ', 'feːk<*pækkɜ', 'fɛjt<*pejɜ', 'fɛkeːj<*pekkɜ', 'fødeːl<*pentɜlɜ', 'fyʃt<*pit͡ʃɜ', 'fyːl<*pilɜ', 'fyː<*pimɜ', 'fok<*pukkɜ', 'fulaːnk<*pulɜ', 'foɡ<*puŋɜ', 'faːrɒd<*pȣɣrɜ', 'foj<*pȣlɜ', 'fɒɡɟuː<*pȣlʲt͡ʃʲɜ', 'fɛkɛtɛ<*p¨kkɜttɜ']",0,1.0,['joh<*ju'],θ,1.0,['heːt<*θæptɜ'],i,1.0,['ki<*ki'],ɜ,1.0,['tɛkint<*tækkɜ'],ɑ,1.0,['iraːnt<*ɑrɜ'],æ,1.0,['i<*æjɜ'],j,1.0,['fɛjt<*pejɜ'],j,1.0,['ɒjtoː<*ȣjɜ'],l,2.0,"['meːj<*melɜ', 'foj<*pȣlɜ']",j,1.0,['hɒjol<*kɑjɜ'],j,5.0,"['jøv<*j¨ŋɜ', 'joː<*jomɜ', 'joh<*ju', 'jut<*juktɜ', 'jaːt<*jȣttɜ']",kk,1.0,['rokkɒn<*rȣkkɜ'],tt,1.0,['titok<*tɑjɜttɜ'],kk,7.0,"['sɒkɒ<*ʃʲɑkkɜ', 't͡ʃoːkol<*t͡ʃʲukkɜ', 'ɒkɒd<*θȣkkɜ', 'ɟøkeːr<*j¨kkɜrɜ', 'fɛkeːj<*pekkɜ', 'fɛkɛtɛ<*p¨kkɜttɜ', 'tɛkint<*tækkɜ']",k,9.0,"['kyzd<*k¨ʃʲɜ', 'kɛʃhɛd<*kænʲt͡ʃʲɜ', 'kiːʃeːr<*ket͡ʃʲɜ', 'ki<*ki', 'kɛʃɛrɛd<*k¨t͡ʃʲɜ', 'kølɛʃ<*k¨lɜ', 'kɛdv<*k¨ntɜ', 'kønɲyː<*k¨nɜ', 'køsøryl<*k¨sɜ']",0,1.0,['saːɡuld<*sȣŋɜ'],lʲ,1.0,['saːldok<*ʃʲɑlʲɜ'],nt,1.0,['hɒll<*kuntɑlɜ'],l,1.0,['olt<*ɑlɜ'],l,1.0,['meːltoː<*m¨lɜ'],l,1.0,['ɲolt͡s<*nʲɑlɜ'],l,5.0,"['fødeːl<*pentɜlɜ', 'fyːl<*pilɜ', 'seːl<*selɜ', 'syl<*silɜ', 'taːl<*tɑlɜ']",lɣ,1.0,['fɒlu<*pɑlɣɜ'],l,3.0,"['lɛveːl<*l¨pɜ', 'lɛʃ<*læt͡ʃʲɜ', 'loː<*luwɜ']",mp,1.0,['domb<*tȣmpɜ'],m,1.0,['ɒlom<*ɑlɑmɑ'],ðʲm,1.0,['hɒmu<*kuðʲmɜ'],m,13.0,"['mɒlaːt<*mɑlkɜ', 'mɒɟɒr<*mɑnʲt͡ʃʲɜ', 'mɛʃɛ<*mɑnʲt͡ʃʲɜ', 'maːrt<*mɑrɜ', 'mɛlɛɡ<*mælɜ', 'mɛr<*mærɜ', 'mɛztɛlɛn<*met͡ʃʲɜ', 'meːj<*melɜ', 'meɲyl<*menɜ', 'mɛrɛd<*merɜ', 'mɒrok<*mȣrɜ', 'meːltoː<*m¨lɜ']",0,1.0,['fulaːnk<*pulɜ'],0,2.0,"['iraːnt<*ɑrɜ', 'tɛkint<*tækkɜ']",0,2.0,"['mɛztɛlɛn<*met͡ʃʲɜ', 'rokkɒn<*rȣkkɜ']",m,1.0,['nɛvɛt<*m¨kɜ'],n,1.0,['kønɲyː<*k¨nɜ'],u,1.0,['loː<*luwɜ'],u,8.0,"['fosl<*puʃʲɜ', 't͡ʃoːkol<*t͡ʃʲukkɜ', 'joh<*ju', 'hoz<*kut͡ʃʲɜ', 'hoːd<*kumtɜ', 'fok<*pukkɜ', 'foɡ<*puŋɜ', 'torok<*turɜ']",ɑ,1.0,['olt<*ɑlɜ'],pp,1.0,['ʃyppɛd<*t͡ʃeppɜ'],0,1.0,['hɒɟɒp<*kuðʲɜ'],pp,1.0,['ɛper<*æppɜrɜkɜ'],l,1.0,['ɛrdeːj<*ælɜ'],r,1.0,['hɒrkaːj<*kɑrɜ'],r,1.0,['maːrt<*mɑrɜ'],r,13.0,"['ɲiːr<*nʲ¨rɜ', 'oʃtor<*ot͡ʃʲtɜrɜ', 'fɒr<*purɜ', 'ɛper<*æppɜrɜkɜ', 'aːr<*θɑrɜ', 'iːɡeːr<*eŋkɜrɜ', 'ɟøkeːr<*j¨kkɜrɜ', 'mɛr<*mærɜ', 'ɲɛr<*nʲærɜ', 'saːr<*sȣrɜ', 'teːr<*tærɜ', 'vaːr<*wɑrɜ']",r,6.0,"['ɒrɒ<*ɑrɜ', 'iraːnt<*ɑrɜ', 'ɒrɒɲ<*θɑrɑnʲɑ', 'mɛrɛd<*merɜ', 'mɒrok<*mȣrɜ', 'torok<*turɜ']",r,3.0,"['rɛjt<*reŋɜ', 'raː<*rɑŋɜ', 'rokkɒn<*rȣkkɜ']",ʃʲ,1.0,['fosl<*puʃʲɜ'],s,1.0,['ɒs<*θɑsɜ'],ʃʲ,1.0,['ysøː<*iʃʲɜ'],ʃʲ,2.0,"['sɒkɒ<*ʃʲɑkkɜ', 'saːldok<*ʃʲɑlʲɜ']",tt,1.0,['hɒtcuː<*kottɜŋɜ'],tt,2.0,"['ʃyt<*t͡ʃittɜ', 'jaːt<*jȣttɜ']",tt,2.0,"['ʃøteːt<*t͡ʃettɜ', 'fɛkɛtɛ<*p¨kkɜttɜ']",t,9.0,"['titok<*tɑjɜttɜ', 'taːl<*tɑlɜ', 'tɛkint<*tækkɜ', 'tɛɡez<*tæŋɜtɜ', 'teːr<*tærɜ', 'teːvɛd<*tepɜ', 'taːltoʃ<*tultɜ', 'torok<*turɜ', 'tyːz<*tyɣɜtɜ']",t͡ʃʲ,1.0,['t͡ʃoːkol<*t͡ʃʲukkɜ'],∅,1.0,['ʃɒvɒɲuː<*t͡ʃɑwɜ'],u,4.0,"['jut<*juktɜ', 'huːz<*kupɜtɜ', 'fulaːnk<*pulɜ', 'zuɡ<*suŋɜ']",ɑ,1.0,['utaːl<*ɑktɜ'],ŋ,1.0,['jøv<*j¨ŋɜ'],p,2.0,"['lɛveːl<*l¨pɜ', 'teːvɛd<*tepɜ']",w,3.0,"['vaːɡ<*wɑŋɜ', 'vaːr<*wɑrɜ', 'vɛʃɛ<*w¨t͡ʃʲɜ']",ɜ,1.0,['kønɲyː<*k¨nɜ'],e,1.0,['ʃyppɛd<*t͡ʃeppɜ'],i,2.0,"['ysøː<*iʃʲɜ', 'yːz<*itɜ']",ʃʲ,1.0,['kyzd<*k¨ʃʲɜ'],t͡ʃʲ,1.0,['mɛztɛlɛn<*met͡ʃʲɜ'],t͡ʃʲ,2.0,"['aːz<*θȣt͡ʃʲɜ', 'hoz<*kut͡ʃʲɜ']",s,1.0,['zuɡ<*suŋɜ'],ɜ,1.0,['ysøː<*iʃʲɜ'],e,2.0,"['ʃøteːt<*t͡ʃettɜ', 'fødeːl<*pentɜlɜ']",ɜ,2.0,"['sɒkɒ<*ʃʲɑkkɜ', 'ɒrɒ<*ɑrɜ']",u,4.0,"['hɒmu<*kuðʲmɜ', 'hɒll<*kuntɑlɜ', 'fɒr<*purɜ', 'hɒɟɒp<*kuðʲɜ']",ɑ,4.0,"['ɒlom<*ɑlɑmɑ', 'ɒrɒ<*ɑrɜ', 'ɒrɒɲ<*θɑrɑnʲɑ', 'ɒs<*θɑsɜ']",ɜ,3.0,"['mɛʃɛ<*mɑnʲt͡ʃʲɜ', 'fɛkɛtɛ<*p¨kkɜttɜ', 'vɛʃɛ<*w¨t͡ʃʲɜ']",e,5.0,"['rɛjt<*reŋɜ', 'mɛztɛlɛn<*met͡ʃʲɜ', 'mɛrɛd<*merɜ', 'fɛjt<*pejɜ', 'fɛkeːj<*pekkɜ']",æ,3.0,"['ɛrdeːj<*ælɜ', 'ɛper<*æppɜrɜkɜ', 'ɛd͡z<*ættɜ']",nʲt͡ʃʲ,1.0,['hɒɟ<*kȣnʲt͡ʃʲɜ'],nʲt͡ʃʲ,2.0,"['aːɟeːk<*ɑnʲt͡ʃʲɜ', 'mɒɟɒr<*mɑnʲt͡ʃʲɜ']",j,3.0,"['ɟɒk<*jȣkkɜ', 'ɟɒlu<*jȣrɜ', 'ɟøkeːr<*j¨kkɜrɜ']",0,2.0,"['mɛlɛɡ<*mælɜ', 'ɲɛreɡ<*nærkɜ']",ŋk,1.0,['iːɡeːr<*eŋkɜrɜ'],lʲt͡ʃʲ,1.0,['fɒɡɟuː<*pȣlʲt͡ʃʲɜ'],nʲ,1.0,['ɒrɒɲ<*θɑrɑnʲɑ'],n,1.0,['meɲyl<*menɜ'],n,2.0,"['ɲeːk<*nækɜ', 'ɲɛreɡ<*nærkɜ']",nʲt͡ʃʲ,1.0,['kɛʃhɛd<*kænʲt͡ʃʲɜ'],t͡ʃ,1.0,['fɛʃl<*pæt͡ʃɜ'],t͡ʃ,1.0,['fyʃt<*pit͡ʃɜ'],t͡ʃʲt,1.0,['oʃtor<*ot͡ʃʲtɜrɜ'],t͡ʃʲ,1.0,['lɛʃ<*læt͡ʃʲɜ'],t͡ʃʲ,4.0,"['hɒʃɒd<*kɑt͡ʃʲɜ', 'kiːʃeːr<*ket͡ʃʲɜ', 'kɛʃɛrɛd<*k¨t͡ʃʲɜ', 'vɛʃɛ<*w¨t͡ʃʲɜ']",t͡ʃ,4.0,"['ʃɒvɒɲuː<*t͡ʃɑwɜ', 'ʃyppɛd<*t͡ʃeppɜ', 'ʃøteːt<*t͡ʃettɜ', 'ʃyt<*t͡ʃittɜ']",ɜ,12.0,"['hɒll<*kuntɑlɜ', 'i<*æjɜ', 'ɛper<*æppɜrɜkɜ', 'joː<*jomɜ', 'hɒtcuː<*kottɜŋɜ', 'huːz<*kupɜtɜ', 'loː<*luwɜ', 'fyː<*pimɜ', 'raː<*rɑŋɜ', 'soː<*sɑwɜ', 'søːr<*sæɣɜrɜ', 'tyːz<*tyɣɜtɜ']",ɑ,3.0,"['hɒll<*kuntɑlɜ', 'ɒlom<*ɑlɑmɑ', 'ɒrɒɲ<*θɑrɑnʲɑ']",t,2,"['huːz<*kupɜtɜ', 'tyːz<*tyɣɜtɜ']"
1,0,17.0,"['oʃtor<*ot͡ʃʲtɜrɜ', 'utaːl<*ɑktɜ', 'ɒlom<*ɑlɑmɑ', 'olt<*ɑlɜ', 'aːɟeːk<*ɑnʲt͡ʃʲɜ', 'ɒrɒ<*ɑrɜ', 'iraːnt<*ɑrɜ', 'i<*æjɜ', 'ɛrdeːj<*ælɜ', 'eb<*æmpɜ', 'ɛper<*æppɜrɜkɜ', 'ɛd͡z<*ættɜ', 'iːɡeːr<*eŋkɜrɜ', 'ysøː<*iʃʲɜ', 'yːz<*itɜ', 'oldɒl<*oŋtɜ', 'ɒjtoː<*ȣjɜ']",,,,ɜ,5.0,"['utaːl<*ɑktɜ', 'iraːnt<*ɑrɜ', 'hɒrkaːj<*kɑrɜ', 'mɒlaːt<*mɑlkɜ', 'fulaːnk<*pulɜ']",ȣ,1.0,['aːz<*θȣt͡ʃʲɜ'],,,,,,,0,8.0,"['ʃyppɛd<*t͡ʃeppɜ', 'ɒkɒd<*θȣkkɜ', 'hɒʃɒd<*kɑt͡ʃʲɜ', 'kɛʃhɛd<*kænʲt͡ʃʲɜ', 'kɛʃɛrɛd<*k¨t͡ʃʲɜ', 'mɛrɛd<*merɜ', 'faːrɒd<*pȣɣrɜ', 'teːvɛd<*tepɜ']",nt,1.0,['fødeːl<*pentɜlɜ'],,,,,,,¨,1.0,['meːltoː<*m¨lɜ'],,,,,,,,,,k,14.0,"['haːɡ<*kɑŋɜ', 'hɒmu<*kuðʲmɜ', 'hɒll<*kuntɑlɜ', 'hɒʃɒd<*kɑt͡ʃʲɜ', 'hɒj<*kɑjɜ', 'hɒjol<*kɑjɜ', 'hɒrkaːj<*kɑrɜ', 'hiːz<*kɑtɜ', 'hɒtcuː<*kottɜŋɜ', 'hoz<*kut͡ʃʲɜ', 'hɒɟɒp<*kuðʲɜ', 'hoːd<*kumtɜ', 'huːz<*kupɜtɜ', 'hɒɟ<*kȣnʲt͡ʃʲɜ']",,,,ɑ,2.0,"['hiːz<*kɑtɜ', 'titok<*tɑjɜttɜ']",e,1.0,['iːɡeːr<*eŋkɜrɜ'],,,,ŋ,1.0,['rɛjt<*reŋɜ'],,,,0,3.0,"['ɛrdeːj<*ælɜ', 'hɒrkaːj<*kɑrɜ', 'fɛkeːj<*pekkɜ']",,,,,,,,,,0,4.0,"['saːldok<*ʃʲɑlʲɜ', 'aːɟeːk<*ɑnʲt͡ʃʲɜ', 'mɒrok<*mȣrɜ', 'torok<*turɜ']",,,,,,,,,,ŋt,1.0,['oldɒl<*oŋtɜ'],,,,,,,lt,1.0,['taːltoʃ<*tultɜ'],,,,0,8.0,"['lɛveːl<*l¨pɜ', 'utaːl<*ɑktɜ', 't͡ʃoːkol<*t͡ʃʲukkɜ', 'hɒjol<*kɑjɜ', 'køsøryl<*k¨sɜ', 'meɲyl<*menɜ', 'oldɒl<*oŋtɜ', 'seːdyl<*sȣjɜ']",l,4.0,"['ɒlom<*ɑlɑmɑ', 'kølɛʃ<*k¨lɜ', 'mɛlɛɡ<*mælɜ', 'fulaːnk<*pulɜ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ,1.0,['soː<*sɑwɜ'],ɑ,2.0,"['ɒlom<*ɑlɑmɑ', 'ɲolt͡s<*nʲɑlɜ']",o,2.0,"['oʃtor<*ot͡ʃʲtɜrɜ', 'oldɒl<*oŋtɜ']",,,,,,,,,,,,,,,,,,,0,2.0,"['kiːʃeːr<*ket͡ʃʲɜ', 'mɒɟɒr<*mɑnʲt͡ʃʲɜ']",0,2.0,"['kɛʃɛrɛd<*k¨t͡ʃʲɜ', 'køsøryl<*k¨sɜ']",,,,,,,,,,s,1.0,['køsøryl<*k¨sɜ'],s,9.0,"['soː<*sɑwɜ', 'søːr<*sæɣɜrɜ', 'seːl<*selɜ', 'seɡ<*seŋkɜ', 'syl<*silɜ', 'seːdyl<*sȣjɜ', 'sɒlu<*sȣlkɜ', 'saːɡuld<*sȣŋɜ', 'saːr<*sȣrɜ']",,,,kt,1.0,['jut<*juktɜ'],kt,1.0,['utaːl<*ɑktɜ'],,,,,,,ɜ,6.0,"['hɒmu<*kuðʲmɜ', 'fɒlu<*pɑlɣɜ', 'ɟɒlu<*jȣrɜ', 'hɒtcuː<*kottɜŋɜ', 'fɒɡɟuː<*pȣlʲt͡ʃʲɜ', 'sɒlu<*sȣlkɜ']",ɜ,1.0,['saːɡuld<*sȣŋɜ'],,,,,,,w,1.0,['ʃɒvɒɲuː<*t͡ʃɑwɜ'],,,,i,1.0,['fyː<*pimɜ'],¨,1.0,['kyzd<*k¨ʃʲɜ'],,,,,,,,,,p,1.0,['huːz<*kupɜtɜ'],,,,,,,æ,1.0,['søːr<*sæɣɜrɜ'],,,,ɑ,10.0,"['ʃɒvɒɲuː<*t͡ʃɑwɜ', 'fɒlu<*pɑlɣɜ', 'sɒkɒ<*ʃʲɑkkɜ', 'ɒrɒɲ<*θɑrɑnʲɑ', 'hɒʃɒd<*kɑt͡ʃʲɜ', 'hɒj<*kɑjɜ', 'hɒjol<*kɑjɜ', 'hɒrkaːj<*kɑrɜ', 'mɒlaːt<*mɑlkɜ', 'mɒɟɒr<*mɑnʲt͡ʃʲɜ']",ȣ,2.0,"['ɒkɒd<*θȣkkɜ', 'ɒjtoː<*ȣjɜ']",,,,¨,6.0,"['lɛveːl<*l¨pɜ', 'kɛʃɛrɛd<*k¨t͡ʃʲɜ', 'kɛdv<*k¨ntɜ', 'nɛvɛt<*m¨kɜ', 'fɛkɛtɛ<*p¨kkɜttɜ', 'vɛʃɛ<*w¨t͡ʃʲɜ']",,,,,,,ðʲ,1.0,['hɒɟɒp<*kuðʲɜ'],,,,ŋk,1.0,['seɡ<*seŋkɜ'],ŋ,2.0,"['saːɡuld<*sȣŋɜ', 'tɛɡez<*tæŋɜtɜ']",,,,,,,0,1.0,['ʃɒvɒɲuː<*t͡ʃɑwɜ'],nʲ,3.0,"['ɲiːr<*nʲ¨rɜ', 'ɲolt͡s<*nʲɑlɜ', 'ɲɛr<*nʲærɜ']",,,,,,,,,,,,,0,2.0,"['kølɛʃ<*k¨lɜ', 'taːltoʃ<*tultɜ']",nʲt͡ʃʲ,1.0,['mɛʃɛ<*mɑnʲt͡ʃʲɜ'],,,,,,,ɜ,64.0,"['jøv<*j¨ŋɜ', 'haːɡ<*kɑŋɜ', 'kyzd<*k¨ʃʲɜ', 'ɲiːr<*nʲ¨rɜ', 'oʃtor<*ot͡ʃʲtɜrɜ', 'fɛʃl<*pæt͡ʃɜ', 'fɒr<*purɜ', 'fosl<*puʃʲɜ', 'faːz<*pȣtɜ', 'rɛjt<*reŋɜ', 'vaːɡ<*wɑŋɜ', 'olt<*ɑlɜ', 'eb<*æmpɜ', 'ɛper<*æppɜrɜkɜ', 'ɛd͡z<*ættɜ', 'ʃyt<*t͡ʃittɜ', 'aːr<*θɑrɜ', 'ɒs<*θɑsɜ', 'heːt<*θæptɜ', 'aːz<*θȣt͡ʃʲɜ', 'iːɡeːr<*eŋkɜrɜ', 'yːz<*itɜ', 'jut<*juktɜ', 'ɟɒk<*jȣkkɜ', 'jaːt<*jȣttɜ', 'ɟøkeːr<*j¨kkɜrɜ', 'iːz<*j¨tɜ', 'hɒj<*kɑjɜ', 'hiːz<*kɑtɜ', 'hoz<*kut͡ʃʲɜ', 'hoːd<*kumtɜ', 'huːz<*kupɜtɜ', 'hɒɟ<*kȣnʲt͡ʃʲɜ', 'kɛdv<*k¨ntɜ', 'lɛʃ<*læt͡ʃʲɜ', 'maːrt<*mɑrɜ', 'mɛr<*mærɜ', 'meːj<*melɜ', 'ɲeːk<*nækɜ', 'ɲolt͡s<*nʲɑlɜ', 'ɲɛr<*nʲærɜ', 'feːk<*pækkɜ', 'fɛjt<*pejɜ', 'fødeːl<*pentɜlɜ', 'fyʃt<*pit͡ʃɜ', 'fyːl<*pilɜ', 'fok<*pukkɜ', 'foɡ<*puŋɜ', 'foj<*pȣlɜ', 'søːr<*sæɣɜrɜ', 'seːl<*selɜ', 'seɡ<*seŋkɜ', 'syl<*silɜ', 'zuɡ<*suŋɜ', 'saːr<*sȣrɜ', 'titok<*tɑjɜttɜ', 'taːl<*tɑlɜ', 'tɛɡez<*tæŋɜtɜ', 'teːr<*tærɜ', 'tyːz<*tyɣɜtɜ', 'domb<*tȣmpɜ', 'dob<*tȣmpɜ', 'vaːr<*wɑrɜ']",ŋ,2,"['hɒtcuː<*kottɜŋɜ', 'raː<*rɑŋɜ']"
