∅²,a³,ɪ³,n²,a²,u³,0¹,i³,s²,w¹,o³,aɪ³,ɡ¹,e³,a¹,s¹,m¹,h¹,l¹,au³,o²,b¹,ɪ²,ɸ¹,n³,i²,t³,ɔ³,u¹,ɪu³,r³,l³,r¹,ð³,ɛ³,θ¹,θ³,β³,n¹,d¹,t¹,k³,ɣ³,m³,k¹,h³,s³,w³,ɪ¹,r²,e²,hʷ¹,j³,aɪ¹,h²,p³,j¹,kʷ¹,t²,z³,ɸ³,au¹,θ²,l²,ŋɡ³,ɸ²,u²,ŋɡw³,z²,ɛ¹,k²,hʷ³,aɪ²,e¹,p¹,ɔ¹,ɪu¹,o¹,ŋk³,au²,w²,kʷ³,ɣ²,ð²,p²,i¹,m²,y³,ŋkʷ³,ŋkʷ²,ɪu²,ŋk²,hʷ²,β²,v¹,ŋɡ²,kʷ²,v³,c¹,c²,y²,ns²,θs²,nd³,ɸr¹,st³,st¹,nds²,sk¹,sw¹,lj³,nn³,ɣs²,tj³,sk³,ɣj³,ðj³,br¹,ls²,rj³,rd³,ks²,θj³,ll³,ss³,hts²,nj³,ht³,ts²,ɡr¹,sj³,hs²,ld³,dr¹,sw³,rθ³,rs²,sts²,rn³,nɡ³,lθ³,θr³,hl¹,hr¹,nw³,nθ³,ndj³,bl¹,θr¹,rb³,sl¹,βj³,hj³,ns³,rr³,sp¹,rɡ³,mj³,pj³,ss²,ms²,sl³,nθs²,kj³,rp³,ðr³,sn³,wr¹,kn³,rw³,rk³,ɸs²,nt³,sn¹,th¹,βn³,rds²,sks²,ɪa²,tr³,θl³,tr¹,ɸt³,aa³,rm³,wj³,ɸts²,kr¹,ɸr³,tw¹,stj³,θθ³,tw³,ŋɡs²,lt³,str³,lw³,nd²,rθs²,ɪa³,rh³,mm³,ŋkj³,lds²,nθj³,rhts²,sh³,rl³,ɸh³,ɣl³,sm³,hn³,htj³,rt³,θw³,hn¹,nh³,sm¹,ɸd³,tɡ³,lθs²,nl³,ɣn³,ndw³,rdj³,θɡ³,sb³,sɸ³,βr³,rs³,ɣr³,nɸ³,ðw³,lb³,pp³,kk³,str¹,ɸl³,θn³,sp³,tn³,rn²,rnj³,ɸl¹,pr¹,sst³,pn³,ɣlj³,ws²,lls²,ndh³,nds³,ld²,rts²,th³,aua³,ddj³,nnj³,eu³,lm³,lk³,skʷ³,ŋɡws²,nm³,ɪɪ³,nb³,ɸm³,rz³,ðs²,rstw³,ndr³,rɡj³,lɡ³,mms²,hθ³,dw¹,ɡl¹,nk³,ndn³,ɸn³,lwj³,hm³,hs³,mrj³,zn³,rkj³,hr³,st²,ntr³,ssk³,aɪu³,llj³,rbs²,ɣnj³,nr³,nsw³,kn¹,pl¹,skr¹,θl¹,θw¹,sɡ³,bb³,ɸsl³,ɸw³,mp³,ndb³,ɸj³,rɡs²,sd³,rms²,str²,ŋks²,rd²,rst³,hsj³,βl³,ŋɡkʷ³,ps²,aɪa³,zw³,hst³,sch¹,ua²,wl¹,rzj³,auɪ³,lh³,ɸɡ³,ɸsw³,ɣls²,ɣms²,lh²,aua²,tl³,tt³,hns²,rht³,ln³,zd³,ŋɡj³,ch¹,zm³,rns²,lθ²,rθj³,ltj³,nhr³,kl¹,kns²,ɣh³,rtr³,lθr³,ɸs³,ɸst³,ŋɡwj³,nhʷ³,rkn³,kr³,nsts²,sns²,ɣns²,pr³,ɸstj³,mmj³,zns²,ndst³,rbj³,ua³,snj³,zj³,ɣrs²,sdr³,lms²,nwj³,rɸ³,mɸt³,wr³,ɪe³,aaɪ³,ɸtj³,θs³,rt²,ŋkʷj³,knj³,lɡj³,lks²,oe³,nkj³,ch³,ɣn²,shr³,rɸts²,sc¹,rmj³,mbrj³,shʷ³,ɸbr³,htw³,nɸr³,dd³,ɸbl³,ɸdr³,ɸɡr³,ɸhr³,ɸtr³,ɸθ³,βr²,kls²,wl³,krs²,lɸs²,mbj³,mnj³,zn²,rhʷ³,ssj³,tb³,sk²,hʷj³,tsn³,rpj³,θns²,rhtj³,trs²,lɡs²,ls³,lθj³,ɪo²,hl³,mpj³,uu³,lth³,hsn³,hrj³,stn³,hnj³,rhs²,rsn³,ŋɡr³,ll²,ae²,mw³,lln³,rθn³,ðw²,hsns²,ðwj³,lzj³,zds²,sls²,eo³,ɣl²,rθr³,lts²,hh³,ɸt²,nsl³,hwss¹,lɸtrj³,hʷss¹,ɪe¹,nnɡ³,sr³,ae³,lsks²,rθrj³,uɪ³,mb³,kl³,mn³,nks²,rhw³,hbr³,ssp³,sbl³,sθ³,sθr³,βrj³,βrs²,ðrs²,mbn³,ɸɸ³,ɸhl³,ɸhʷ³,ɸsk³,ɸsn³,rsj³,htr³,oe²,rkns²,lstr³,lbs²,ldr²,ldrs²,lhs²,lt²,aau³,mts²,ndl³,nst³,nt²,nsd³,rh²,aɪo²,rθ²,tdr³,ts³,tst³,tθ³,rtj³,zwm³,n¹²,ndwj³,nnw³,auaɪ³,ɪau³,ɣw³,ndz³,ŋɡkʷ²,ee³,ɣd³,θɸ³,shn³,sskr³,ŋɡk²,nc³,lɡ²,mbs²,hn²,rhʷj³,tl²,lb²,skj³,nnh³,twj³,htn³,ɸwn¹,yu³,ɸtn³,lp³,ɣds²,βnj³,xr³,ou²,nsj³,mθs²,ðn³,nθn³,rhj³,mr³,tm³,θbl³,ɸsts²,θrj³,βns²,ɪa¹²,ch²,nbr³,nɡr³,nn²,sɡj³,kn²,l¹²,θrs²,θr²,rθr²,jch³,θkʷ³,kʷr¹,zz³,ntsch²,ai²,ŋɡkʷj³,uo³,hsl²,oi²,spr¹,kʷns²,swn¹,msl²,hsw³,mbr²,ɸl²,ɸls²,rhɡ³,rhl³,rɸs²,βs²,ph³,tsɸ³,u¹²,rsk³,rsw³,ɸhn³,ɸk³,nkʷ³,rstws²,sbr³,sɸr³,sɡr³,hsts²,uuae¹,uuɪ¹,lθrs²,a¹²,ae¹,ɸkʷ³,ɸθl³,ɸθw³,ɸrs²,htr²,hʷs²,kkl³,nsh³,wx³,kd³,llsw³,llw³,ms³,ndhr³,ndkʷ³,ndsp³,ndt³,ndθ³,pls²,rc³,rwj³,tɸ³,tk³,cht³,θn²,zɡ³,b¹²,lɡbr³,rɡsw³,rcn³,bn¹,tsch²,ɣdj³,bwss¹,ɪou²,cr¹,d¹²,km³,e¹²,ea¹²,i¹²,rls²,ey¹,rɡr³,rzn³,lws²,ao²,rkʷ³,ea²,ŋɡrs²,mɸ²,mɸh³,mɸθ³,sc²,sct²,ðr²,mɡ³,lc³,lhsn³,lk²,nɸ²,ɡ¹²,ɛɛ³,ltz³,rws²,euua²,lstr²,ltz²,sc³,mst²,ðbl³,ðh³,h¹²,mɸs²,sws²,zdw³,pps²,scl³,ŋɡrj³,nsl²,nslj³,zd²,zdj³,lɸtr²,lɸtr³,hʷj¹²,hʷk¹,hʷm¹²,hʷmɡ¹²,hʷz¹²,ɪ¹²,βd³,ɪe¹²,ltsch²,ɪɪ¹,nɡd³,ɪo¹,j¹²,nθr³,jkʷ¹²,k¹²,lkj³,wtsj³,kb¹²,kd¹²,kɡ¹²,kh¹²,msch²,mschk³,smj³,aue³,kkʷ¹²,kkj³,ktl¹²,kθ¹²,kwr¹,kz¹²,aɪo³,ktj³,ou³,ww³,mb²,m¹²,mbr³,θms²,ɣɸ³,rhsk³,rtwr²,tz³,θl²,θlj³,ðɡ³,lhm³,mz²,nzn³,θɸr³,θk³,θm³,θsk³,θst³,ndrs²,nθ²,nb¹²,ssl³,oɪ³,cz²,o¹²,oe¹,oy¹²,ɪɔ³,zbwt³,ps¹,kʷ¹²,r¹²,zzj³,nck²,rk¹²,rkb¹²,rkɡ¹²,rkh¹²,rlɡ¹²,rmh¹²,rnkʷ¹²,aɪi³,ŋɡkʷs²,ldr³,pt³,schl¹,schn¹,uua³,lth²,uue³,scr¹,eue³,kθ³,ml³,nɡh³,tls²,pt²,ttj³,tts²,skb¹²,skɡ¹²,rr²,skwθ¹,sl¹²,kw³,smwrn¹²,smz¹²,snd¹²,spwr¹,rks²,tz²,kʷn²,kʷn³,zl²,βls²,mɸsl²,t¹²,ɣr²,ɣrj³,ndɸ³,lz³,auɪ²,rv³,th¹²,th²,mr²,tk¹²,tlɡ¹²,tm¹,ye³,ŋɡl²,βw³,ɸlj³,tz¹,θ¹²,rhb³,rhs³,rɸ²,rp²,rsts²,ei²,hw³,kʷj³,θsp³,mst³,ui²,hl²,θwm¹,ɸb³,ɸstr³,ndɡr³,nsk³,nθw³,sɸl³,shl³,sθw³,ht²,mm²,rth³,rk²,rstw²,rstwj³,pn²,chtɡ³,kʷs²,pl¹²,nns²,nsk²,hjb¹²,hjkʷ¹²,hkɡ¹²,hl¹²,hnd¹²,z¹²
∅,ɑ,i,n,ɑ,u,0.0,i,s,w,o,ɑ,k,e,ɑ,s,m,0,l,ɑ,o,p,i,p,n,i,t,ɑ,o,i,r,l,r,δ,e,θ,t,w,n,t,t,k,ɣ,m,k,k,s,w,i,r,e,w,j,ɑ,k,p,j,k,t,s,p,ɑ,t,l,ɡ,p,u,ɡ,s,e,k,w,ɑ,e,p,o,i,o,k,ɑ,w,k,ŋ,δ,p,i,m,y,k,k,i,k,w,w,w,ɡ,k,w,t,t,y,n,θ,n,p,s,s,n,s,s,l,n,ɣ,t,s,ɣ,δ,p,l,r,r,k,θ,l,s,k,n,k,t,k,s,k,l,t,s,r,r,s,r,n,l,θ,k,k,n,n,n,p,θ,r,s,w,k,n,r,s,r,m,p,s,m,s,n,k,r,δ,s,w,k,r,r,p,n,s,t,w,r,s,i,t,θ,t,p,ɑ,r,w,p,k,p,t,s,θ,t,ŋ,l,s,l,n,r,i,r,m,ŋ,l,n,r,s,r,p,ɣ,s,k,k,r,θ,k,n,s,p,t,l,n,ɣ,n,r,θ,s,s,w,r,ɣ,n,δ,l,p,k,s,p,θ,s,t,r,r,p,p,s,p,ɣ,w,l,n,n,l,r,t,ɑ,t,n,e,l,l,s,ŋ,n,i,n,p,r,δ,r,n,r,l,m,k,t,k,n,n,p,l,k,k,m,s,r,k,s,n,s,ɑ,l,r,ɣ,n,n,k,p,s,θ,θ,s,p,p,p,m,n,p,r,s,r,s,ŋ,r,r,k,w,ŋ,p,ɑ,s,k,s,u,w,r,ɑ,l,p,p,ɣ,ɣ,l,ɑ,t,t,k,r,l,s,ŋ,t,s,r,l,r,l,n,k,k,ɣ,r,l,p,p,ŋ,n,r,k,n,s,ɣ,p,p,m,s,n,r,u,s,s,ɣ,s,l,n,r,m,w,i,ɑ,p,θ,r,ŋ,k,l,l,o,n,t,ɣ,s,r,s,r,m,s,p,k,n,t,p,p,p,p,p,p,w,k,w,k,l,m,m,s,r,s,t,s,w,t,r,θ,r,t,l,l,l,i,k,m,u,l,k,k,s,k,r,r,ŋ,l,ɑ,m,l,r,δ,k,δ,l,s,s,e,ɣ,r,l,k,p,n,k,l,w,i,n,s,ɑ,l,r,u,m,k,m,n,r,k,s,s,s,s,w,w,δ,m,p,p,p,p,p,r,k,o,r,l,l,l,l,l,l,ɑ,m,n,n,n,n,r,ɑ,r,t,t,t,t,r,s,,n,n,ɑ,i,ɣ,n,ŋ,e,ɣ,θ,s,s,ŋ,n,l,m,k,r,t,l,s,n,t,k,p,y,p,l,ɣ,w,,o,n,m,δ,n,r,m,t,θ,p,θ,w,i,t,n,n,n,s,k,,θ,θ,r,j,θ,k,s,n,ɑ,ŋ,u,k,o,s,k,s,m,k,m,p,p,r,r,r,w,p,t,u,r,r,p,p,n,r,s,s,s,k,u,u,l,ɑ,ɑ,p,p,p,p,k,w,k,n,,k,l,l,m,n,n,n,n,n,p,r,r,t,t,t,θ,s,,l,r,r,p,t,ɣ,p,i,t,,k,e,e,i,r,e,r,r,l,ɑ,r,e,ŋ,m,m,m,s,s,δ,m,l,l,l,n,,e,l,r,e,l,l,s,m,δ,δ,,m,s,s,p,s,ŋ,n,n,s,s,l,l,w,w,w,w,w,i,w,i,l,i,n,i,,n,j,,l,w,k,k,k,k,m,m,s,ɑ,k,k,k,k,k,k,ɑ,k,o,w,m,,m,θ,ɣ,r,r,t,θ,θ,δ,l,m,n,θ,θ,θ,θ,θ,n,n,n,s,o,t,o,o,o,i,s,p,,,s,n,r,r,r,r,r,r,r,ɑ,ŋ,l,p,s,s,u,l,u,s,e,k,m,n,t,p,t,t,s,s,r,s,s,k,s,s,s,s,r,t,k,k,s,w,m,,ɣ,ɣ,n,l,ɑ,r,t,t,m,t,t,t,y,ŋ,w,p,t,,r,r,r,r,r,e,k,k,θ,m,u,k,θ,p,p,n,n,n,s,s,s,k,m,r,r,r,r,p,t,k,p,n,n,k,k,k,k,k,
,æ,e,,æ,o,,ɜ,,u,u,i,γ,i,æ,,,k,,æ,u,m,e,w,,e,,o,u,e,,,,,æ,,s,p,,n,,,,,,j,,u,e,,i,k,,i,j,,,w,,ʃʲ,w,æ,s,,ŋ,w,o,ŋ,ʃʲ,æ,,k,i,i,,ɑ,e,u,ŋ,æ,u,w,j,,,e,,y,ŋ,ŋ,e,ŋ,k,p,p,ŋ,w,p,s,s,y,s,s,t,r,t,t,t,k,w,j,,s,j,k,j,j,r,s,j,t,s,j,,,t,j,t,s,r,j,s,t,r,w,θ,s,t,n,k,θ,r,l,r,w,θ,t,l,r,p,l,j,j,s,,p,k,j,j,,s,l,θ,j,p,r,n,r,n,w,k,s,t,n,k,n,t,k,e,r,l,r,t,æ,m,j,t,r,r,w,t,,w,k,t,t,w,t,θ,e,k,,k,t,θ,k,k,l,k,l,m,n,t,t,w,n,k,m,t,k,θ,l,n,t,t,k,p,p,r,s,r,p,w,p,pp,kk,t,l,n,p,n,n,n,l,r,t,n,l,s,s,t,t,t,t,k,æ,n,j,i,m,k,k,k,m,e,p,m,s,s,s,t,k,k,s,θ,w,l,k,t,n,w,m,s,r,n,k,r,t,t,k,æ,j,p,n,r,s,n,l,k,l,w,k,m,s,w,p,t,j,k,t,m,t,k,t,s,s,l,k,s,æ,w,s,t,o,l,s,æ,k,k,s,l,m,k,æ,l,tt,n,k,n,t,k,k,m,n,θ,θ,t,k,l,n,k,t,θ,s,s,k,w,k,r,s,n,n,r,s,j,n,t,p,o,n,j,r,t,m,w,p,p,r,e,æ,t,s,t,k,n,k,k,u,k,k,n,k,p,t,m,p,w,m,t,p,n,m,t,k,k,t,θ,r,l,l,r,p,p,n,n,w,j,p,k,j,s,p,n,k,r,k,s,θ,e,l,p,o,t,s,r,t,n,k,s,k,,æ,w,n,θ,w,s,w,s,t,l,i,l,θ,t,j,t,s,w,p,s,e,k,r,æ,s,θ,o,p,l,n,k,k,p,p,p,θ,θ,r,r,r,p,w,k,w,s,s,s,t,u,k,s,p,t,t,k,t,æ,t,t,s,t,s,k,æ,θ,n,s,s,θ,t,w,,t,w,æ,e,w,t,k,i,t,p,k,k,k,t,k,p,n,w,l,p,k,k,w,t,w,u,t,p,t,n,,u,s,θ,n,θ,k,r,m,p,s,r,n,e,k,p,k,,k,n,,r,r,θ,t,k,r,ʃ,t,æ,k,o,s,u,p,n,w,s,s,p,l,l,k,k,p,s,k,s,o,s,s,k,k,k,s,p,p,k,s,o,o,θ,æ,æ,k,θ,θ,r,t,s,l,s,,t,s,w,s,t,t,t,t,t,l,t,w,p,k,k,n,k,,k,k,t,n,s,t,w,e,r,,m,i,i,ɜ,l,i,k,s,w,æ,k,i,k,p,p,p,t,t,r,k,t,k,k,p,,æ,t,w,i,s,t,t,s,p,k,,p,w,t,s,t,k,s,s,t,t,p,p,j,k,m,m,s,e,t,e,t,e,k,e,,θ,k,,k,t,p,t,γ,j,s,s,m,æ,w,j,t,θ,w,s,æ,t,u,u,p,,p,m,p,k,t,s,l,l,k,k,s,s,p,k,m,s,s,t,θ,p,l,u,s,u,u,u,e,p,s,,,ʃ,t,k,k,k,k,l,m,n,æ,k,t,t,t,t,o,t,o,t,i,θ,l,k,l,t,j,s,k,k,,k,l,w,m,m,n,p,k,s,n,n,l,l,p,,r,r,t,s,æ,w,k,k,r,k,l,m,e,k,u,l,s,,k,k,p,p,s,i,w,j,s,s,o,l,w,m,s,t,s,θ,p,k,θ,t,,t,k,s,s,n,k,s,l,s,s,j,j,j,l,n,
,ɜ,ɜ,,ɜ,y,,¨,,,ɜ,e,ŋ,ɜ,ɜ,,,j,,o,ɜ,w,ɜ,s,,ɜ,,ɜ,ɜ,o,,,,,ɜ,,ʃʲ,u,,,,,,,,ŋ,,,ɜ,,ɜ,j,,e,ŋ,,,ku,,,s,o,ʃʲ,,nʲt͡ʃʲ,s,ɜ,nʲt͡ʃʲ,,ɜ,,j,e,ɜ,,ɜ,o,ɜ,ɡ,o,,ku,r,,,ɜ,,ɜ,ɡ,ɡ,o,ɡ,j,u,u,nʲt͡ʃʲ,ku,u,,,ɜ,,,nt,w,,,s,,u,lj,,,,,,,m,,rj,n,,,,,j,,j,,γ,,j,n,n,u,,,,,γ,,,j,j,u,,j,m,,m,,p,,,,,γ,,,,,,s,,rp,,,u,,u,rk,w,nt,,j,p,n,,ɑ,,,,w,ɜ,,u,w,,w,u,j,,u,γ,,r,u,nt,s,ɑ,j,,j,n,j,j,j,,j,,,j,j,,u,j,j,,n,γ,s,,,w,n,γ,m,w,p,,,w,u,m,,,r,w,,,,,j,w,,,,j,u,,k,s,n,s,j,u,j,,u,lm,lk,w,γ,,ɜ,m,w,ʃ,,t,r,γ,γ,,j,u,γ,,nt,w,u,j,j,j,ʃ,j,j,,r,,i,lj,m,j,,w,,,r,,u,γ,w,w,u,,p,w,γ,n,s,r,s,n,t,j,p,γ,,i,u,j,k,y,u,ʃ,u,j,γ,w,s,s,j,u,,,j,j,ln,n,γ,j,ʃ,s,,j,j,j,,s,j,,r,w,w,γ,k,n,,t,,s,,w,,ʃ,s,m,y,j,ʃ,s,n,s,u,w,w,u,ɜ,i,w,,,w,j,γ,s,e,j,j,,j,w,,j,w,k,w,j,w,tt,w,n,γ,j,w,w,p,s,u,s,w,w,j,ʃ,k,,m,,k,n,j,s,j,s,γ,,j,o,j,j,y,k,j,j,n,j,j,n,γ,,e,u,ln,n,u,j,u,ʃ,n,,o,,,s,kk,w,l,u,w,k,ɜ,γ,,e,k,j,y,w,,,s,j,m,,m,,r,p,p,s,w,s,j,k,w,w,j,j,e,n,t,m,n,n,j,,u,s,l,t,nt,t,j,i,,r,,tt,,j,u,,w,u,u,ɑ,u,s,γ,ɜ,n,w,j,r,γ,s,γ,w,j,k,,m,j,j,u,j,u,o,w,,n,p,,y,j,s,,,j,,,m,w,j,p,ɑ,j,m,γ,,γ,,,s,,,s,w,w,ʲ,s,i,γ,y,j,i,r,w,u,l,j,w,w,w,j,j,w,p,j,p,y,k,w,j,w,w,t,m,w,γ,j,y,y,r,ɜ,e,w,w,w,w,j,k,kk,k,,n,w,u,,k,k,s,nt,θ,s,s,u,w,tk,j,,γ,,γ,γ,s,m,k,n,u,o,s,,,ɜ,ɑ,¨,s,y,γ,ʃ,u,o,w,ɑ,γ,w,w,w,,tt,,γ,s,j,lk,w,,ɜ,s,u,u,t,s,,t,m,j,,w,u,n,pp,l,γ,l,l,n,n,w,w,k,j,k,k,ʃ,ɜ,n,ɜ,s,ɜ,γ,o,,r,w,,j,u,m,n,ŋ,kk,t,t,j,u,u,kk,l,,u,ʃ,i,j,y,,w,,w,s,w,j,w,ʃ,,j,γ,j,ʃ,ʃ,w,,,k,t,r,,m,,i,ʃ,ɜ,e,y,ɑ,m,,,,ʲ,s,rk,p,γ,j,k,k,k,i,γ,n,,k,k,y,k,y,r,u,,,γ,s,,tt,tt,p,γ,,w,,u,w,ʃ,t,w,s,ʃ,w,w,ʃ,p,w,,,j,p,ʃ,u,p,j,j,,tk,k,,i,γ,p,w,ʃ,,j,j,w,rp,t,ɜ,u,w,p,t,y,j,u,w,w,k,k,w,w,j,w,j,,k,rk,t,t,,j,w,,,k,p,w,γ,j,j,
,ȣ,¨,,ȣ,ɜ,,,,,ȣ,æ,,¨,ȣ,,,,,u,ȣ,,¨,,,¨,,ȣ,ȣ,u,,,,,¨,,,,,,,,,,,,,,¨,,¨,ŋ,,æ,,,,,,,,u,,,,,ȣ,ʷ,,¨,,ŋ,æ,¨,,ȣ,u,ȣ,,u,,,,,,¨,,¨,w,w,u,,ŋ,,,,,,,,¨,,,,s,,,nt,,,,,,,,,,w,,,,,,,,s,,kt,,ŋ,,,ln,,,,,,,ŋ,,,,,,,nt,w,,w,,u,,,,,ŋ,,,,,,,,,,,,,rw,,,,,tk,u,s,,æ,,,,s,ȣ,,,s,,s,,,,,s,,,lw,,,æ,rk,,ŋk,s,,t,,,w,,,,kt,,,,,,w,ŋ,,,,u,j,ŋ,w,,u,,,s,,w,,,,s,,,,,rj,s,,,,lj,,,j,nt,ln,,tk,o,tt,,o,,,u,w,,¨,w,s,ʲ,,w,nt,ŋ,ŋ,,,n,ŋ,,,s,j,,,rj,ʲ,rk,,,nt,,e,,w,,,u,,,,,,ŋ,pp,l,s,,m,s,ŋ,,,,ŋk,,,,u,w,,e,ʃ,t,j,ɑ,wl,ʲ,o,lk,ŋ,u,,,lk,o,,,s,t,,ʃ,j,s,ʲ,,,rj,lj,r,,,,,,,t,w,j,rk,,nt,,,,t,,ʲ,nt,w,ɑ,,ʲ,,r,lm,j,s,s,,¨,e,s,,,u,,ŋ,lk,i,,s,,r,s,,rj,r,j,s,w,s,nt,s,w,ŋ,w,s,s,u,,wl,,s,j,,ʲ,j,,w,,ŋ,,rp,,t,,ŋ,,lj,u,,,ɜ,j,n,rj,,,s,,r,,i,,,,,n,j,ʲ,ʃ,,u,,,,jk,s,,j,s,j,¨,ŋ,,i,lk,rj,i,,,,,w,w,,w,,,u,u,,n,pp,w,j,k,n,rj,r,i,s,r,w,r,r,s,,o,mt,nt,nt,,nt,rk,e,,tt,,,,rj,ʃ,,u,,o,æ,,ʃ,w,¨,,s,n,,ŋk,nt,ŋ,s,,j,,w,,,j,n,s,ɜ,s,,s,u,,ɜ,,,,,rk,,,w,t,rj,u,æ,s,w,ŋ,,ŋ,,,,,,k,u,u,,k,ɜ,w,ɜ,l,ɜ,,u,n,,w,r,s,s,γ,l,s,u,,w,ɜ,rk,u,w,s,u,w,w,r,ŋ,t,ɑ,i,s,ȣ,i,u,s,s,s,r,j,,j,,kt,u,lw,,j,w,p,tt,nt,,,j,s,,s,,ŋ,,ŋ,ŋ,n,w,j,j,m,u,,,,¨,æ,,,ɜ,ŋ,ʲ,s,u,u,æ,r,s,s,s,,,,ŋ,,s,,s,,¨,ʃ,s,o,r,ʃ,,mt,w,,,s,,ʃ,,,r,,j,ʃ,ʃ,s,s,ŋ,ŋ,j,j,ʲ,¨,p,¨,k,¨,ŋ,u,,,u,,lk,s,w,kt,kk,,k,k,,o,kk,,kt,,r,ʲ,e,kt,ɜ,,,,r,,s,s,u,ʲ,,lj,ŋ,m,ʲ,ʲ,s,,,,,s,,w,,e,ʲ,ȣ,i,ɜ,o,w,,,,j,k,,m,ŋ,rk,γ,j,w,e,w,r,,j,j,ɑ,j,e,,o,,,ŋ,,,,,m,ŋ,,u,,,u,ʲ,nt,u,rk,ʲ,u,u,ʲ,u,s,,,rj,w,ʲ,o,u,tk,tk,,,γ,,ɜ,l,,s,ʲ,,p,s,s,,,¨,j,u,,mt,i,,m,s,t,γ,,u,l,l,u,kt,,j,,w,w,,s,u,,,,m,u,ŋ,,t,
,¨,,,¨,ȣ,,,,,,ɑj,,,¨,,,,,ɑw,,,,,,,,,,ju,,,,,,,,,,,,,,,,,,,,,,,,ɑj,,,,,,,,ɑw,,,,,,,,,,,ɑj,,,,ju,,,ɑw,,,,,,,,,,,ju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kt,,,,,,,,,,,,,,,,,,,,,,wl,,rp,,,,,,,rk,,,,,,,,,,,,,,,,,,,wn,,,ɜ,,,,,¨,,,,,,,,,,ŋk,,,,,,ɜ,rj,,,ln,,s,,,s,,,,,,,,,,s,tk,,,,nt,rj,,,,,,,,,lm,,,,wl,,,,,,wl,,,,,,,nt,,,,,y,nt,,y,,,,u,,,,,,,u,,j,lk,,,,,,,wn,lw,,,,,rj,,,,,u,,s,,,,,,,,,,,wl,,,w,,s,,,,,,,,wl,u,,ɜ,ʲ,kt,tk,æ,,j,y,lj,w,,,,lj,y,,,,rk,,ʲ,ŋk,tk,,,,,,,,,,,,,,u,ŋ,,,,,,,j,,,tt,j,æ,,,,,,,rp,t,,,ɜ,j,,,j,,j,,ɜ,,tk,,,t,,,j,ŋ,r,u,r,,l,s,w,s,r,,,,,,lw,,,,ŋ,,,,,,rj,,rk,,s,,,ɜ,,,ȣ,lk,,,,,rk,,ŋk,,ɜ,,,,,,,j,ʲ,,ɜ,,,,,,,s,t,ŋ,,,,ɜ,,,e,,,,,u,j,,l,,,j,s,,wn,,s,ŋ,wk,wn,,kt,ɜ,rk,,s,ln,s,lk,,y,,,,,,rj,o,,,,,,,ʲ,,j,,y,u,,ʲ,u,,,,,,kk,,lk,,,ŋ,,lm,,,,kt,n,¨,n,,,j,,ȣ,,,,,rj,,,l,,,s,ɜ,tk,r,r,,j,,,,,,jk,,,,j,ȣ,u,ȣ,,ȣ,,s,wn,,u,,wl,wl,ŋ,rk,rp,,,,ȣ,,rw,s,wk,,u,r,,r,kt,æ,e,,¨,ɜ,s,l,u,,kt,ŋ,,,,,lw,,,r,u,nt,,,,,rw,,,tk,,ʃ,,p,s,,wn,tt,,s,y,,,,,ɜ,,,¨,rk,n,lw,ɜ,rk,ɜ,s,,k,θ,,,,,,n,,,,,ʲ,rw,y,,ʲ,,,l,,,,,ʲ,,,j,,lj,ʲ,ʲ,t,t,,wk,ŋ,ŋ,k,,u,,j,,t,ɜ,,,jk,,lj,j,,,,,j,j,,y,,,,,,kʃʲ,o,,ȣ,,,,,,,rk,rw,,,,,lk,,,r,,,,,nt,,,,ɜ,,,ɜ,ȣ,ɜ,ʃ,,,,,nt,,w,rk,rj,ŋ,rk,u,ɜ,u,ln,,l,n,æ,lk,i,,y,,,j,,,,,w,kk,,θ,,,r,,,r,,,wn,wn,,s,l,,,,s,,y,rw,,,,,ŋ,,¨,ŋk,,j,,,m,rk,rp,,,,,,,,ɜ,,,pp,r,ŋ,,,wl,,,,,rk,,u,u,,γ,,,,,w,kk,kk,,kt,
