got_lemma,Wortart,got_pos,Deutsche Bedeutung,Englische Bedeutung,got_en,link,got_ipa,got_occurences,got_reconstructedness,got_certainty
dōgs,Adj.,a,#NAME?,diurnal,diurnal,https://koeblergerhard.de/wikiling/?f=got&page=56,doɣs,,word,uncertain
dōjan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=56,dojan,,word,uncertain
dōmeins,F.,n,Urteil,judgement,judgement,https://koeblergerhard.de/wikiling/?f=got&page=56,domins,,word,uncertain
dōmjan,V.,v,"urteilen, beurteilen, unterscheiden, rechtfertigen, rechnen, meinen","judge (V.), justify, discern (V.), distinguish, evaluate, distinguish as, deem (>>>","judge, justify, discern, distinguish, evaluate, distinguish_as, deem",https://koeblergerhard.de/wikiling/?f=got&page=56,domjan,10,not reconstructed,certain
dōms,M.,n,"„Urteil“, Ruhm","discernment, insight, distinction, esteem, prestige, notability","discernment, insight, distinction, esteem, prestige, notability",https://koeblergerhard.de/wikiling/?f=got&page=56,doms,2,form,certain
dōrbiza,Wort,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=56,dorbɪza,1,not reconstructed,certain
draban,V.,v,hauen,chop (V.),chop,https://koeblergerhard.de/wikiling/?f=got&page=56,draβan,,word,uncertain
dragan,V.,v,"tragen, aufladen, ziehen","draw (V.), accumulate, take on, attract","draw, accumulate, take_on, attract",https://koeblergerhard.de/wikiling/?f=got&page=56,draɣan,1,form,certain
draggk,N.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=56,draŋɡk,,not reconstructed,uncertain
dragk,N.,n,Trank,"drink (N.), drinking (N.)","drink, drinking",https://koeblergerhard.de/wikiling/?f=got&page=56,draŋk,4,not reconstructed,certain
draggk,N.,n,Trank,"drink (N.), drinking (N.)","drink, drinking",https://koeblergerhard.de/wikiling/?f=got&page=56,draŋɡk,,not reconstructed,certain
dragkjan,V.,v,"tränken, tränken mit","give to drink, make drink","give_to_drink, make_drink",https://koeblergerhard.de/wikiling/?f=got&page=56,draŋkjan,5,form,certain
draibjan,V.,v,"treiben, plagen, antreiben","drive (V.), compel to go, propel, disturb, make go out of one’s way, bother (V.)>>>","drive, compel_to_go, propel, disturb, make_go_out_of_ones_way, bother",https://koeblergerhard.de/wikiling/?f=got&page=56,draɪβjan,4,form,certain
drakma,M.,n,Drachme,"drachma, the basic monetary unit of ancient Greece","drachma, the_basic_monetary_unit_of_ancient_Greece",https://koeblergerhard.de/wikiling/?f=got&page=57,drakma,3,form,certain
draúhsna,F.,n,"Brocken, Brosamen, Bissen","fragments, crumbs, food food particles","fragments, crumbs, food_food_particles",https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhsna,4,form,certain
drausna,F.,n,"Brocken, Brosamen, Bissen","fragments, crumbs, food food particles","fragments, crumbs, food_food_particles",https://koeblergerhard.de/wikiling/?f=got&page=57,drausna,,form,certain
draúhtinassus,M.,n,"Feldzug, Kriegsdienst","campaign (N.), service under a war-lord, military service, soldiering","campaign, service_under_a_warlord, military_service, soldiering",https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhtɪnassus,1,form,certain
draúhtinōn,V.,v,"Kriegsdienste tun, zu Felde ziehen, sammeln, dienen","campaign (V.), serve under a war-lord, army be subject to an army leader, army b>>>","campaign, serve_under_a_warlord, army_be_subject_to_an_army_leader, army_b",https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhtɪnon,4,form,certain
draúhtins,M.,n,"Führer, Herrscher","general of an army, war-lord","general_of_an_army, warlord",https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhtɪns,,word,uncertain
draúhtiwitōþ,N.,n,"Feldzug, Kriegsrecht, Kriegsdienst","campaign (N.), military discipline, military service, warfare, war","campaign, military_discipline, military_service, warfare, war",https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhtɪwɪtoθ,1,form,certain
draúhts,M.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhts,(1),word,certain
draúhts,F.,n,"Heer, Schar (F.) (1), Gefolge, Volk?","army, legion, host","army, legion, host",https://koeblergerhard.de/wikiling/?f=got&page=57,drɔhts,(2),word,certain
drausjan,V.,v,stürzen,fall (V.),fall,https://koeblergerhard.de/wikiling/?f=got&page=57,drausjan,,word,uncertain
draúsna,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=57,drɔsna,,form,certain
dreiban,V.,v,treiben,"drive (V.), compel to go","drive, compel_to_go",https://koeblergerhard.de/wikiling/?f=got&page=57,driβan,1,form,certain
drigkan,V.,v,trinken,"drink (V.), imbibe","drink, imbibe",https://koeblergerhard.de/wikiling/?f=got&page=57,drɪŋkan,43,not reconstructed,certain
drincan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=57,drɪncan,,not reconstructed,uncertain
driugan,V.,v,"zu Felde ziehen, kämpfen, Kriegsdienste tun","lead a military life in, do military service in, function as a soldier in, wage >>>","lead_a_military_life_in, do_military_service_in, function_as_a_soldier_in, wage_",https://koeblergerhard.de/wikiling/?f=got&page=57,drɪuɣan,1,form,certain
driusan,V.,v,"fallen, herabfallen","fall (V.), fall down","fall, fall_down",https://koeblergerhard.de/wikiling/?f=got&page=57,drɪusan,20,form,certain
driusō,F.,n,Abhang,"cliff, steep slope, steep bank","cliff, steep_slope, steep_bank",https://koeblergerhard.de/wikiling/?f=got&page=57,drɪuso,3,form,certain
drōbi,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=57,droβɪ,,word,certain
drōbja,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=57,droβja,,word,certain
drōbjan,V.,v,"trüben, irre machen, aufwiegeln, bewegen, erschüttern, aufregen","stir up, excite, agitate, disturb, unsettle, trouble (V.)","stir_up, excite, agitate, disturb, unsettle, trouble",https://koeblergerhard.de/wikiling/?f=got&page=57,droβjan,4,form,certain
drōbjis,Adj.,a,trüb,"turbid, muddy","turbid, muddy",https://koeblergerhard.de/wikiling/?f=got&page=57,droβjɪs,,word,uncertain
drōbna,M.,n,"Aufruhr, Aufstand","disturbance, disorder (N.), trouble (N.)","disturbance, disorder, trouble",https://koeblergerhard.de/wikiling/?f=got&page=58,droβna,1,form,certain
drōbnan,V.,v,"unruhig werden, erschüttert werden, sich beunruhigen","be agitated, become agitated, be restless, become restless, be disturbed, become>>>","be_agitated, become_agitated, be_restless, become_restless, be_disturbed, become",https://koeblergerhard.de/wikiling/?f=got&page=58,droβnan,1,not reconstructed,certain
drugk,N.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=58,druŋk,,word,uncertain
drugkanei,F.,n,Trunkenheit,"intoxication, drunkenness","intoxication, drunkenness",https://koeblergerhard.de/wikiling/?f=got&page=58,druŋkani,2,form,certain
drugkans,"V., Adj.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=58,druŋkans,,not reconstructed,uncertain
drugkja,M.,n,Trinker,drinker,drinker,https://koeblergerhard.de/wikiling/?f=got&page=58,druŋkja,,word,uncertain
drugks,M.,n,Trank,"drink (N.), something drunk, beverage","drink, something_drunk, beverage",https://koeblergerhard.de/wikiling/?f=got&page=58,druŋks,,word,uncertain
drunjus,M.,n,Schall,"sound of the voice, call (N.), cry (N.)","sound_of_the_voice, call, cry",https://koeblergerhard.de/wikiling/?f=got&page=58,drunjus,1,not reconstructed,certain
drus,M.,n,Fall,"falling (N.), fall (N.)","falling, fall",https://koeblergerhard.de/wikiling/?f=got&page=58,drus,2,not reconstructed,certain
drusts,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=58,drusts,,word,uncertain
drūþs,Adj.,a,"traut, lieb","cosy, familiar, dear, lovely","cosy, familiar, dear, lovely",https://koeblergerhard.de/wikiling/?f=got&page=58,druθs,,word,uncertain
du,"Adv., Präp.","n,v,a,r","zu, nach ... hin, für, in","to, unto, towards, in, at","to, unto, towards, in, at",https://koeblergerhard.de/wikiling/?f=got&page=58,du,961,not reconstructed,certain
duatgaggan,V.,v,"hinzugehen, hinzukommen zu","go to, come up to, approach (V.)","go_to, come_up_to, approach",https://koeblergerhard.de/wikiling/?f=got&page=58,duatɡaŋɡan,12,form,certain
duatrinnan,V.,v,"hinzurennen, hinzulaufen","run up to, run up before","run_up_to, run_up_before",https://koeblergerhard.de/wikiling/?f=got&page=58,duatrɪnnan,1,form,certain
duatsniwan,V.,v,hinzueilen,"hasten thither, reach with haste, arrive with haste, hurry to","hasten_thither, reach_with_haste, arrive_with_haste, hurry_to",https://koeblergerhard.de/wikiling/?f=got&page=58,duatsnɪwan,1,form,certain
dūbō,F.,n,Taube,"pigeon, dove","pigeon, dove",https://koeblergerhard.de/wikiling/?f=got&page=58,duβo,,word,uncertain
dugan,V.,v,"taugen, nützen","be good, be of value, be beneficial, be suitable, be useful, be worthwile","be_good, be_of_value, be_beneficial, be_suitable, be_useful, be_worthwile",https://koeblergerhard.de/wikiling/?f=got&page=58,duɣan,2,form,certain
dugawindan,V.,v,"sich verwickeln, sich verstricken","involve, get involved in, enwrap","involve, get_involved_in, enwrap",https://koeblergerhard.de/wikiling/?f=got&page=58,duɣawɪndan,(sik) 1,form,certain
duginnan,V.,v,"beginnen, anfangen, versuchen, (werden)","begin (V.), attempt, undertake, shall being","begin, attempt, undertake, shall_being",https://koeblergerhard.de/wikiling/?f=got&page=58,duɣɪnnan,4746,form,certain
duhþē,"Konj., Adv.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=58,duhθe,,word,uncertain
duƕē,Adv.,r,"wozu, warum","why, what for, wherefore","why, what_for, wherefore",https://koeblergerhard.de/wikiling/?f=got&page=59,duhʷe,35,not reconstructed,certain
dulg,"M., N.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=59,dulɡ,,form,certain
dulgahaitja,M.,n,"„Schuldheischer“, Gläubiger","„debt-caller“, creditor, debtor","debtcaller, creditor, debtor",https://koeblergerhard.de/wikiling/?f=got&page=59,dulɡahaɪtja,1,form,certain
dulgs,"M., N.","n,v,a,r",Schuld,debt,debt,https://koeblergerhard.de/wikiling/?f=got&page=59,dulɡs,,not reconstructed,certain
dulg,"M., N.","n,v,a,r",Schuld,debt,debt,https://koeblergerhard.de/wikiling/?f=got&page=59,dulɡ,1,form,certain
dulþjan,V.,v,ein Fest feiern,"hold a feast, hold festivities, celebrate a festival","hold_a_feast, hold_festivities, celebrate_a_festival",https://koeblergerhard.de/wikiling/?f=got&page=59,dulθjan,1,form,certain
dulþs,"F., Sb.","n,v,a,r","Fest, Osterfest","festival, celebration, Easter","festival, celebration, Easter",https://koeblergerhard.de/wikiling/?f=got&page=59,dulθs,17,not reconstructed,certain
dumbnan,V.,v,verstummen,"subside into silence, fall off into dumbness","subside_into_silence, fall_off_into_dumbness",https://koeblergerhard.de/wikiling/?f=got&page=59,dumbnan,,word,certain
dumbs,Adj.,a,stumm,"dumb, voiceless, mute","dumb, voiceless, mute",https://koeblergerhard.de/wikiling/?f=got&page=59,dumbs,2,not reconstructed,certain
durinnan,V.,v,"hinzulaufen, hinzurennen","run to meet, run forth, run up, approach (V.)","run_to_meet, run_forth, run_up, approach",https://koeblergerhard.de/wikiling/?f=got&page=59,durɪnnan,2,form,certain
dustōdjan,V.,v,"anfangen, anheben","start (V.), begin (V.), commence, make a beginning","start, begin, commence, make_a_beginning",https://koeblergerhard.de/wikiling/?f=got&page=59,dustoðjan,54,form,certain
dūþē,"Konj., Adv.","n,v,a,r","deshalb, deswegen, weil, damit, dazu, darum dass","therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>","therefore, to_this_end, for_this_reason, for_this_purpose, wherefore, because, o",https://koeblergerhard.de/wikiling/?f=got&page=59,duθe,50,not reconstructed,certain
duhþē,"Konj., Adv.","n,v,a,r","deshalb, deswegen, weil, damit, dazu, darum dass","therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>","therefore, to_this_end, for_this_reason, for_this_purpose, wherefore, because, o",https://koeblergerhard.de/wikiling/?f=got&page=59,duhθe,,not reconstructed,certain
duþþē,"Konj., Adv.","n,v,a,r","deshalb, deswegen, weil, damit, dazu, darum dass","therefore, to this end, for this reason, for this purpose, wherefore, because, o>>>","therefore, to_this_end, for_this_reason, for_this_purpose, wherefore, because, o",https://koeblergerhard.de/wikiling/?f=got&page=59,duθθe,,not reconstructed,certain
dūþs,"V., F.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=59,duθs,,word,uncertain
dūþs,"V., F.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=59,duθs,,word,uncertain
duþþē,"Konj., Adv.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=59,duθθe,,not reconstructed,certain
duwakan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=59,duwakan,,not reconstructed,certain
dwalawaúrdei,F.,n,"Torenrede, törichtes Gerede","foolish talking, foolishness","foolish_talking, foolishness",https://koeblergerhard.de/wikiling/?f=got&page=59,dwalawɔrdi,1,not reconstructed,certain
dwalawaúrds,Adj.,a,töricht redend,foolish talking,foolish_talking,https://koeblergerhard.de/wikiling/?f=got&page=59,dwalawɔrds,,word,certain
dwaligōn,V.,v,betrügen,deceive,deceive,https://koeblergerhard.de/wikiling/?f=got&page=59,dwalɪɣon,,word,certain
dwaliþa,F.,n,Torheit,"foolishness, folly","foolishness, folly",https://koeblergerhard.de/wikiling/?f=got&page=59,dwalɪθa,4,not reconstructed,certain
dwalmōn,V.,v,rasen,"act like a madman, speak like a madman, rave","act_like_a_madman, speak_like_a_madman, rave",https://koeblergerhard.de/wikiling/?f=got&page=59,dwalmon,2,form,certain
dwalms,M.,n,"Verzückung, Betäubung","madness, derangement, insanity","madness, derangement, insanity",https://koeblergerhard.de/wikiling/?f=got&page=59,dwalms,,word,certain
dwals,Adj.,a,töricht,"foolish, stupid, dull","foolish, stupid, dull",https://koeblergerhard.de/wikiling/?f=got&page=60,dwals,6,form,certain
dwilan,V.,v,"säumen, betäuben","slow down, be tardy, be retarded, be mentally retarded, be dull","slow_down, be_tardy, be_retarded, be_mentally_retarded, be_dull",https://koeblergerhard.de/wikiling/?f=got&page=60,dwɪlan,,word,certain
e,Buchstabe,r,"e, Abkürzung für 5","e, abbreviation for 5","e, abbreviation_for_",https://koeblergerhard.de/wikiling/?f=got&page=60,e,6,,certain
ea,Wort,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=60,ea,1,not reconstructed,certain
ebrus,M.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=60,eβrus,,word,uncertain
ei,"Partikel, Konj.","n,v,a,r","da, so, in dem Fall, bei dem Umstand, dass, damit, ob, und","in that case, under those circumstances, then, thereby, in such a manner, such t>>>","in_that_case, under_those_circumstances, then, thereby, in_such_a_manner, such_t",https://koeblergerhard.de/wikiling/?f=got&page=60,i,551,not reconstructed,certain
eigs,V.,v,#NAME?,,,https://koeblergerhard.de/wikiling/?f=got&page=60,iɣs,,word,uncertain
eigs,V.,v,#NAME?,,,https://koeblergerhard.de/wikiling/?f=got&page=60,iɣs,,word,uncertain
eils,Interj.,r,,,,https://koeblergerhard.de/wikiling/?f=got&page=60,ils,,not reconstructed,certain
NAME,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=60,name,,not reconstructed,uncertain
eis,N.,n,"Eis, i-Rune","ice (N.), name of i-rune","ice, name_of_irune",https://koeblergerhard.de/wikiling/?f=got&page=60,is,1,word,certain
eisarn,N.,n,Eisen,iron (N.),iron,https://koeblergerhard.de/wikiling/?f=got&page=60,isarn,2,form,certain
eisarnabandi,F.,n,"Eisenband, Kette (F.) (1), Fessel (F.) (1)","iron bond, iron shackle, chain (N.)","iron_bond, iron_shackle, chain",https://koeblergerhard.de/wikiling/?f=got&page=60,isarnaβandɪ,1,form,certain
eisarneins,Adj.,a,eisern,made of iron,made_of_iron,https://koeblergerhard.de/wikiling/?f=got&page=60,isarnins,2,form,certain
eiþan,Konj.,r,"daher, somit, nun","ergo, therefore, for which reason, then, wherefore","ergo, therefore, for_which_reason, then, wherefore",https://koeblergerhard.de/wikiling/?f=got&page=60,iθan,6,not reconstructed,certain
eiþau,Konj.,r,,,,https://koeblergerhard.de/wikiling/?f=got&page=60,iθau,,not reconstructed,certain
ela,F.,n,Ahle,awl,awl,https://koeblergerhard.de/wikiling/?f=got&page=60,ela,,word,uncertain
ēmaitja,F.,n,Ameise,ant,ant,https://koeblergerhard.de/wikiling/?f=got&page=60,emaɪtja,,word,uncertain
enguz,M.,n,"Iggws (= Gott des fruchtbaren Jahres), Speer?, Mann?, n-Rune","a god, spear (N.)?, man (M.)?, name of n-rune","a_god, spear, man, name_of_nrune",https://koeblergerhard.de/wikiling/?f=got&page=60,enɡuz,1,not reconstructed,certain
era,F.,n,"Ära, Zeitabschnitt","era, period of time","era, period_of_time",https://koeblergerhard.de/wikiling/?f=got&page=60,era,14,not reconstructed,certain
eriten,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=60,erɪten,,not reconstructed,certain
erls,M.,n,"Mann, edler Mann",man (M.),man,https://koeblergerhard.de/wikiling/?f=got&page=61,erls,,word,uncertain
ēt,N.,n,Essen (N.),eating (N.),eating,https://koeblergerhard.de/wikiling/?f=got&page=61,et,,word,uncertain
ēta,M.,n,Esser,eater,eater,https://koeblergerhard.de/wikiling/?f=got&page=61,eta,,word,uncertain
ētja,M.,n,Esser,eater,eater,https://koeblergerhard.de/wikiling/?f=got&page=61,etja,,word,uncertain
ēts,Adj.,a,essend,"voracious in eating, gluttonish","voracious_in_eating, gluttonish",https://koeblergerhard.de/wikiling/?f=got&page=61,ets,,word,certain
ēts,Adj.,a,essend,"voracious in eating, gluttonish","voracious_in_eating, gluttonish",https://koeblergerhard.de/wikiling/?f=got&page=61,ets,,word,certain
eyz,M.,n,"Pferd?, e-Rune","horse?, name of e-rune","horse, name_of_erune",https://koeblergerhard.de/wikiling/?f=got&page=61,eyz,1,not reconstructed,certain
ezec,Sb.,n,"leicht?, z-Rune?","light (Adj.)?, name of z-rune?","light, name_of_zrune",https://koeblergerhard.de/wikiling/?f=got&page=61,ezec,1,not reconstructed,certain
fadar,M.,n,Vater,father,father,https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaðar,1,form,certain
fadia,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaðɪa,,word,uncertain
fadrein,N.,n,"Abkunft, Geschlecht, Stamm, Eltern, Großeltern, Vorfahren","patrilineage, forefathers, descent, race (N.) (1), parents","patrilineage, forefathers, descent, race, parents",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaðrin,14,not reconstructed,certain
fadreins,F.,n,Geschlecht,"patrilineage, family, race (N.) (1), clan, lineage","patrilineage, family, race, clan, lineage",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaðrins,(1) 1,form,certain
fadreins,Adj.,a,väterlich,paternal,paternal,https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaðrins,(2),word,certain
fadus,M.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaðus,,word,certain
faginōn,V.,v,sich freuen,"feel happy, be glad, rejoice (V.)","feel_happy, be_glad, rejoice",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaɣɪnon,4339,not reconstructed,certain
fagins,Adj.,a,froh,"happy, glad","happy, glad",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaɣɪns,,word,uncertain
fagrs,Adj.,a,"passend, geeignet, geschickt","in proper condition, presentable, proper, fitting (Adj.), suitable, suited, qual>>>","in_proper_condition, presentable, proper, fitting, suitable, suited, qual",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaɣrs,1,form,certain
fāh,N.,n,Fang,"catching (N.), catch (N.)","catching, catch",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸah,,word,certain
fāhan,V.,v,"fangen, greifen","catch (V.), capture (V.), grasp (V.), take hold of, lay hands on, seize","catch, capture, grasp, take_hold_of, lay_hands_on, seize",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸahan,2,not reconstructed,certain
fahēþs,F.,n,Freude,"joy (N.), gladness","joy, gladness",https://koeblergerhard.de/wikiling/?f=got&page=61,ɸaheθs,33,not reconstructed,certain
fahjan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=61,ɸahjan,,word,certain
fahrjan,V.,v,zubereiten,"put in proper condition, make presentable, make suitable","put_in_proper_condition, make_presentable, make_suitable",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸahrjan,,word,uncertain
fahs,Adj.,a,"fröhlich, froh","happy, glad","happy, glad",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸahs,,word,uncertain
fáian,V.,v,tadeln,"blame (V.), find fault, criticize","blame, find_fault, criticize",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪan,1,form,certain
faih,N.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪh,,word,uncertain
faihan,V.,v,sich freuen,joy (V.),joy,https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪhan,,word,uncertain
faihōn,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪhon,,word,uncertain
faihōns,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪhons,,word,uncertain
faihs,Adj.,a,bunt,coloured,coloured,https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪhs,,word,uncertain
faíhu,N.,n,"„Vieh“, Vermögen, Geld, f-Rune","movable goods, chattels, property, possessions, wealth, riches, money, name of f>>>","movable_goods, chattels, property, possessions, wealth, riches, money, name_of_f",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhu,7,form,certain
fe,N.,n,"„Vieh“, Vermögen, Geld, f-Rune","movable goods, chattels, property, possessions, wealth, riches, money, name of f>>>","movable_goods, chattels, property, possessions, wealth, riches, money, name_of_f",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸe,,not reconstructed,certain
faíhufrikei,F.,n,"Habsucht, Gewinnsucht, Geldgier","money-covetousness, cupidity, lust for material goods","moneycovetousness, cupidity, lust_for_material_goods",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɸrɪki,3,not reconstructed,certain
faíhufriks,Adj.,a,"habsüchtig, geldgierig, gewinnsüchtig","money-covetous, avaricious, greedy for money, lustful for material goods","moneycovetous, avaricious, greedy_for_money, lustful_for_material_goods",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɸrɪks,6,not reconstructed,certain
faíhugaírnei,F.,n,"Habsucht, Habgier","money-craving (N.), covetousness, cupidity, avarice","moneycraving, covetousness, cupidity, avarice",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɣɛrni,1,form,certain
faíhugaírns,Adj.,a,"geldgierig, habsüchtig","money-craving (Adj.), desirous of money, avaricious, covetous","moneycraving, desirous_of_money, avaricious, covetous",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɣɛrns,1,form,certain
faíhugawaúrki,N.,n,"Erwerb, Geldgewinn, Gewinn","profitable undertaking, lucrative enterprise, gain of money","profitable_undertaking, lucrative_enterprise, gain_of_money",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɣawɔrkɪ,1,not reconstructed,certain
faíhugeigan,V.,v,"begehren, habgierig sein (V.), geldgierig sein (V.)","gain riches, acquire wealth, desire (V.)","gain_riches, acquire_wealth, desire",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɣiɣan,1,form,certain
faíhugeirō,F.,n,"Habsucht, Habgier, Geldgier","money-greed, financial avidity, avarice","moneygreed, financial_avidity, avarice",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɣiro,3,not reconstructed,certain
faíhugeirs,Adj.,a,"habgierig, habsüchtig","money-greedy, avaricious","moneygreedy, avaricious",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuɣirs,,word,uncertain
faíhuskula,M.,n,Schuldner,"ower of money, debtor","ower_of_money, debtor",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuskula,1,form,certain
faíhuþraihn,"N., M.","n,v,a,r","„Viehansammlung“, Geldansammlung, Reichtum","wealth-agglomeration, accumulation of riches, wealth, gathering of money","wealthagglomeration, accumulation_of_riches, wealth, gathering_of_money",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuθraɪhn,4,form,certain
faihuþraihns,"N., M.","n,v,a,r","„Viehansammlung“, Geldansammlung, Reichtum","wealth-agglomeration, accumulation of riches, wealth, gathering of money","wealthagglomeration, accumulation_of_riches, wealth, gathering_of_money",https://koeblergerhard.de/wikiling/?f=got&page=62,ɸaɪhuθraɪhns,,form,certain
faíhuþraihns,"N., M.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=62,ɸɛhuθraɪhns,,form,certain
faír,V.,v,"ver-, ent-, er-",for-,for,https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛr,,word,certain
faíraigan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛraɪɣan,,form,certain
faíraihan,V.,v,teilhaben an,"have a share in, partake of, participate in","have_a_share_in, partake_of, participate_in",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛraɪhan,1,not reconstructed,certain
fairaigan,V.,v,teilhaben an,"have a share in, partake of, participate in","have_a_share_in, partake_of, participate_in",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸaɪraɪɣan,,form,uncertain
faírgreipan,V.,v,"ergreifen, greifen","take hold of, take (V.), seize","take_hold_of, take, seize",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɡripan,4,form,certain
faírguni,N.,n,"Berg, Gebirge","mountain, mountain range","mountain, mountain_range",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɡunɪ,22,not reconstructed,certain
faírhaitan,V.,v,"verheißen, Dank wissen","express (V.), voice an expression of, thank (V.)","express, voice_an_expression_of, thank",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrhaɪtan,1,form,certain
faírƕjan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrhʷjan,,word,uncertain
faírƕus,M.,n,Welt,"world, terrestrial domain of life","world, terrestrial_domain_of_life",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrhʷus,5756,not reconstructed,certain
faírina,F.,n,"Schuld, Vorwurf, Grund, Ursache, Anklagegrund, Beschuldigung","offence, culpable act, basis for accusation, cause for complaint, culpability, c>>>","offence, culpable_act, basis_for_accusation, cause_for_complaint, culpability, c",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɪna,(1) 8,form,certain
faírina,Adj.,a,"tadelig, unrecht","reprehensible, blamable, impeachable","reprehensible, blamable, impeachable",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɪna,(2),word,certain
faírinōdaba,Adv.,r,tadelig,blamable,blamable,https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɪnoðaβa,,word,uncertain
faírinōn,V.,v,"tadeln, beschuldigen","impute a culpable act to, blame (V.), accuse, reproach (V.), incriminate, denoun>>>","impute_a_culpable_act_to, blame, accuse, reproach, incriminate, denoun",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɪnon,3,form,certain
faírinōnds,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɪnonds,,form,certain
faírinōþs,"V., Adj.","n,v,a,r","schuldig, tadelig, bescholten","violative, transgressive, culpable, reprehensible","violative, transgressive, culpable, reprehensible",https://koeblergerhard.de/wikiling/?f=got&page=63,ɸɛrɪnoθs,,word,uncertain
