New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2,Old,New
nyerëg,närkɜ,Ug,,,,nærkɜ,ɲɛreɡ
nyolc,ńalɜ,Ug,,,,nʲɑlɜ,ɲolt͡s
nyer,ńärɜ,Ug,,,,nʲærɜ,ɲɛr
oldal,oŋtɜ,Ug,,(oŋtɜ-lɜ),,oŋtɜ,oldɒl
fék,päkkɜ,Ug,,,,pækkɜ,feːk
fejt,pejɜ,Ug,,,,pejɜ,fɛjt
fekély,pekkɜ,Ug,,,,pekkɜ,fɛkeːj
födél,pentɜlɜ,Ug,,,,pentɜlɜ,fødeːl
füst,pičɜ,Ug,,(pićɜ),,pit͡ʃɜ,fyʃt
fűl,pilɜ,Ug,,,,pilɜ,fyːl
fű,pimɜ,Ug,,,,pimɜ,fyː
fok,pukkɜ,Ug,,,,pukkɜ,fok
fulánk,pulɜ,Ug,,,,pulɜ,fulaːnk
fog,puŋɜ,Ug,,,,puŋɜ,foɡ
fárad,pȣγrɜ,Ug,,,", pȣrkɜ-",pȣɣrɜ,faːrɒd
foly,pȣlɜ,Ug,,,,pȣlɜ,foj
faggyú,pȣĺćɜ,Ug,,,,pȣlʲt͡ʃʲɜ,fɒɡɟuː
fekete,pȣ̈kkɜttɜ,Ug,,,,p¨kkɜttɜ,fɛkɛtɛ
rá,raŋɜ,Ug,,,,rɑŋɜ,raː
rokkan,rȣkkɜ,Ug,,,,rȣkkɜ,rokkɒn
szó,sawɜ,Ug,,,,sɑwɜ,soː
szőr,säγɜrɜ,Ug,,,", säkrɜ",sæɣɜrɜ,søːr
szél,selɜ,Ug,,,,selɜ,seːl
szëg,seŋkɜ,Ug,,,,seŋkɜ,seɡ
szül,silɜ,Ug,,,,silɜ,syl
zug,suŋɜ,Ug,,,,suŋɜ,zuɡ
szédül,sȣjɜ,Ug,,,", > sȣ̈jɜ-",sȣjɜ,seːdyl
szalu,sȣlkɜ,Ug,,(sȣlγɜ),,sȣlkɜ,sɒlu
száguld,sȣŋɜ,Ug,,,,sȣŋɜ,saːɡuld
szár,sȣrɜ,Ug,,,,sȣrɜ,saːr
titok,tajɜttɜ,Ug,,,,tɑjɜttɜ,titok
tál,talɜ,Ug,,,,tɑlɜ,taːl
tekint,täkkɜ,Ug,,,,tækkɜ,tɛkint
tegëz,täŋɜtɜ,Ug,,,,tæŋɜtɜ,tɛɡez
tér,tärɜ,Ug,,,,tærɜ,teːr
téved,tepɜ,Ug,,,,tepɜ,teːvɛd
táltos,tultɜ,Ug,,,,tultɜ,taːltoʃ
torok,turɜ,Ug,,,,turɜ,torok
tűz,tüγɜtɜ,Ug,,,", tüwɜ-tɜ",tyɣɜtɜ,tyːz
domb,tȣmpɜ,Ug,,,,tȣmpɜ,domb
dob,tȣmpɜ,Ug,,,,tȣmpɜ,dob
vár,warɜ,Ug,,,,wɑrɜ,vaːr
vese,wȣ̈ćɜ,Ug,,,,w¨t͡ʃʲɜ,vɛʃɛ
ajtó,ȣjɜ,Ug,,,,ȣjɜ,ɒjtoː
