ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg
˩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
˨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
˧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
˦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
˥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
˩ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1
˨ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-1
˧ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
˦ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1
˥ˤ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
q,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0
q̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0
q̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0
ɢ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0
ɢ̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0
ɢ̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0
qː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,1,0,0
ɢː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,1,0,0
ʈ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ʈ̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ʈ̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ʈ̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ɖ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ɖ̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ɖ̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ɖ̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ʈː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
ɖː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
ʈ̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
ɖ̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̪̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̪̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0
tː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
dː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
t̪,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̪̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̪̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̪̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̪,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̪̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̪̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
d̪̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0
t̪ː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0
d̪ː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,0,0
p,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0
p̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0
p̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0
b,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0
b̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0
b̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0
pː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,1,0,0
bː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,1,0,0
p͡t,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
p͡t̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
t̼,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
p͡t̼,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
p͡t̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
p͡t̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
b͡d,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
b͡d̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
d̼,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
b͡d̼,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
b͡d̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
b͡d̺,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,0,0
p͡tː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,1,0,0
b͡dː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,0,1,0,0
t̪̼,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,0
p͡t̻,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,0
d̪̼,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,0
b͡d̻,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,0
qˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,0,0
ɢˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,0,0
qˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1,0,0
qːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1,0,0
ɢˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1,0,0
ɢːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,1,0,0
ʈˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,-1,0,0
ɖˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,-1,0,0
ʈˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
ʈːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
ɖˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
ɖːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
tˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,0,0
dˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,-1,0,0
tˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
tːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
dˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
dːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,1,0,0
t̪ˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,-1,0,0
d̪ˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,-1,0,0
t̪ˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,0,0
t̪ːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,0,0
d̪ˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,0,0
d̪ːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,0,1,0,0
pˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,-1,0,0
bˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,-1,0,0
pˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1,0,0
pːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1,0,0
bˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1,0,0
bːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,0,1,0,0
p͡tˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,-1,0,0
b͡dˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,-1,0,0
p͡tˤː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,1,0,0
p͡tːˤ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,1,0,0
b͡dˤː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,1,0,0
b͡dːˤ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,0,1,0,0
qʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
c,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
c̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
c̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
cʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
kʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
ɢʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
ɟʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
ɟ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
ɟ̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
ɟ̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
ɡʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0
cː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
cːʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
kːʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
qːʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
cʲː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
kʲː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
qʲː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɟː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɡːʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɟːʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɢːʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɡʲː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɟʲː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
ɢʲː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,1,0,0
cᶣ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,0,0
kᶣ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,0,0
qᶣ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,0,0
ɡᶣ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,0,0
ɟᶣ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,0,0
ɢᶣ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,-1,0,0
cˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
qˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
k,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
k̟,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
k̠,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
ɟˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
ɢˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
ɡ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
ɡ̟,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
ɡ̠,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
kː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
cːˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
kːˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
qːˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
ɡː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
ɡːˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
ɟːˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
ɢːˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,1,0,0
cʷˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
kʷˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
qʷˠ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
kʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
cʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
qʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
cʲʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
kʲʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
qʲʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɡʷˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɟʷˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɢʷˠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɡʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɟʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɢʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɟʲʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɡʲʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
ɢʲʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0,0
cʷː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
kʷː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
qʷː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
cːʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
kːʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
qːʷ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ɡʷː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ɟʷː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ɢʷː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ɡːʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ɟːʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ɢːʷ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,0
ǂ̺,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,0,-1,0,0
ʈʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0
ɖʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0
ʈːʲ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,0,0
ʈʲː,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,0,0
ɖːʲ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,0,0
ɖʲː,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,0,0
