self,mode,scdictbase,dfetymology,left,right,ptct_thresh,scdict,scdict_struc,crossval,guesslist,hm_struc_ceiling,hm_paths_ceiling,writesc,writesc_struc,vowelharmony,only_documented_clusters,sort_by_nse,struc_filter,show_workflow,write,outname,plot,__class__,opt_tpr,optimal_howmany,opt_tp,timing,date
<loanpy_development.sanity.ROC_ad object at 0x0000028ECEE3F5E0>,adapt,scdictbase_maori_duv.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/Duval1995/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/Duval1995/borrowings.csv')",Target,Source,10,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,False,False,False,True,True,maori_duv_filtersoff,True,<class 'loanpy_development.sanity.ROC_ad'>,38,1000,322/842,00:48:00,12/16/21 18:08:49
<loanpy_development.sanity.ROC_ad object at 0x0000028ED507B2E0>,adapt,scdictbase_maori_duv.txt,"('https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/Duval1995/forms.csv', 'https://raw.githubusercontent.com/martino-vic/en_borrowings_maori/master/Duval1995/borrowings.csv')",Target,Source,10,,,True,"[10, 100, 1000, 2000, 10000]",4,3,False,False,False,True,False,True,True,True,maori_duv,True,<class 'loanpy_development.sanity.ROC_ad'>,31,100,263/842,00:54:16,12/16/21 16:25:09
