Orth,Phon
ȣ̈,¨
a,ɑ
ä,æ
δ,ð
δ̕,ðʲ
e,e
ɜ,ͽ
γ,ɣ
ɤ,ɤ
i,i
j,j
k,k
l,l
ĺ,lʲ
m,m
n,n
ń,nʲ
ŋ,ŋ
o,o
ȣ,ȣ
p,p
r,r
s,s
š,ʃ
ś,ʃʲ
t,t
č,t͡ʃ
ć,t͡ʃʲ
u,u
ü,y
w,w
ϑ,θ
0,0
