Orth,Phon
0,0
á,a
à,a
ā,a
ai,aɪ
aí,ɛ
ái,aɪ
aì,aɪ
aú,ɔ
áu,au
b,β
d,ð
ē,e
ei,i
f,ɸ
g,ɣ
gg,ŋɡ
ggw,ɡɡw
gk,ŋk
gq,ŋkw
ƕ,hw
i,ɪ
í,i
ì,i
ī,i
ō,o
q,kw
þ,θ
ū,u
