Target,Source,fp
honoruru,hɒnəluːluː,
hopataone,həʊbɑːttaʊn,
hopataune,həʊbɑːttaʊn,
hopetaone,həʊbɑːttaʊn,
horana,hɒlənd,2.0
horana,d͡ʒɔːdən,16.0
horia,d͡ʒɔːd͡ʒə,5846.0
horono,d͡ʒɔːdən,
hoterenitaone,ʃɔːtləndtaʊn,
hororenehe,flɒɹəns,
humara,sʌmbɑːvə,
huŋaria,hʌŋɡəɹi,
hunkari,hʌŋɡəɹi,
hurariona,siːeəɹəliːəʊn,
huria,d͡ʒuːdiə,8.0
huwaki,suːwɔːki,4.0
laponoa,d͡ʒəpan,
igarani,ɪŋɡlənd,
ihikeepa,iːstkeɪp,
ihikepa,iːstkeɪp,101.0
ihipa,iːd͡ʒɪpt,2.0
ihipiti,iːd͡ʒɪpt,171.0
ikamana,ɪŋkɜːmən,0.0
ikamanu,ɪŋkɜːmən,
ikaria,aɪkeəɹiə,
iŋaraŋi,ɪŋɡlənd,
iŋarani,ɪŋɡlənd,
iŋland,ɪŋɡlənd,
inia,ɪndiə,33.0
iniakitehauauru,wɛstɪndiz,
iniakiterato,wɛstɪndiz,
iniana,ɪndiən,
iniatana,hɪndəstɑːn,736.0
iniria,ɪndiə,1711.0
initia,ɪndiə,178.0
loka,jɔːk,5.0
loropi,jʊəɹəp,424.0
iparaiho,valpɐɹeɪsəʊ,
irawara,ɛlaɪaɪɐwɒɹə,413.0
irawari,ɪɹɐwɒdi,
irekoma,ɛd͡ʒkʌmb,
irene,iːdən,397.0
iruharama,d͡ʒəɹuːsələm,
itali,ɪtəli,6.0
itari,ɪtəli,0.0
lurope,jʊəɹəp,1258.0
luropi,jʊəɹəp,1257.0
kaiperu,saɪpɹəs,
kairo,kaɪɹəʊ,
kalia,ɡaliə,8.0
kamarana,kʌmbələnd,
kamera,kɑːməl,4.0
kamera,kɑːməl,4.0
kamerino,kaməɹiːnəʊ,349.0
kanaana,kanɑːn,24.0
kanapoa,kɔːnpɔː,58.0
kanahi,ɡand͡ʒɪz,24.0
kanata,kanədə,2.0
kanatepere,kantəbɹi,
kanatinopara,kɒnstantɪnəʊpəl,7113.0
kanatinopera,kɒnstantɪnəʊpəl,
kanawara,kɔːnwɔːl,34.0
kanereairana,kəneəɹiaɪləndz,
kanihi,ɡand͡ʒɪz,169.0
kapare,skɑːbʌɹə,250.0
kaparokia,kapɐdəʊʃə,
kapeperetona,keɪpbɹɛtən,
kapuŋa,kapʌndə,1681.0
karaera,kɑːlaɪl,2507.0
karaewa,klaɪv,8.0
karahiko,ɡlazɡəʊ,
karaihitiati,kɹɪstt͡ʃɜːt͡ʃ,
karaimia,kɹaɪmiə,
karairi,kɑːlaɪəl,416.0
karaiteati,kɹɪstt͡ʃɜːt͡ʃ,
karaitiana,kɹɪstt͡ʃɜːt͡ʃ,
karaitiata,kɹɪstt͡ʃɜːt͡ʃ,
karaitiati,kɹɪstt͡ʃɜːt͡ʃ,
karaitihahi,kɹɪstt͡ʃɜːt͡ʃ,
karaitihata,kɹɪstt͡ʃɜːt͡ʃ,1331.0
karaitihati,kɹɪstt͡ʃɜːt͡ʃ,
karaiwa,klaɪv,0.0
karaiwi,klaɪv,1.0
karakata,kalkʌtə,0.0
karako,kɹakaʊ,3.0
karakuta,kalkʌtə,2.0
karamera,kɑːməl,500.0
karamere,kɑːmɛl,
karanatai,kalantaɪ,48.0
karaponia,kalɪfɔːniə,
kararupe,klaʊdibeɪ,
karatia,ɡaleɪʃə,5032.0
karatihati,kɹɪstt͡ʃɜːt͡ʃ,
kareo,kalaʊ,13.0
kareponia,kalɪfɔːniə,
karetoina,t͡ʃalsɛdən,
karia,keəɹiə,0.0
karihi,kaleɪ,
karihia,ɡɹiːs,583.0
kariki,ɡɹiːs,
kariri,ɡalɪliː,0.0
kariti,kɹiːt,1.0
kartako,kɑːθɪd͡ʒ,
kataihi,kɑːθɪd͡ʒ,250.0
katake,kɑːθɪd͡ʒ,
katake,kɑːθɪd͡ʒ,
katana,kateɪniə,3360.0
katapere,kantəbɹi,
katapere,kantəbɹi,
kataperi,kantəbɹi,
katarana,skɒtlənd,
kataraŋi,skɒtlənd,
kateraŋi,skɒtlənd,
katiraŋi,skɒtlənd,
kautorona,keɪphɔːn,
kefero,kɛfɹəʊ,179.0
keipakuruhope,keɪpɒvɡʊdhəʊp,
kemareti,keɪmbɹɪd͡ʒ,
kemureti,keɪmbɹɪd͡ʒ,
kenareta,d͡ʒɛnɪsɑːɹəθ,153.0
keneri,kəneəɹiz,127.0
kepakuruhopa,keɪpɒvɡʊdhəʊp,
kepataone,keɪptaʊn,
kepekuruhopa,keɪpɒvɡʊdhəʊp,
kepekuruhope,keɪpɒvɡʊdhəʊp,
kepetoma,keɪpɒvstɔːmz,
kepeparamaha,keɪppɑːməz,
kera,skeɪlə,25.0
kereamataone,ɡɹeɪəmztaʊn,
kerehi,kɹɛsi,712.0
kereitaone,ɡɹeɪtaʊn,
kerekitata,ɡlʌkstat,
keremauta,ɡɹeɪməθ,
kerokihira,kɹɔɪksɛlz,
keta,kɛnt,
kihipana,d͡ʒɪsbɔːn,74.0
kihipene,d͡ʒɪsbɔːn,
kiŋiwiremutaone,kɪŋwɪliəmztaʊn,
kini,ɡɪni,0.0
kinipariu,kɪnibaluː,499.0
kirihi,ɡɹiːs,17.0
kiripoa,ɡɪlbəʊə,425.0
kiuama,ɡwɑːm,
koane,skəʊn,3510.0
konipara,kɒnɪɡsbɜːɡ,
konoko,kɒŋɡəʊ,
konotanahe,kɒnstəns,
konotatinopore,kɒnstantɪnəʊpəl,
konstantainopela,kɒnstantɪnəʊpəl,
konstantainopoli,kɒnstantɪnəʊpəl,
korohe,kəlɒs,164.0
korokota,ɡəlɡɒθə,
koronatata,kɹɒnstat,
koroniti,kɒɹɪnθ,
kotarana,skɒtlənd,
kotenepara,ɡɒθənbɜːɡ,
koteraŋi,skɒtlənd,
koteriŋi,skɒtlənd,
kotirana,skɒtlənd,
kotirani,skɒtlənd,
kotorana,skɒtlənd,
kotorani,skɒtlənd,
kuama,ɡwɑːm,
kuinifenua,kwiːnslənd,
kupa,kjuːbə,
kuperitino,kjuːpətiːnəʊ,
kuporo,kʌpɹəʊz,
kurubi,kjʊəɹuːbɪs,
kuruhaka,kɹuːznak,
libia,lɪbɪə,80.0
maata,mɑːtə,48.0
maharata,mahɐɹatə,0.0
mahiria,masɪliə,4.0
mahitene,mɑːsdən,
maira,meɪdə,60.0
makaha,makɐsɑː,0.0
makafiri,makəlsfiːld,1171.0
makeronia,masɪdəʊniə,
mamora,mɑːmɔːɹə,0.0
mana,smaɪənə,
manea,mɜːlavɔːstɑːɹaɪlənd,
maniheha,mant͡ʃɛstə,
manira,mɐnɪlə,0.0
maniria,mɐnɪlə,251.0
marapana,mɑːtabən,64.0
marata,malantə,2.0
marekana,ɐmɛɹɪkə,
marekena,ɐmɛɹɪkə,
mariao,fɹans,
marikahika,madəɡaskə,
marikena,ɐmɛɹɪkə,
marita,mɒltə,20.0
maritia,mɔːɹɪʃəs,
mata,maθə,0.0
matakahaka,madəɡaskə,1.0
matakahika,madəɡaskə,33.0
mataraha,mədɹɑːs,1.0
matarahi,mədɹɑːs,33.0
matarita,mədɹɪd,17.0
matariti,mədɹɪd,35.0
matenetaone,mɑːtəntaʊn,
matiara,madeəɹə,
mauritiu,mɔːɹɪʃəs,
mehiko,mɛksɪkəʊ,333.0
mehina,mɛsɪnə,0.0
mehopotamia,mɛsəpəteɪmiə,
meka,mɛkə,0.0
mekehiko,mɛksɪkəʊ,
mekiro,mɛd͡ʒɪdəʊ,867.0
meranihia,mɛləniːziə,1.0
mereka,ɐmɛɹɪkə,1165.0
merepana,mɛlbɔːn,
merepena,mɛlbɔːn,
merepona,mɛlbɔːn,
mereponi,mɛlbɔːn,
meretereniana,mɛdɪtɛɹeɪnaŋ,
merika,ɐmɛɹɪka,3.0
merika,mɛksɪkəʊ,
merikana,ɐmɛɹɪkəɹ,
merikaateiŋarihi,kanədəɹ,
merikena,ɐmɛɹɪkəɹ,
meripone,mɛlbɔːn,
meriponi,mɛlbɔːn,17.0
meritareniana,mɛdɪtɛɹeɪnan,
meritireniana,mɛdɪtɛɹeɪnan,
meromo,mɛɹɒm,
merutu,mɛɹət,
metetereniuma,mɛdɪtɛɹeɪnan,
metirana,meɪtlənd,
metitereniana,mɛdɪtɛɹeɪnan,
mihea,mɛsə,180.0
mihireiama,mɪsɹeɪm,
mihitere,mɪstəɹi,21.0
milano,mɪlaŋ,
miratirifite,mɪdəldɹɪft,
mirinitoropa,mɪlnθɔːp,
miroma,mɛɹɒm,2.0
moatanape,mɔːtənbeɪ,
morako,məɹɒkəʊ,219.0
moramine,məʊlmiːn,
morewia,mɔːɹeɪviəɹ,
motunafaka,nɔːfəkaɪlənd,
motupitikeana,pɪtkeənaɪlənd,
naero,naɪl,
nahareta,nazəɹəθ,18.0
naihi,nɪkmə,
naika,naɪd͡ʒə,2.0
naina,neɪn,24.0
naira,naɪl,0.0
nairi,naɪl,1.0
napatirai,naftɑːli,
napieri,neɪpiə,
napiterai,naftɑːli,508.0
napitirai,naftɑːli,
nafakaairani,nɔːfəkaɪlənd,
nafakairaŋi,nɔːfəkaɪlənd,
nafaki,nɔːfək,25.0
neapori,neɪpəlz,
nepara,neɪpəlz,9.0
nepaura,nɛpɔːl,
nepia,neɪpiə,2.0
nepiere,neɪpiə,5231.0
nihe,nɪksiːbiːeɪ,5237.0
nihee,nɪksiːbiːeɪ,5235.0
nihia,nɪkiə,8.0
nihipe,nɪzɪbɪs,
nikomedia,nɪkəmiːdiə,
nikomiria,nɪkəmiːdiə,
ninewa,nɪnɪvə,18.0
niŋipo,nɪŋpəʊ,254.0
niniwa,nɪnɪvə,0.0
niuheperiti,njuːhɛbɹədiːz,
niuhorana,njuːhɒlənd,
niukahera,njuːkasəl,697.0
niukahere,njuːkasəl,
niukahio,njuːkasəl,
niukaretonia,njuːkalɪdəʊniə,
niukuinea,njuːɡɪni,
niuparemata,njuːplɪməθ,
niuperepora,njuːbɛdfəd,
niutirani,njuːziːlənd,
niutirene,njuːziːlənd,
niutirene,njuːziːlənd,
niutireni,njuːziːlənd,
niwziland,njuːziːlənd,
niwa,nɛvə,2.0
