New_orth,Old_orth,Lan,New,Old,old_struc
faggyú,pȣĺćɜ,Ug,fɒɡɟuː,pȣlʲt͡ʃʲɜ,CVCCV
fekete,pȣ̈kkɜttɜ,Ug,fɛkɛtɛ,p¨kkɜttɜ,CVCCVCCV
rá,raŋɜ,Ug,raː,rɑŋɜ,CVCV
rokkan,rȣkkɜ,Ug,rokkɒn,rȣkkɜ,CVCCV
szó,sawɜ,Ug,soː,sɑwɜ,CVCV
szőr,säγɜrɜ,Ug,søːr,sæɣɜrɜ,CVCVCV
szél,selɜ,Ug,seːl,selɜ,CVCV
szëg,seŋkɜ,Ug,seɡ,seŋkɜ,CVCCV
szül,silɜ,Ug,syl,silɜ,CVCV
zug,suŋɜ,Ug,zuɡ,suŋɜ,CVCV
szédül,sȣjɜ,Ug,seːdyl,sȣjɜ,CVCV
szalu,sȣlkɜ,Ug,sɒlu,sȣlkɜ,CVCCV
száguld,sȣŋɜ,Ug,saːɡuld,sȣŋɜ,CVCV
szár,sȣrɜ,Ug,saːr,sȣrɜ,CVCV
titok,tajɜttɜ,Ug,titok,tɑjɜttɜ,CVCVCCV
tál,talɜ,Ug,taːl,tɑlɜ,CVCV
tekint,täkkɜ,Ug,tɛkint,tækkɜ,CVCCV
tegëz,täŋɜtɜ,Ug,tɛɡez,tæŋɜtɜ,CVCVCV
tér,tärɜ,Ug,teːr,tærɜ,CVCV
téved,tepɜ,Ug,teːvɛd,tepɜ,CVCV
táltos,tultɜ,Ug,taːltoʃ,tultɜ,CVCCV
torok,turɜ,Ug,torok,turɜ,CVCV
tűz,tüγɜtɜ,Ug,tyːz,tyɣɜtɜ,CVCVCV
domb,tȣmpɜ,Ug,domb,tȣmpɜ,CVCCV
dob,tȣmpɜ,Ug,dob,tȣmpɜ,CVCCV
vár,warɜ,Ug,vaːr,wɑrɜ,CVCV
vese,wȣ̈ćɜ,Ug,vɛʃɛ,w¨t͡ʃʲɜ,CVCV
ajtó,ȣjɜ,Ug,ɒjtoː,ȣjɜ,VCV
